ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Club Atletico Rosario Central - Gremio RS,"05/05/2016, 22:15",43.0,26.0,31.0,2.00,3.29,4.81,3:0,0.86,0.85,1.49,49.9,30.3,20.7,-6.9,-4.3,10.2
1,General Caballero - Olimpia Asuncion,"05/05/2016, 23:15",21.0,18.0,61.0,5.22,4.49,1.59,2:1,1.09,0.80,0.97,19.1,22.2,62.7,1.87,-4.2,-1.7
2,Oriente Petrolero - Club Bamin Real Potosi,"05/06/2016, 00:00",61.0,13.0,26.0,1.32,5.40,10.0,2:0,0.80,0.70,2.61,75.7,18.5,9.95,-14.,-5.5,16.0
3,The Strongest - Sport Boys Warnes,"05/06/2016, 00:00",68.0,13.0,20.0,1.30,5.33,11.0,4:0,0.89,0.69,2.21,76.3,18.7,9.04,-8.3,-5.7,10.9
4,Juticalpa FC - CD Motagua,"05/06/2016, 00:00",26.0,53.0,21.0,2.42,3.41,2.99,1:0,0.63,1.81,0.62,41.2,29.2,33.3,-15.,23.7,-12.
5,Orsomarso - America De Cali,"05/06/2016, 00:00",24.0,25.0,51.0,3.81,3.51,2.02,1:1,0.91,0.87,1.03,26.2,28.4,49.3,-2.2,-3.4,1.64
6,Cruzeiro MG - Campinense PB,"05/06/2016, 00:30",66.0,10.0,24.0,1.15,7.03,45.7,3:2,0.76,0.70,10.9,86.2,14.2,2.18,-20.,-4.2,21.8
7,Boca Juniors - Cerro Porteno,"05/06/2016, 00:45",66.0,24.0,11.0,1.55,4.44,7.03,3:1,1.02,1.06,0.77,64.1,22.5,14.2,1.88,1.48,-3.2
8,Universitario de Deportes - FBC Melgar,"05/06/2016, 01:00",46.0,30.0,24.0,1.99,3.49,3.97,1:3,0.91,1.04,0.95,50.1,28.6,25.1,-4.1,1.35,-1.1
9,FK Rostov Youth - Lokomotiv Moscow Youth,"05/06/2016, 09:00",25.0,45.0,30.0,2.45,3.55,2.69,1:2,0.61,1.59,0.80,40.6,28.1,37.1,-15.,16.8,-7.1
10,FC Radian Baikal Irkutsk - Fakel Worenesch,"05/06/2016, 10:30",30.0,16.0,53.0,12.9,6.03,1.25,0:2,3.87,0.96,0.66,7.74,16.5,79.6,22.2,-0.5,-26.
11,Albirex Niigata FC - Balestier Khalsa FC,"05/06/2016, 11:30",71.0,14.0,15.0,1.46,4.96,6.58,6:0,1.03,0.69,0.98,68.4,20.1,15.1,2.57,-6.1,-0.1
12,Hebei Zhongji - FC Henan Jianye,"05/06/2016, 11:35",35.0,49.0,15.0,1.94,3.34,4.36,4:3,0.68,1.63,0.65,51.3,29.8,22.9,-16.,19.1,-7.9
13,FK Yenisey Krasnoyarsk - FC Luch-Energiya Vladivostok,"05/06/2016, 12:00",33.0,41.0,27.0,2.45,3.17,3.14,0:2,0.81,1.30,0.84,40.6,31.4,31.8,-7.6,9.51,-4.8
14,Cherno More Varna - Beroe Stara Zagora,"05/06/2016, 12:30",22.0,40.0,38.0,3.35,3.28,2.33,1:0,0.73,1.31,0.88,29.7,30.4,42.8,-7.7,9.55,-4.8
15,FC Tom Tomsk - FC Sibir Novosibirsk,"05/06/2016, 12:30",60.0,22.0,18.0,1.66,3.87,5.44,1:0,1.00,0.85,0.97,59.8,25.8,18.3,0.10,-3.8,-0.3
16,FC Gazovik Orenburg - Volga Nizhny Novgorod,"05/06/2016, 13:00",57.0,33.0,10.0,1.53,3.98,7.30,1:1,0.87,1.31,0.73,65.0,25.0,13.6,-8.0,7.91,-3.6
17,Anzhi Makhachkala Youth - FC Zenit St Petersburg Jugend,"05/06/2016, 13:00",51.0,22.0,27.0,1.79,3.83,4.12,2:1,0.91,0.84,1.11,55.8,26.0,24.2,-4.8,-4.0,2.75
18,Persepam Madura United - Arema Indonesia (ISL),"05/06/2016, 14:00",41.0,24.0,34.0,2.85,3.49,2.35,0:0,1.17,0.83,0.80,35.0,28.6,42.4,5.97,-4.6,-8.4
19,FC Volgar-Gazprom Astrahan - FC Ska-Energiya Khabarovsk,"05/06/2016, 14:30",44.0,28.0,28.0,2.29,3.29,3.32,0:1,1.01,0.92,0.92,43.5,30.3,30.1,0.48,-2.3,-2.1
20,Al Hidd - Busaiteen Club,"05/06/2016, 14:30",39.0,20.0,42.0,1.58,4.04,5.58,5:0,0.61,0.80,2.34,63.2,24.7,17.9,-24.,-4.7,24.0
21,FC Kryliya Sovetov Samara - FK UFA,"05/06/2016, 15:00",52.0,34.0,14.0,1.96,3.32,4.97,1:0,1.02,1.12,0.69,50.7,30.1,20.0,1.23,3.88,-6.0
22,FK Usti Nad Labem - Banik Sokolov,"05/06/2016, 15:00",41.0,27.0,31.0,2.19,3.51,3.46,1:1,0.90,0.94,1.07,45.5,28.4,28.8,-4.5,-1.4,2.15
23,PFC Montana 1921 - Levski Sofia,"05/06/2016, 15:00",21.0,18.0,61.0,6.77,3.98,1.58,0:1,1.42,0.71,0.96,14.7,25.0,63.2,6.23,-7.0,-2.2
24,FC Shinnik Yaroslavl - FC Sokol Saratov,"05/06/2016, 15:00",29.0,39.0,32.0,2.59,3.27,2.86,1:0,0.75,1.27,0.91,38.4,30.5,34.8,-9.4,8.44,-2.8
25,Petrolul Ploiesti - CFR Cluj,"05/06/2016, 15:00",16.0,29.0,55.0,4.11,3.39,1.99,1:0,0.65,0.98,1.09,24.3,29.4,50.1,-8.3,-0.4,4.80
26,England - Sweden,"05/06/2016, 15:00",68.0,17.0,15.0,1.78,3.84,4.61,1:2,1.21,0.65,0.69,56.1,25.9,21.6,11.8,-8.9,-6.6
27,France - Denmark,"05/06/2016, 15:00",71.0,17.0,13.0,1.66,3.97,5.30,0:0,1.18,0.67,0.69,59.8,25.1,18.8,11.1,-8.1,-5.8
28,Dukla Prague - SK Sigma Olomouc,"05/06/2016, 15:30",59.0,17.0,24.0,2.00,3.86,3.98,2:0,1.18,0.65,0.95,49.9,25.9,25.0,9.08,-8.9,-1.0
29,HNK Gorica - NK Dinamo Zagreb II,"05/06/2016, 15:30",52.0,27.0,22.0,2.36,3.50,2.92,2:1,1.23,0.94,0.64,42.2,28.5,34.1,9.75,-1.5,-12.
30,Adana Demirspor - Altinordu,"05/06/2016, 15:30",53.0,17.0,29.0,1.68,3.87,5.40,5:2,0.89,0.65,1.56,59.5,25.8,18.5,-6.5,-8.8,10.4
31,Sonderjyske - Esbjerg FB,"05/06/2016, 16:00",64.0,21.0,16.0,1.69,3.97,6.04,2:0,1.08,0.83,0.96,59.1,25.1,16.5,4.88,-4.1,-0.5
32,NK Slaven Belupo - NK Dinamo Zagreb,"05/06/2016, 16:00",13.0,29.0,58.0,5.21,3.63,1.78,0:3,0.67,1.05,1.03,19.1,27.4,56.1,-6.1,1.51,1.82
33,Podbeskidzie Bielsko Biala - Korona Kielce SA,"05/06/2016, 16:00",30.0,27.0,43.0,2.63,3.50,3.06,1:1,0.78,0.94,1.31,37.9,28.5,32.5,-7.9,-1.5,10.4
34,FC Zbrojovka Brno - FC Vysocina Jihlava,"05/06/2016, 16:00",65.0,19.0,16.0,2.01,3.62,4.21,1:1,1.30,0.68,0.67,49.6,27.5,23.7,15.3,-8.5,-7.7
35,FK Tosno - FC Baltika Kaliningrad,"05/06/2016, 16:00",67.0,16.0,17.0,1.51,4.14,7.05,3:1,1.01,0.66,1.19,65.9,24.1,14.1,1.03,-8.1,2.81
36,FC Zenit St Petersburg II - Spartak 2,"05/06/2016, 16:00",43.0,25.0,31.0,2.72,3.52,2.56,3:0,1.17,0.88,0.79,36.6,28.3,39.0,6.31,-3.3,-8.0
37,Torpedo Armavir - FK Tyumen,"05/06/2016, 16:00",23.0,31.0,46.0,2.77,3.18,2.73,2:1,0.63,0.98,1.25,36.0,31.3,36.5,-13.,-0.3,9.47
38,Arsenal Tula - FC Kamaz Naberezhnye Chelny,"05/06/2016, 16:00",74.0,9.0,18.0,1.11,8.12,42.2,1:0,0.82,0.73,7.60,89.5,12.3,2.36,-15.,-3.3,15.6
39,FC Flora Tallinn - Paide Linnameeskond,"05/06/2016, 16:00",58.0,22.0,19.0,1.28,6.18,9.77,2:0,0.74,1.36,1.85,77.6,16.1,10.2,-19.,5.84,8.77
40,FAC - Austria Salzburg,"05/06/2016, 16:30",26.0,24.0,51.0,2.51,3.81,2.85,2:1,0.65,0.91,1.45,39.7,26.2,35.0,-13.,-2.2,15.9
41,FC Liefering - Wacker Innsbruck,"05/06/2016, 16:30",54.0,22.0,24.0,2.07,4.02,3.58,0:1,1.11,0.88,0.86,48.2,24.8,27.8,5.71,-2.8,-3.8
42,SKN St. Pölten - KSV 1919,"05/06/2016, 16:30",60.0,19.0,21.0,1.72,4.44,4.83,2:1,1.03,0.84,1.01,57.9,22.5,20.6,2.02,-3.5,0.30
43,FC Rostov - FC Lokomotiv Moscow,"05/06/2016, 16:30",48.0,30.0,22.0,2.30,3.21,3.77,2:1,1.10,0.96,0.83,43.2,31.1,26.4,4.70,-1.1,-4.4
44,FC Emmen - Almere City FC,"05/06/2016, 16:30",59.0,17.0,24.0,2.21,4.17,3.34,1:4,1.30,0.70,0.80,45.0,23.9,29.8,13.9,-6.9,-5.8
45,NK Zavrc - NK Celje,"05/06/2016, 17:00",31.0,37.0,33.0,2.47,3.29,3.10,0:1,0.76,1.21,1.02,40.4,30.3,32.2,-9.4,6.66,0.78
46,Dinamo Bucharest - FC Viitorul Constanta,"05/06/2016, 17:30",48.0,30.0,21.0,2.40,3.43,3.00,3:3,1.15,1.02,0.63,41.6,29.1,33.2,6.35,0.84,-12.
47,Bytovia Bytow - Zaglebie Sosnowiec SA,"05/06/2016, 17:46",39.0,25.0,36.0,2.30,3.41,3.38,3:0,0.90,0.85,1.21,43.2,29.2,29.5,-4.2,-4.2,6.42
48,MSK Zilina - MFK Skalica,"05/06/2016, 18:00",68.0,13.0,19.0,1.40,5.10,8.16,1:0,0.95,0.66,1.55,71.0,19.5,12.2,-3.0,-6.5,6.75
49,Frejus Saint-Raphael FC - SR Colmar,"05/06/2016, 18:00",26.0,54.0,20.0,2.48,3.15,3.21,1:1,0.64,1.70,0.64,40.2,31.7,31.1,-14.,22.2,-11.
50,CS Sedan Ardennes - FC Chambly,"05/06/2016, 18:00",34.0,37.0,30.0,2.49,3.28,3.08,3:0,0.84,1.21,0.92,40.1,30.4,32.4,-6.1,6.55,-2.4
51,Amiens SC - Epinal,"05/06/2016, 18:00",75.0,15.0,9.0,1.47,4.51,7.85,4:3,1.10,0.67,0.70,67.9,22.1,12.7,7.07,-7.1,-3.7
52,Les Herbiers - Boulogne Sur Mer,"05/06/2016, 18:00",42.0,38.0,19.0,2.30,3.35,3.34,3:3,0.97,1.27,0.63,43.2,29.7,29.8,-1.2,8.21,-10.
53,US Orleans 45 - GS Consolat Marseille,"05/06/2016, 18:00",31.0,49.0,21.0,2.47,3.23,3.16,3:2,0.76,1.58,0.66,40.4,30.8,31.6,-9.4,18.1,-10.
54,ASM Belfort - Avranches,"05/06/2016, 18:00",25.0,51.0,25.0,2.59,3.05,3.15,1:4,0.64,1.55,0.78,38.4,32.7,31.7,-13.,18.2,-6.7
55,LASK Linz - Austria Lustenau,"05/06/2016, 18:30",72.0,18.0,10.0,1.49,4.97,7.25,0:2,1.07,0.89,0.72,66.9,20.0,13.7,5.06,-2.0,-3.7
56,KRC Genk - SV Zulte Waregem,"05/06/2016, 18:30",68.0,17.0,14.0,1.42,5.53,8.19,2:0,0.97,0.94,1.14,69.9,18.0,12.1,-1.9,-1.0,1.80
57,AS Bari - Cagliari Calcio,"05/06/2016, 18:30",35.0,45.0,20.0,2.62,3.02,3.24,0:3,0.91,1.35,0.64,38.1,33.1,30.7,-3.1,11.8,-10.
58,Wisla Krakow SA - Jagiellonia Bialystok,"05/06/2016, 18:30",54.0,27.0,19.0,1.86,4.01,4.85,1:0,1.00,1.08,0.92,53.4,24.9,20.5,0.50,2.06,-1.5
