ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Lobos B.U.A.P. - Correcaminos UAT,"02/05/2016, 23:00",55.0,28.0,17.0,1.62,3.83,6.03,0:1,0.89,1.07,1.02,61.5,26.0,16.5,-6.5,1.93,0.43
1,Cerro Porteno - Atletico Lanus,"02/05/2016, 23:15",33.0,29.0,38.0,2.96,3.68,2.32,3:1,0.97,1.06,0.88,33.7,27.1,43.0,-0.7,1.87,-5.0
2,Blooming Santa Cruz - CA Ciclon,"02/06/2016, 00:00",53.0,15.0,32.0,1.46,4.59,7.21,2:0,0.77,0.68,2.30,68.4,21.7,13.8,-15.,-6.7,18.1
3,CD River Plate Ecuador - Mushuc Runa,"02/06/2016, 00:00",56.0,30.0,14.0,1.81,3.52,4.87,3:1,1.01,1.05,0.68,55.1,28.3,20.5,0.86,1.65,-6.5
4,Instituto AC Cordoba - Club Atletico Parana,"02/06/2016, 00:05",54.0,20.0,26.0,1.98,3.27,4.55,0:1,1.06,0.65,1.18,50.4,30.5,21.9,3.52,-10.,4.06
5,Club Atletico Rosario Central - Godoy Cruz A.T.,"02/06/2016, 00:15",53.0,24.0,23.0,1.60,3.83,7.84,1:0,0.84,0.92,1.80,62.3,26.0,12.7,-9.3,-2.0,10.2
6,Audax Italiano La Florida - San Luis de Quillota,"02/06/2016, 01:00",50.0,16.0,34.0,1.61,4.16,5.91,1:0,0.80,0.66,2.00,61.9,24.0,16.9,-11.,-8.0,17.0
7,Merida FC - Juarez FC,"02/06/2016, 02:30",23.0,38.0,39.0,2.73,3.00,2.92,5:1,0.62,1.14,1.14,36.5,33.2,34.1,-13.,4.76,4.82
8,USA - Canada,"02/06/2016, 03:15",53.0,21.0,26.0,1.50,4.54,7.89,1:0,0.79,0.95,2.05,66.4,21.9,12.6,-13.,-0.9,13.3
9,Club Tijuana - Cruz Azul,"02/06/2016, 03:30",27.0,30.0,42.0,2.34,3.41,3.32,1:1,0.63,1.02,1.39,42.6,29.2,30.1,-15.,0.74,11.8
10,Brisbane Roar FC - Central Coast Mariners FC,"02/06/2016, 06:15",55.0,18.0,26.0,1.42,5.45,7.78,4:0,0.78,0.98,2.02,69.9,18.3,12.8,-14.,-0.3,13.1
11,Melbourne Victory FC - Western Sydney Wanderers,"02/06/2016, 08:30",53.0,18.0,29.0,2.42,3.78,3.00,1:1,1.28,0.68,0.87,41.2,26.4,33.2,11.7,-8.4,-4.2
12,NA Hussein Dey - USM El Harrach,"02/06/2016, 10:00",41.0,25.0,34.0,2.99,3.66,2.29,0:1,1.22,0.91,0.78,33.3,27.3,43.5,7.63,-2.3,-9.5
13,Rayo Vallecano - Atl. Madrid,"02/06/2016, 10:45",8.0,38.0,53.0,9.05,5.02,1.36,0:3,0.72,1.91,0.72,11.0,19.8,73.3,-3.0,18.1,-20.
14,FK Sumgayit - Zira,"02/06/2016, 11:00",22.0,54.0,24.0,2.89,3.12,2.66,0:2,0.63,1.68,0.64,34.5,31.9,37.4,-12.,22.0,-13.
15,Galatasaray - Torku Konyaspor,"02/06/2016, 11:00",68.0,21.0,11.0,1.47,4.71,5.86,3:0,1.00,0.98,0.64,67.9,21.2,17.0,0.07,-0.2,-6.0
16,Kayserispor - Mersin Idman Yurdu SK,"02/06/2016, 11:30",40.0,29.0,31.0,1.61,4.37,6.64,0:1,0.64,1.26,2.05,61.9,22.8,15.0,-21.,6.16,15.9
17,Altinordu - 1461 Trabzon,"02/06/2016, 11:30",37.0,24.0,39.0,1.66,4.03,4.72,3:0,0.61,0.96,1.84,59.8,24.7,21.1,-22.,-0.7,17.8
18,Fortuna Düsseldorf - 1. FC Heidenheim,"02/06/2016, 12:00",44.0,37.0,19.0,2.41,3.46,3.49,0:1,1.06,1.28,0.66,41.4,28.8,28.6,2.55,8.15,-9.6
19,TSV 1860 München - 1. FC Nürnberg,"02/06/2016, 12:00",23.0,44.0,34.0,3.00,3.50,2.69,0:1,0.69,1.54,0.91,33.2,28.5,37.1,-10.,15.4,-3.1
20,MC Oran - USM Alger,"02/06/2016, 12:00",22.0,51.0,27.0,2.87,3.72,2.35,2:1,0.63,1.89,0.63,34.7,26.8,42.4,-12.,24.1,-15.
21,Glasgow Rangers - Kilmarnock FC,"02/06/2016, 12:30",68.0,13.0,19.0,1.35,5.53,9.15,0:0,0.91,0.72,1.73,73.9,18.0,10.9,-5.9,-5.0,8.07
22,FC Ilves - Vaasa PS,"02/06/2016, 12:30",48.0,33.0,19.0,2.22,3.35,3.39,0:1,1.07,1.10,0.64,44.8,29.7,29.4,3.15,3.21,-10.
23,Manchester City - Leicester City,"02/06/2016, 12:45",58.0,26.0,17.0,1.66,4.55,6.24,1:3,0.96,1.18,1.06,59.8,21.9,16.0,-1.8,4.06,0.98
24,AS Monaco - OGC Nice,"02/06/2016, 13:00",59.0,27.0,14.0,1.90,3.69,5.14,1:0,1.12,0.99,0.72,52.5,27.0,19.4,6.44,-0.0,-5.4
25,Platanias FC - Asteras Tripolis,"02/06/2016, 13:00",35.0,48.0,17.0,2.19,3.24,4.04,2:0,0.76,1.55,0.68,45.5,30.7,24.7,-10.,17.2,-7.7
26,Stuttgarter Kickers - Hansa Rostock,"02/06/2016, 13:00",36.0,38.0,26.0,2.48,3.34,3.04,2:0,0.89,1.27,0.79,40.2,29.8,32.8,-4.2,8.10,-6.8
27,Werder Bremen II - SV Wehen Wiesbaden,"02/06/2016, 13:00",21.0,44.0,34.0,3.06,3.33,2.47,1:0,0.64,1.46,0.83,32.5,30.0,40.4,-11.,13.9,-6.4
28,Rot Weiss Erfurt - SG Sonnenhof Grossaspach,"02/06/2016, 13:00",39.0,36.0,25.0,2.84,3.35,2.63,0:2,1.10,1.20,0.65,35.1,29.7,37.9,3.83,6.21,-12.
29,FSV Mainz 05 II - SC Preußen Münster,"02/06/2016, 13:00",38.0,42.0,21.0,2.41,3.28,3.20,2:3,0.91,1.37,0.67,41.4,30.4,31.2,-3.4,11.5,-10.
30,AEZ Zakakiou - N&S; Erimis,"02/06/2016, 13:00",57.0,8.0,34.0,1.13,9.26,18.7,5:1,0.64,0.74,6.37,87.9,10.7,5.33,-30.,-2.7,28.6
31,Karmiotissa Polemidion - Asil Lysi,"02/06/2016, 13:00",47.0,12.0,41.0,1.29,5.88,9.67,2:0,0.61,0.70,3.96,77.0,17.0,10.3,-30.,-5.0,30.6
32,Olympiakos Nicosia - Enosis Neon Pareklisias,"02/06/2016, 13:00",57.0,14.0,30.0,1.15,8.07,18.7,3:1,0.66,1.13,5.62,86.2,12.3,5.33,-29.,1.61,24.6
33,Eintracht Norderstedt - TSV Schilksee,"02/06/2016, 13:00",52.0,10.0,38.0,1.18,6.90,20.0,2:1,0.61,0.69,7.62,84.7,14.4,4.98,-32.,-4.4,33.0
34,FC Kray - Sportfreunde Lotte,"02/06/2016, 13:00",41.0,13.0,46.0,10.9,5.01,1.33,1:3,4.50,0.65,0.61,9.09,19.9,75.1,31.9,-6.9,-29.
35,Rodinghausen - Rot-Weiss Essen,"02/06/2016, 13:00",24.0,28.0,48.0,2.64,3.33,2.76,0:0,0.63,0.93,1.32,37.8,30.0,36.2,-13.,-2.0,11.7
36,Al Wakra SC - Al Khoor,"02/06/2016, 13:30",34.0,42.0,23.0,2.43,3.71,2.77,0:1,0.82,1.55,0.63,41.0,26.9,36.0,-7.0,15.0,-13.
37,Bursaspor - Istanbul BBSK,"02/06/2016, 14:00",52.0,22.0,26.0,2.34,3.62,3.36,3:3,1.21,0.79,0.87,42.6,27.5,29.6,9.33,-5.5,-3.6
38,Ascoli Calcio - Latina Calcio,"02/06/2016, 14:00",35.0,44.0,21.0,2.70,3.11,3.04,0:0,0.94,1.37,0.63,37.0,32.0,32.8,-2.0,11.9,-11.
39,AS Livorno - Ternana Calcio,"02/06/2016, 14:00",50.0,30.0,20.0,2.17,3.28,3.91,1:0,1.08,0.98,0.78,46.0,30.4,25.5,3.98,-0.4,-5.5
40,Cagliari Calcio - Virtus Entella,"02/06/2016, 14:00",68.0,18.0,14.0,1.51,4.35,7.69,1:0,1.03,0.78,1.07,65.9,22.9,13.0,2.03,-4.9,1.0
41,Novara Calcio - AS Avellino 1912,"02/06/2016, 14:00",51.0,34.0,15.0,1.98,3.39,4.53,4:1,1.01,1.15,0.67,50.4,29.4,22.0,0.52,4.53,-7.0
42,FC Pro Vercelli 1892 - Brescia Calcio,"02/06/2016, 14:00",39.0,37.0,24.0,2.48,3.18,3.29,2:1,0.96,1.17,0.79,40.2,31.3,30.3,-1.2,5.63,-6.3
43,Perugia - Spezia Calcio,"02/06/2016, 14:00",36.0,43.0,22.0,2.40,3.08,3.58,0:0,0.86,1.32,0.78,41.6,32.4,27.8,-5.6,10.5,-5.8
44,Vicenza Calcio - SS Virtus Lanciano 1924,"02/06/2016, 14:00",53.0,35.0,12.0,1.75,3.55,5.88,0:2,0.93,1.24,0.70,56.8,28.1,17.0,-3.8,6.84,-5.0
45,FC Schalke 04 - VfL Wolfsburg,"02/06/2016, 14:30",45.0,25.0,29.0,2.51,3.78,3.12,3:0,1.13,0.94,0.90,39.7,26.4,31.9,5.26,-1.4,-2.9
46,Eintracht Frankfurt - VfB Stuttgart,"02/06/2016, 14:30",41.0,32.0,27.0,2.79,3.94,2.71,2:4,1.14,1.26,0.73,35.7,25.3,36.8,5.24,6.67,-9.8
47,Hannover 96 - FSV Mainz 05,"02/06/2016, 14:30",28.0,39.0,32.0,2.86,3.65,2.79,0:1,0.80,1.42,0.89,34.8,27.3,35.7,-6.8,11.6,-3.7
48,Hertha BSC - Borussia Dortmund,"02/06/2016, 14:30",25.0,24.0,51.0,6.54,4.74,1.62,0:0,1.63,1.13,0.82,15.2,21.0,61.5,9.71,2.90,-10.
49,FC Ingolstadt - FC Augsburg,"02/06/2016, 14:30",33.0,35.0,33.0,2.62,3.36,3.33,2:1,0.86,1.17,1.09,38.1,29.6,30.0,-5.1,5.32,2.99
50,Liverpool FC - Sunderland AFC,"02/06/2016, 15:00",65.0,21.0,14.0,1.50,5.04,8.47,2:2,0.97,1.05,1.18,66.4,19.8,11.7,-1.4,1.16,2.20
51,Newcastle United - West Bromwich Albion,"02/06/2016, 15:00",52.0,27.0,20.0,2.29,3.50,3.86,1:0,1.19,0.94,0.77,43.5,28.5,25.9,8.48,-1.5,-5.9
52,Stoke City - Everton FC,"02/06/2016, 15:00",35.0,43.0,23.0,2.76,3.56,2.96,0:3,0.96,1.53,0.68,36.2,28.0,33.7,-1.2,14.9,-10.
53,Swansea City - Crystal Palace,"02/06/2016, 15:00",44.0,35.0,22.0,2.28,3.45,3.94,1:1,1.00,1.20,0.86,43.7,28.9,25.3,0.27,6.05,-3.3
54,Tottenham Hotspur - Watford FC,"02/06/2016, 15:00",66.0,19.0,16.0,1.51,4.89,8.63,1:0,1.00,0.93,1.38,65.9,20.4,11.5,0.03,-1.4,4.42
55,Aston Villa - Norwich City,"02/06/2016, 15:00",45.0,26.0,29.0,2.53,3.40,3.41,2:0,1.14,0.88,0.99,39.3,29.3,29.2,5.62,-3.3,-0.2
56,Atletico Madrid - SD Eibar,"02/06/2016, 15:00",75.0,16.0,10.0,1.41,5.22,12.1,3:1,1.06,0.83,1.21,70.5,19.1,8.24,4.47,-3.1,1.75
57,FC St Johnstone - Aberdeen FC,"02/06/2016, 15:00",23.0,23.0,53.0,3.68,3.56,2.22,3:4,0.84,0.81,1.18,27.1,28.0,44.8,-4.1,-5.0,8.15
58,Charlton Athletic - Bristol City,"02/06/2016, 15:00",27.0,46.0,27.0,3.43,3.53,2.40,0:1,0.92,1.62,0.64,29.1,28.2,41.6,-2.1,17.7,-14.
59,Middlesbrough FC - Blackburn Rovers,"02/06/2016, 15:00",64.0,21.0,16.0,1.70,3.87,6.91,1:1,1.08,0.81,1.10,58.7,25.8,14.4,5.27,-4.8,1.54
60,Burnley FC - Hull City,"02/06/2016, 15:00",33.0,37.0,31.0,2.99,3.35,2.79,1:0,0.98,1.24,0.86,33.3,29.7,35.7,-0.3,7.21,-4.7
61,Reading FC - Wolverhampton Wanderers FC,"02/06/2016, 15:00",45.0,39.0,16.0,2.05,3.62,4.37,0:0,0.92,1.41,0.70,48.5,27.5,22.8,-3.5,11.4,-6.8
62,Cardiff City - Milton Keynes Dons,"02/06/2016, 15:00",63.0,21.0,15.0,1.98,3.76,4.54,0:0,1.24,0.78,0.68,50.4,26.5,21.9,12.5,-5.5,-6.9
63,Leeds United - Nottingham Forest,"02/06/2016, 15:00",25.0,53.0,21.0,2.63,3.40,3.16,0:1,0.65,1.80,0.66,37.9,29.3,31.6,-12.,23.6,-10.
64,Bolton Wanderers - Rotherham United,"02/06/2016, 15:00",43.0,36.0,21.0,2.50,3.57,3.21,2:1,1.07,1.28,0.67,39.9,27.9,31.1,3.08,8.04,-10.
65,Queens Park Rangers - Ipswich Town,"02/06/2016, 15:00",31.0,47.0,21.0,2.64,3.40,3.14,1:0,0.81,1.60,0.65,37.8,29.3,31.8,-6.8,17.6,-10.
