ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Palmeiras SP - Sao Bento SP,"02/04/2016, 23:00",63.0,19.0,18.0,1.33,5.01,10.9,2:2,0.83,0.95,1.96,75.1,19.9,9.15,-12.,-0.9,8.84
1,Cerro Porteno - General Caballero,"02/04/2016, 23:00",75.0,15.0,10.0,1.27,5.79,11.6,3:0,0.95,0.86,1.16,78.3,17.2,8.58,-3.3,-2.2,1.41
2,River Plate - Dep. La Guaira,"02/04/2016, 23:15",78.0,9.0,13.0,1.12,7.79,43.2,1:0,0.87,0.70,5.62,88.7,12.8,2.31,-10.,-3.8,10.6
3,Carabobo FC - Portuguesa FC,"02/04/2016, 23:30",62.0,23.0,14.0,1.61,3.76,6.42,0:0,1.00,0.86,0.90,61.9,26.5,15.5,0.06,-3.5,-1.5
4,Estudiantes de Merida FC - Urena SC,"02/04/2016, 23:30",37.0,41.0,22.0,2.08,3.47,3.68,2:1,0.77,1.42,0.81,48.0,28.7,27.1,-11.,12.2,-5.1
5,DVO Anzoategui - Deportivo Petare,"02/04/2016, 23:30",70.0,20.0,10.0,1.38,4.46,10.7,1:1,0.96,0.89,1.07,72.1,22.3,9.33,-2.1,-2.3,0.66
6,Santa Cruz PE - Salgueiro PE,"02/04/2016, 23:30",69.0,19.0,13.0,1.52,4.02,7.40,1:1,1.05,0.76,0.96,65.4,24.8,13.5,3.50,-5.8,-0.5
7,Central PE - Nautico PE,"02/04/2016, 23:30",21.0,43.0,36.0,3.10,3.38,2.36,0:2,0.65,1.45,0.85,32.2,29.5,42.2,-11.,13.4,-6.2
8,Coquimbo Unido - Deportes La Serena,"02/04/2016, 23:30",32.0,42.0,26.0,2.37,3.23,3.22,2:2,0.76,1.35,0.83,42.0,30.8,31.0,-10.,11.1,-5.0
9,DVO Tachira - Zamora FC,"02/05/2016, 00:00",56.0,28.0,16.0,1.92,3.62,4.07,1:2,1.07,1.01,0.65,51.9,27.5,24.5,4.05,0.41,-8.5
10,Universitario de Sucre - Club Petrolero,"02/05/2016, 00:00",56.0,21.0,23.0,1.43,4.57,7.90,1:1,0.80,0.95,1.81,69.4,21.8,12.6,-13.,-0.8,10.3
11,Oriente Petrolero - Independiente Santa Fe,"02/05/2016, 00:45",18.0,37.0,45.0,3.63,3.11,2.25,1:3,0.65,1.15,1.01,27.4,32.0,44.3,-9.4,4.91,0.60
12,Deportivo Saprissa - Municipal Perez Zeledon,"02/05/2016, 02:00",57.0,23.0,19.0,1.61,4.19,5.78,0:1,0.92,0.96,1.09,61.9,23.8,17.2,-4.9,-0.8,1.71
13,Liga Deportiva Alajuelense - Santos de Guapiles,"02/05/2016, 02:00",66.0,13.0,21.0,1.34,5.24,10.4,4:2,0.88,0.68,2.18,74.5,19.0,9.59,-8.5,-6.0,11.4
14,Adelaide United FC - Sydney FC,"02/05/2016, 08:40",43.0,35.0,22.0,2.24,3.62,3.47,2:2,0.96,1.26,0.76,44.6,27.5,28.7,-1.6,7.41,-6.7
15,East Bengal FC - Aizawl FC,"02/05/2016, 11:00",63.0,20.0,16.0,1.43,4.48,8.18,2:0,0.90,0.89,1.30,69.4,22.3,12.2,-6.4,-2.3,3.77
16,Osmanlispor FK - Sivasspor,"02/05/2016, 11:30",35.0,29.0,35.0,2.83,4.04,2.17,3:0,0.99,1.17,0.76,35.3,24.7,46.0,-0.3,4.29,-11.
17,Antalyaspor - Fenerbahce,"02/05/2016, 11:30",13.0,27.0,61.0,5.39,4.87,1.49,0:6,0.70,1.31,0.91,18.5,20.5,66.9,-5.5,6.47,-5.9
18,Al Hussein Irbid - That Ras,"02/05/2016, 12:30",44.0,38.0,17.0,2.07,3.29,3.65,1:2,0.91,1.25,0.62,48.2,30.3,27.3,-4.2,7.66,-10.
19,Hapoel Ashkelon - Maccabi Kiiryat Gat,"02/05/2016, 12:30",70.0,17.0,13.0,1.68,3.96,5.21,2:0,1.17,0.67,0.67,59.5,25.2,19.1,10.5,-8.2,-6.1
20,FK Neftchi Baku - Ravan Baku,"02/05/2016, 12:30",60.0,17.0,22.0,1.63,3.78,6.06,1:1,0.98,0.64,1.33,61.1,26.4,16.4,-1.1,-9.4,5.50
21,Beitar Tel Aviv Ramla - Hapoel Nazrat Elit,"02/05/2016, 13:00",45.0,37.0,18.0,1.88,3.52,4.44,0:0,0.84,1.30,0.79,53.1,28.3,22.5,-8.1,8.65,-4.5
