ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Tupi MG - Londrina PR,"09/13/2016, 22:15",41.0,29.0,30.0,2.74,3.15,2.96,1:1,1.12,0.91,0.88,36.3,31.7,33.7,4.62,-2.7,-3.7
1,Parana Clube PR - Vila Nova GO,"09/13/2016, 22:15",40.0,30.0,29.0,2.19,3.45,3.63,1:2,0.87,1.03,1.05,45.5,28.9,27.4,-5.5,1.05,1.51
2,San Lorenzo - CA Banfield,"09/13/2016, 22:15",51.0,24.0,25.0,1.69,3.93,6.06,4:1,0.86,0.94,1.51,59.1,25.4,16.4,-8.1,-1.4,8.50
3,Curico Unido - Dep. Magallanes,"09/13/2016, 23:00",28.0,53.0,19.0,2.27,3.22,3.45,3:2,0.63,1.70,0.65,43.9,31.0,28.9,-15.,21.9,-9.9
4,Deportes Tolima - Cortulua,"09/13/2016, 23:00",42.0,15.0,43.0,1.49,4.33,7.76,0:2,0.62,0.65,3.34,66.9,23.0,12.8,-24.,-8.0,30.1
5,Bragantino SP - Atletico GO,"09/13/2016, 23:30",35.0,30.0,35.0,2.55,3.20,3.16,1:2,0.89,0.96,1.10,39.1,31.2,31.6,-4.1,-1.2,3.39
6,Criciuma SC - Oeste SP,"09/13/2016, 23:30",51.0,33.0,16.0,2.02,3.47,4.17,4:0,1.03,1.14,0.66,49.3,28.7,23.9,1.64,4.25,-7.9
7,CF Atlante - Club Celaya,"09/14/2016, 00:00",33.0,52.0,15.0,1.91,3.45,4.37,2:2,0.63,1.79,0.65,52.2,28.9,22.8,-19.,23.0,-7.8
8,Sporting Kansas City - VANCOUVER WHITECAPS,"09/14/2016, 00:00",67.0,17.0,15.0,1.85,3.84,4.33,1:2,1.24,0.65,0.65,53.8,25.9,23.0,13.1,-8.9,-8.0
9,Police United - Atletico Pachuca,"09/14/2016, 00:00",20.0,8.0,72.0,45.9,9.41,1.09,0:11,9.19,0.75,0.78,2.17,10.6,91.3,17.8,-2.6,-19.
10,Estudiantes de Buenos Aires - Deportivo Espanol,"09/14/2016, 00:05",62.0,21.0,18.0,2.24,3.20,3.68,1:2,1.38,0.67,0.66,44.6,31.2,27.1,17.3,-10.,-9.1
11,Ceara CE - Sampaio Correa MA,"09/14/2016, 00:30",57.0,16.0,27.0,1.55,4.19,7.06,0:1,0.88,0.67,1.90,64.1,23.8,14.1,-7.1,-7.8,12.8
12,Atlético Nacional Medellin - Bolivar,"09/14/2016, 00:45",71.0,10.0,18.0,1.20,7.21,25.1,1:0,0.85,0.72,4.53,83.2,13.8,3.97,-12.,-3.8,14.0
13,Once Caldas S. A. - Atletico Bucaramanga,"09/14/2016, 01:00",36.0,17.0,47.0,1.74,3.88,4.97,3:0,0.62,0.66,2.33,57.2,25.7,20.0,-21.,-8.7,26.9
14,FC Dallas - New England Revolution,"09/14/2016, 02:00",60.0,27.0,13.0,1.64,4.09,5.58,4:2,0.98,1.10,0.72,60.6,24.3,17.9,-0.6,2.60,-4.9
15,Santos Laguna - Tiburones Rojos de Veracruz,"09/14/2016, 02:30",53.0,33.0,14.0,1.73,3.94,4.75,1:1,0.92,1.30,0.66,57.6,25.3,21.0,-4.6,7.67,-7.0
16,Persepam Madura United - Sriwijaya FC,"09/14/2016, 08:30",41.0,17.0,42.0,1.74,3.81,4.45,2:5,0.71,0.64,1.87,57.2,26.2,22.4,-16.,-9.2,19.5
17,1. FC Slovacko - FC Banik Ostrava,"09/14/2016, 09:00",42.0,15.0,42.0,1.94,4.16,3.26,2:2,0.81,0.62,1.36,51.3,24.0,30.6,-9.3,-9.0,11.3
18,Cyprus - Serbia,"09/14/2016, 10:00",34.0,7.0,59.0,-52.,10.9,1.04,0:3,-17.,0.76,0.61,-1.9,9.16,96.0,35.9,-2.1,-37.
19,Bengaluru FC - Tampines Rovers FC,"09/14/2016, 10:30",38.0,18.0,43.0,1.89,3.61,4.26,1:0,0.71,0.65,1.83,52.8,27.6,23.4,-14.,-9.6,19.5
20,Shandong Luneng Taishan FC - FC Seoul,"09/14/2016, 11:30",45.0,30.0,25.0,2.84,3.50,2.49,1:1,1.27,1.05,0.62,35.1,28.5,40.1,9.83,1.45,-15.
21,Liaoning Hongyun - Beijing Guoan FC,"09/14/2016, 11:35",21.0,36.0,44.0,3.23,3.51,2.40,0:2,0.67,1.26,1.05,30.8,28.4,41.6,-9.8,7.55,2.35
22,Bayer Leverkusen - CSKA Moscow,"09/14/2016, 12:00",46.0,16.0,39.0,1.58,4.17,5.89,2:1,0.72,0.66,2.29,63.2,23.9,16.9,-17.,-7.9,22.0
23,Olbia Calcio - Pro Piacenza,"09/14/2016, 12:30",38.0,31.0,30.0,2.32,3.26,3.29,1:0,0.88,1.01,0.98,43.0,30.6,30.3,-5.0,0.32,-0.3
24,US Siracusa - AC Monopoli,"09/14/2016, 12:30",44.0,20.0,36.0,2.33,3.18,3.35,1:1,1.02,0.63,1.20,42.8,31.3,29.7,1.12,-11.,6.21
25,Al Ahed - Al-Muharraq SC,"09/14/2016, 12:30",60.0,19.0,21.0,2.40,3.41,3.03,1:0,1.44,0.64,0.63,41.6,29.2,32.9,18.3,-10.,-11.
26,Tottenham - AS Monaco FC,"09/14/2016, 13:00",51.0,16.0,33.0,1.83,4.09,4.01,2:3,0.93,0.65,1.32,54.4,24.3,24.9,-3.4,-8.3,8.06
27,Olympique Lyonnais - NK Dinamo,"09/14/2016, 13:00",49.0,15.0,35.0,1.81,4.33,3.88,2:0,0.88,0.65,1.35,55.1,23.0,25.7,-6.1,-8.0,9.26
28,Gor Mahia FC - Ulinzi Stars FC,"09/14/2016, 13:15",35.0,44.0,20.0,1.99,3.10,4.25,1:0,0.69,1.36,0.85,50.1,32.2,23.5,-15.,11.7,-3.5
29,FC Porto - FC Copenhagen,"09/14/2016, 14:00",77.0,14.0,9.0,1.42,4.84,7.54,4:1,1.10,0.67,0.67,69.9,20.6,13.2,7.00,-6.6,-4.2
30,Juventus Turin - FC Sevilla,"09/14/2016, 14:00",61.0,18.0,21.0,2.32,3.60,3.02,2:1,1.41,0.64,0.63,43.0,27.7,33.1,17.9,-9.7,-12.
31,Tatran Liptovsky Mikulas - Lokomotiva Zvolen,"09/14/2016, 14:00",68.0,17.0,15.0,1.79,4.06,4.41,1:0,1.21,0.69,0.66,55.8,24.6,22.6,12.1,-7.6,-7.6
32,Calcio Como - AS Livorno,"09/14/2016, 14:30",63.0,19.0,17.0,2.09,3.33,3.79,0:1,1.31,0.63,0.64,47.7,30.0,26.3,15.2,-11.,-9.3
33,Reggio Calabria - Calcio Catania,"09/14/2016, 14:30",21.0,20.0,59.0,3.10,3.23,2.43,1:1,0.65,0.64,1.43,32.2,30.8,41.0,-11.,-10.,17.9
34,FK Novi Pazar - FK Vojvodina,"09/14/2016, 14:30",17.0,28.0,56.0,3.92,3.34,2.05,1:2,0.66,0.93,1.15,25.4,29.8,48.5,-8.4,-1.8,7.45
35,Trakai FK - FK Suduva Marijampole,"09/14/2016, 15:10",61.0,21.0,18.0,1.98,3.78,3.69,2:0,1.20,0.79,0.66,50.4,26.4,27.0,10.5,-5.4,-9.0
36,FC Luka Koper - NK Aluminij,"09/14/2016, 16:00",33.0,17.0,49.0,1.88,3.76,4.28,0:0,0.62,0.63,2.10,53.1,26.5,23.3,-20.,-9.5,25.6
37,Real Madrid - Sporting CP,"09/14/2016, 16:00",79.0,13.0,8.0,1.33,5.49,9.34,1:1,1.05,0.71,0.74,75.1,18.1,10.6,3.87,-5.1,-2.6
38,FC Torrevieja - UD Rayo Ibense,"09/14/2016, 16:30",50.0,27.0,23.0,2.52,3.53,2.76,1:2,1.26,0.95,0.63,39.5,28.2,36.2,10.4,-1.2,-13.
39,Carrarese Calcio - AC Prato,"09/14/2016, 16:30",25.0,53.0,21.0,2.55,3.20,2.97,4:0,0.63,1.69,0.62,39.1,31.2,33.6,-14.,21.7,-12.
40,FK Stumbras Kaunas - FK Spyris Kaunas,"09/14/2016, 16:30",35.0,18.0,47.0,2.21,3.66,3.16,2:2,0.77,0.65,1.48,45.0,27.3,31.6,-10.,-9.3,15.3
41,FC Banik Ostrava - SFC Opava,"09/14/2016, 17:00",45.0,41.0,14.0,1.76,3.89,4.83,3:0,0.79,1.59,0.67,56.5,25.6,20.6,-11.,15.3,-6.6
