ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Colombia - USA,"08/09/2016, 22:00",15.0,12.0,73.0,63.8,10.0,1.12,2:2,9.57,1.20,0.82,1.56,9.93,88.7,13.4,2.06,-15.
1,New Zealand - France,"08/09/2016, 22:00",23.0,12.0,65.0,14.4,5.85,1.32,0:3,3.31,0.70,0.85,6.94,17.0,75.7,16.0,-5.0,-10.
2,Club Sportivo Luqueno - CA Penarol,"08/09/2016, 22:15",38.0,43.0,20.0,2.47,3.24,3.38,0:0,0.93,1.39,0.67,40.4,30.7,29.5,-2.4,12.2,-9.5
3,New England Revolution - Chicago Fire,"08/10/2016, 00:00",55.0,31.0,15.0,1.82,3.73,4.67,3:1,1.00,1.15,0.70,54.8,26.7,21.3,0.19,4.23,-6.3
4,Lobos B.U.A.P. - Deportivo Toluca,"08/10/2016, 00:00",23.0,52.0,26.0,2.86,3.53,2.44,1:1,0.65,1.84,0.63,34.8,28.2,40.8,-11.,23.7,-14.
5,Club Celaya - CF Atlante,"08/10/2016, 00:00",47.0,33.0,21.0,2.42,3.24,3.12,1:1,1.13,1.07,0.65,41.2,30.7,31.9,5.75,2.21,-10.
6,CA Fenix - Cerro Porteno,"08/10/2016, 00:15",26.0,42.0,33.0,3.09,3.18,2.67,1:0,0.80,1.33,0.88,32.3,31.3,37.3,-6.3,10.6,-4.3
7,Deportes Quindio - Real Santander,"08/10/2016, 00:45",50.0,26.0,25.0,1.39,4.63,9.11,0:1,0.69,1.20,2.27,71.6,21.5,10.9,-21.,4.42,14.0
8,China - Sweden,"08/10/2016, 01:00",40.0,27.0,33.0,3.41,3.24,2.49,0:0,1.36,0.87,0.82,29.2,30.7,40.1,10.7,-3.7,-7.1
9,South Africa - Brazil,"08/10/2016, 01:00",9.0,7.0,84.0,95.9,11.3,1.10,0:0,8.63,0.79,0.92,1.04,8.79,90.4,7.95,-1.7,-6.4
10,Universitario de Deportes - Club Sport Emelec,"08/10/2016, 02:30",19.0,40.0,41.0,3.62,3.30,2.32,0:3,0.68,1.32,0.95,27.5,30.2,43.0,-8.5,9.77,-2.0
11,Wollongong Wolves - Sydney FC,"08/10/2016, 09:30",24.0,11.0,65.0,28.1,9.26,1.12,0:3,6.75,1.01,0.73,3.55,10.7,88.7,20.4,0.20,-23.
12,Brisbane Roar FC - Perth Glory FC,"08/10/2016, 09:30",54.0,26.0,21.0,2.21,3.77,3.18,0:2,1.19,0.98,0.66,45.0,26.4,31.3,8.92,-0.4,-10.
13,Chungju Hummel FC - Daejeon Citizen FC,"08/10/2016, 10:00",30.0,28.0,42.0,3.28,3.46,2.24,1:2,0.98,0.97,0.94,30.4,28.8,44.6,-0.4,-0.8,-2.6
