ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Nacional Asuncion - General Caballero,"09/09/2016, 22:00",52.0,29.0,20.0,2.16,3.67,3.28,4:1,1.12,1.06,0.65,46.2,27.2,30.4,5.73,1.78,-10.
1,Joinville SC - Tupi MG,"09/09/2016, 22:15",43.0,18.0,38.0,1.71,3.65,6.10,1:1,0.73,0.65,2.31,58.3,27.3,16.3,-15.,-9.3,21.6
2,Universidad Catolica - Everton de Vina del Mar,"09/09/2016, 22:30",50.0,13.0,36.0,1.42,5.01,7.54,3:1,0.71,0.65,2.71,69.9,19.9,13.2,-19.,-6.9,22.7
3,Sporting Kansas City - Houston Dynamo,"09/10/2016, 00:00",50.0,31.0,19.0,1.64,4.18,6.13,3:3,0.82,1.29,1.16,60.6,23.8,16.3,-10.,7.11,2.69
4,Sol de America - River Plate Asuncion,"09/10/2016, 00:10",62.0,17.0,20.0,1.80,3.79,4.46,2:6,1.11,0.64,0.89,55.4,26.3,22.3,6.52,-9.3,-2.3
5,CA Huracan - Quilmes Atletico Club,"09/10/2016, 00:15",58.0,24.0,19.0,1.79,3.77,5.34,1:1,1.03,0.90,1.01,55.8,26.4,18.6,2.17,-2.4,0.30
6,Paysandu PA - Brasil de Pelotas RS,"09/10/2016, 00:30",54.0,27.0,19.0,2.34,3.21,3.55,1:1,1.26,0.86,0.67,42.6,31.1,28.1,11.3,-4.1,-9.1
7,Club Sport Emelec - El Nacional Quito,"09/10/2016, 00:30",41.0,32.0,27.0,1.52,4.26,6.73,2:2,0.62,1.36,1.81,65.4,23.4,14.8,-24.,8.54,12.1
8,Prainsa Zaragoza - Atl. Madrid,"09/10/2016, 08:45",19.0,23.0,59.0,17.6,8.02,1.16,2:2,3.34,1.84,0.69,5.68,12.4,85.4,13.3,10.5,-26.
9,Vegalta Sendai - Yokohama F Marinos,"09/10/2016, 09:00",28.0,36.0,36.0,3.27,3.33,2.29,0:1,0.91,1.19,0.82,30.5,30.0,43.5,-2.5,5.99,-7.5
