ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Arsenal de Sarandi - Club Atletico Tucuman,"09/12/2016, 22:00",39.0,38.0,23.0,2.57,3.10,3.34,1:3,1.00,1.17,0.76,38.8,32.2,29.8,0.15,5.78,-6.8
1,Guarani SP - Mogi Mirim SP,"09/12/2016, 22:15",40.0,33.0,27.0,1.54,4.06,6.75,1:0,0.61,1.34,1.82,64.5,24.6,14.7,-24.,8.37,12.2
2,Fluminense RJ - Atletico Belo Horizonte MG,"09/12/2016, 23:00",49.0,24.0,27.0,2.29,3.63,3.44,4:2,1.12,0.87,0.92,43.5,27.4,29.0,5.48,-3.4,-2.0
3,Deportes Pereira - Barranquilla FC,"09/12/2016, 23:00",55.0,15.0,30.0,1.45,4.59,7.66,4:0,0.79,0.68,2.29,68.9,21.7,13.0,-13.,-6.7,16.9
4,Audax Italiano La Florida - Union Espanola,"09/12/2016, 23:30",34.0,31.0,35.0,2.57,3.53,2.78,3:1,0.87,1.09,0.97,38.8,28.2,35.9,-4.8,2.75,-0.9
5,Estudiantes San Luis - Argentinos Juniors,"09/13/2016, 00:05",35.0,25.0,40.0,5.30,3.38,1.83,1:2,1.85,0.84,0.73,18.8,29.5,54.4,16.1,-4.5,-14.
6,Atletico Rafaela - Club Atletico Temperley,"09/13/2016, 00:15",45.0,30.0,25.0,2.45,3.11,3.53,1:0,1.10,0.93,0.88,40.6,32.0,28.2,4.33,-2.0,-3.2
7,Deportes Quindio - America De Cali,"09/13/2016, 01:00",33.0,32.0,35.0,2.56,3.33,2.86,0:1,0.84,1.06,1.00,39.0,30.0,34.8,-6.0,1.99,0.12
8,Jeonbuk Hyundai - Shanghai SIPG,"09/13/2016, 10:00",57.0,23.0,19.0,1.66,3.87,5.45,5:0,0.95,0.89,1.03,59.8,25.8,18.3,-2.8,-2.8,0.67
9,Dynamo Kiev U19 - SSC Napoli,"09/13/2016, 11:00",64.0,20.0,16.0,1.80,4.16,4.07,4:1,1.15,0.83,0.65,55.4,24.0,24.5,8.52,-4.0,-8.5
10,Balestier Khalsa FC - Albirex Niigata FC,"09/13/2016, 11:45",36.0,21.0,44.0,6.03,4.58,1.52,0:1,2.17,0.96,0.67,16.5,21.8,65.4,19.4,-0.8,-21.
11,South China FC - Johor D. T. FC,"09/13/2016, 12:00",25.0,31.0,45.0,3.69,3.81,1.96,1:1,0.92,1.18,0.88,27.0,26.2,50.7,-2.0,4.76,-5.7
12,FC Bayern Munich - FC Rostov,"09/13/2016, 12:00",77.0,9.0,14.0,1.15,8.02,18.8,4:2,0.89,0.72,2.63,86.2,12.4,5.31,-9.2,-3.4,8.68
13,Kolos Kovalivka - Skala Stryi,"09/13/2016, 13:00",61.0,20.0,20.0,1.28,5.17,12.1,0:1,0.78,1.03,2.42,77.6,19.3,8.24,-16.,0.67,11.7
14,Slovenia - Russia,"09/13/2016, 13:30",28.0,29.0,43.0,4.55,4.13,1.72,4:2,1.27,1.19,0.74,21.9,24.1,57.9,6.06,4.82,-14.
15,PFK Lokomotiv Tashkent - AL AIN FC,"09/13/2016, 14:00",23.0,54.0,23.0,2.76,3.14,2.78,0:1,0.63,1.69,0.64,36.2,31.8,35.9,-13.,22.1,-12.
16,FC Basel - PFC Ludogorets Razgrad,"09/13/2016, 14:00",74.0,9.0,16.0,1.16,7.72,17.5,1:0,0.86,0.69,2.80,85.4,12.9,5.70,-11.,-3.9,10.2
17,Manchester City - Borussia M´gladbach,"09/13/2016, 14:00",74.0,14.0,12.0,1.51,4.72,5.92,4:1,1.12,0.66,0.71,65.9,21.1,16.8,8.03,-7.1,-4.8
18,PSV Eindhoven - Atletico Madrid,"09/13/2016, 14:00",43.0,19.0,38.0,2.55,3.99,2.51,0:0,1.09,0.75,0.95,39.1,25.0,39.7,3.80,-6.0,-1.7
19,Bukovina Chernovtsy - Arsenal Kiev,"09/13/2016, 14:00",65.0,17.0,18.0,1.64,3.72,5.66,0:2,1.07,0.63,1.01,60.6,26.8,17.6,4.30,-9.8,0.33
20,Paris Saint-Germain - Arsenal London,"09/13/2016, 16:00",66.0,16.0,18.0,1.91,4.13,3.62,0:0,1.26,0.66,0.65,52.2,24.1,27.5,13.7,-8.1,-9.5
21,NK Krsko - NK Celje,"09/13/2016, 16:00",58.0,19.0,23.0,2.62,3.43,2.80,1:1,1.52,0.65,0.64,38.1,29.1,35.6,19.8,-10.,-12.
22,KSV 1919 - FAC,"09/13/2016, 16:30",45.0,20.0,34.0,2.13,3.88,3.51,2:0,0.96,0.77,1.19,46.7,25.7,28.4,-1.7,-5.7,5.55
23,FC Liefering - BW Linz,"09/13/2016, 16:30",54.0,29.0,17.0,1.59,4.64,5.99,2:0,0.86,1.34,1.01,62.7,21.5,16.6,-8.7,7.49,0.31
24,LASK Linz - SV Horn,"09/13/2016, 16:30",74.0,15.0,10.0,1.34,5.81,10.7,1:1,0.99,0.87,1.07,74.5,17.2,9.30,-0.5,-2.2,0.69
25,Glasgow Rangers - Inverness Caledonian Thistle,"09/13/2016, 17:00",76.0,13.0,11.0,1.45,5.08,6.40,2:1,1.10,0.66,0.70,68.9,19.6,15.6,7.05,-6.6,-4.6
26,St Mirren - Hibernian Edinburgh,"09/13/2016, 17:00",34.0,26.0,41.0,2.51,3.78,2.65,1:2,0.85,0.98,1.08,39.7,26.4,37.6,-5.7,-0.4,3.34
27,Motherwell FC - Dundee United,"09/13/2016, 17:00",33.0,17.0,50.0,2.20,3.94,2.99,3:0,0.72,0.67,1.49,45.3,25.3,33.3,-12.,-8.3,16.6
28,Club Brugge - Leicester City,"09/13/2016, 17:00",57.0,19.0,24.0,1.96,4.07,3.46,2:1,1.12,0.77,0.83,50.7,24.5,28.8,6.23,-5.5,-4.8
29,FC Flora Tallinn - FC Infonet,"09/13/2016, 17:00",53.0,35.0,12.0,1.58,4.25,5.78,2:1,0.83,1.48,0.69,63.2,23.5,17.2,-10.,11.4,-5.2
30,Ajax Cape Town FC - Orlando Pirates FC,"09/13/2016, 17:30",21.0,20.0,58.0,3.00,3.23,2.57,1:2,0.63,0.64,1.49,33.2,30.8,38.8,-12.,-10.,19.1
31,FC Parma - FBC Unione Venezia,"09/13/2016, 18:30",38.0,36.0,26.0,2.12,3.32,3.72,1:2,0.80,1.19,0.96,47.0,30.1,26.8,-9.0,5.88,-0.8
32,FC Basel - Ludogorets Razgrad,"09/13/2016, 18:45",51.0,26.0,24.0,1.74,4.18,5.88,1:1,0.89,1.08,1.41,57.2,23.8,17.0,-6.2,2.11,7.0
33,FC Dynamo Kiev - SSC Napoli,"09/13/2016, 18:45",26.0,27.0,47.0,3.30,3.50,2.53,1:2,0.86,0.94,1.19,30.2,28.5,39.3,-4.2,-1.5,7.62
34,FC Barcelona - Celtic Glasgow,"09/13/2016, 18:45",71.0,12.0,18.0,1.11,13.4,78.6,7:0,0.79,1.61,14.1,89.5,7.44,1.27,-18.,4.55,16.7
35,Bayern Munich - FC Rostov,"09/13/2016, 18:45",73.0,9.0,18.0,1.09,15.8,758.,5:0,0.79,1.42,136.,91.3,6.30,0.13,-18.,2.69,17.8
36,Benfica Lisbon - Besiktas JK,"09/13/2016, 18:45",56.0,28.0,16.0,1.80,4.03,5.68,1:1,1.00,1.13,0.91,55.4,24.7,17.5,0.52,3.22,-1.5
37,Paris Saint-Germain - Arsenal FC,"09/13/2016, 18:45",40.0,38.0,22.0,2.05,3.89,4.18,1:1,0.82,1.48,0.92,48.5,25.6,23.8,-8.5,12.3,-1.8
38,PSV Eindhoven - Atletico Madrid,"09/13/2016, 18:45",19.0,29.0,52.0,5.44,3.67,1.90,0:1,1.03,1.06,0.98,18.3,27.2,52.5,0.63,1.78,-0.5
39,Derby County - Ipswich Town,"09/13/2016, 18:45",35.0,30.0,34.0,2.07,3.51,4.49,0:1,0.72,1.05,1.52,48.2,28.4,22.2,-13.,1.55,11.7
40,Norwich City - Wigan Athletic,"09/13/2016, 18:45",62.0,20.0,19.0,1.65,4.32,6.47,2:1,1.02,0.86,1.22,60.2,23.1,15.4,1.70,-3.1,3.54
41,Sheffield Wednesday - Bristol City,"09/13/2016, 18:45",49.0,22.0,29.0,2.00,3.79,4.37,3:2,0.98,0.83,1.26,49.9,26.3,22.8,-0.9,-4.3,6.16
42,Fulham FC - Burton Albion,"09/13/2016, 18:45",52.0,26.0,22.0,1.98,3.93,4.30,1:1,1.03,1.02,0.94,50.4,25.4,23.2,1.52,0.59,-1.2
43,Preston North End FC - Cardiff City,"09/13/2016, 18:45",39.0,31.0,30.0,2.53,3.32,3.39,3:0,0.99,1.02,1.01,39.3,30.1,29.4,-0.3,0.88,0.53
44,Brighton & Hove Albion FC - Huddersfield Town,"09/13/2016, 18:45",40.0,24.0,35.0,2.04,3.65,4.36,1:0,0.81,0.87,1.52,48.8,27.3,22.9,-8.8,-3.3,12.0
45,Wolverhampton Wanderers FC - Barnsley FC,"09/13/2016, 18:45",41.0,31.0,29.0,1.99,3.87,4.32,0:4,0.81,1.20,1.25,50.1,25.8,23.1,-9.1,5.18,5.89
46,Leeds United - Blackburn Rovers,"09/13/2016, 18:45",47.0,25.0,27.0,2.15,3.60,4.03,2:1,1.01,0.90,1.08,46.5,27.7,24.7,0.49,-2.7,2.22
47,Queens Park Rangers - Newcastle United,"09/13/2016, 18:45",25.0,35.0,40.0,3.76,3.43,2.30,0:6,0.94,1.20,0.92,26.5,29.1,43.2,-1.5,5.84,-3.2
48,Swindon Town - Chelsea FC,"09/13/2016, 18:45",43.0,23.0,34.0,2.70,3.69,2.71,2:1,1.16,0.85,0.92,37.0,27.0,36.8,6.0,-4.0,-2.8
49,Bristol Rovers - Walsall FC,"09/13/2016, 18:45",52.0,19.0,29.0,2.13,3.63,3.72,1:1,1.11,0.69,1.08,46.7,27.4,26.8,5.24,-8.4,2.14
50,Forest Green Rovers - Eastleigh FC,"09/13/2016, 18:45",67.0,17.0,15.0,1.88,3.97,4.42,1:1,1.25,0.67,0.66,53.1,25.1,22.5,13.8,-8.1,-7.5
51,York City - Tranmere Rovers,"09/13/2016, 18:45",40.0,19.0,41.0,3.68,3.62,2.16,0:0,1.47,0.68,0.88,27.1,27.5,46.2,12.8,-8.5,-5.2
52,Lincoln City - Solihull Moors FC,"09/13/2016, 18:45",73.0,15.0,11.0,1.36,5.78,9.77,0:0,0.99,0.86,1.07,73.3,17.2,10.2,-0.3,-2.2,0.77
53,Sutton United - Braintree Town,"09/13/2016, 18:45",69.0,18.0,13.0,1.79,3.79,5.30,1:2,1.23,0.68,0.69,55.8,26.3,18.8,13.1,-8.3,-5.8
54,Dagenham & Redbridge - Dover Athletic,"09/13/2016, 18:45",50.0,18.0,32.0,2.29,3.72,3.26,2:0,1.14,0.67,1.04,43.5,26.8,30.6,6.48,-8.8,1.32
55,Whitby Town - Ilkeston FC,"09/13/2016, 18:45",60.0,23.0,17.0,1.89,4.08,3.89,2:1,1.13,0.93,0.66,52.8,24.4,25.6,7.13,-1.4,-8.6
56,Reading FC - Birmingham City,"09/13/2016, 19:00",40.0,36.0,24.0,2.25,3.50,3.82,0:0,0.90,1.26,0.91,44.3,28.5,26.1,-4.3,7.45,-2.1
57,Botafogo RJ - Corinthians SP,"09/13/2016, 20:00",37.0,38.0,25.0,2.05,3.72,3.61,1:1,0.76,1.41,0.90,48.5,26.8,27.6,-11.,11.1,-2.6
58,Almirante Brown - Club Atletico Fenix,"09/13/2016, 20:30",48.0,29.0,24.0,2.37,3.20,3.36,0:1,1.14,0.92,0.80,42.0,31.2,29.6,5.95,-2.2,-5.6
