ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Bahia BA Youth - Sao Paulo SP,"12/08/2016, 23:15",28.0,23.0,49.0,3.96,3.81,1.93,2:2,1.10,0.87,0.94,25.2,26.2,51.6,2.75,-3.2,-2.6
1,Atletico Bucaramanga - Deportes Tolima,"12/09/2016, 00:00",41.0,35.0,24.0,2.37,3.18,3.36,1:0,0.97,1.11,0.80,42.0,31.3,29.6,-1.0,3.63,-5.6
2,CA Nacional Potosi - Universitario de Sucre,"12/09/2016, 00:15",47.0,30.0,23.0,2.04,3.73,3.50,3:0,0.96,1.12,0.80,48.8,26.7,28.5,-1.8,3.23,-5.5
3,Alianza FC - Sonsonate FC,"12/09/2016, 01:30",47.0,31.0,22.0,1.83,3.71,4.41,0:0,0.86,1.15,0.97,54.4,26.9,22.6,-7.4,4.05,-0.6
4,Sydney FC - Melbourne City FC,"12/09/2016, 08:50",42.0,33.0,25.0,2.20,3.57,3.61,1:1,0.92,1.18,0.90,45.3,27.9,27.6,-3.3,5.04,-2.6
5,Bhayangkara Surabaya United - Persela Lamongan,"12/09/2016, 09:00",56.0,25.0,20.0,1.45,4.35,6.96,3:0,0.81,1.08,1.39,68.9,22.9,14.3,-12.,2.02,5.63
6,RC Relizane - USM El Harrach,"12/09/2016, 10:00",34.0,42.0,23.0,2.41,3.78,2.76,0:1,0.82,1.59,0.63,41.4,26.4,36.2,-7.4,15.5,-13.
7,Trabzonspor - Adanaspor,"12/09/2016, 10:00",71.0,13.0,15.0,1.35,5.09,8.05,8:0,0.96,0.66,1.20,73.9,19.6,12.4,-2.9,-6.6,2.59
8,Vasco SC - Guardian Angel Sports Club,"12/09/2016, 10:15",41.0,26.0,33.0,3.84,3.91,1.90,0:3,1.57,1.01,0.62,25.9,25.5,52.5,15.0,0.42,-19.
9,Sepahan Isfahan FC - Saba Qom FC,"12/09/2016, 10:45",46.0,40.0,14.0,1.89,3.17,4.63,4:1,0.87,1.27,0.64,52.8,31.4,21.5,-6.8,8.51,-7.5
10,US Sassuolo Calcio - KRC Genk,"12/09/2016, 11:30",46.0,28.0,26.0,2.25,3.78,3.68,0:2,1.03,1.06,0.95,44.3,26.4,27.1,1.60,1.58,-1.1
11,Esteghlal Khuzestan - Foolad Khuzestan FC,"12/09/2016, 11:30",29.0,51.0,20.0,2.37,3.05,3.20,0:1,0.68,1.55,0.64,42.0,32.7,31.2,-13.,18.2,-11.
12,Persib Bandung - PS Tni,"12/09/2016, 11:30",57.0,20.0,23.0,1.23,5.74,12.7,4:0,0.70,1.14,2.94,81.0,17.4,7.82,-24.,2.59,15.1
13,Peykan - Siah Jamegan,"12/09/2016, 11:30",37.0,47.0,16.0,2.03,3.06,4.09,1:0,0.75,1.44,0.65,49.0,32.5,24.3,-12.,14.4,-8.3
14,Esteghlal FC - Tractor Sazi Tabriz FC,"12/09/2016, 12:50",20.0,51.0,30.0,3.18,2.96,2.44,1:2,0.63,1.51,0.73,31.3,33.7,40.8,-11.,17.2,-10.
15,ACS Poli Timisoara - FC VOLUNTARI,"12/09/2016, 15:00",31.0,38.0,30.0,2.65,3.34,2.81,1:0,0.82,1.27,0.84,37.6,29.8,35.4,-6.6,8.10,-5.4
16,Petrojet FC - Al Masry Club,"12/09/2016, 15:30",27.0,43.0,30.0,2.97,3.16,2.58,1:2,0.80,1.36,0.77,33.6,31.6,38.6,-6.6,11.3,-8.6
17,Neftochimik 1962 Bourgas - PFK Botev Plovdiv,"12/09/2016, 15:30",26.0,36.0,38.0,2.44,3.41,3.05,4:0,0.63,1.23,1.16,40.8,29.2,32.7,-14.,6.74,5.28
18,Gaziantep BLD Spor - S. B. Elazigspor,"12/09/2016, 15:30",56.0,19.0,25.0,1.84,3.47,4.75,0:3,1.03,0.66,1.18,54.1,28.7,21.0,1.85,-9.7,3.96
19,Al Wahda SCC - AL AIN FC,"12/09/2016, 16:00",46.0,26.0,29.0,3.10,3.76,2.20,1:1,1.42,0.97,0.64,32.2,26.5,45.3,13.7,-0.5,-16.
20,FK Javor - FK Vojvodina,"12/09/2016, 16:00",30.0,43.0,27.0,3.51,3.15,2.28,2:1,1.05,1.35,0.61,28.4,31.7,43.7,1.55,11.2,-16.
21,Al Ahli Jeddah - Al Raed,"12/09/2016, 16:55",61.0,11.0,27.0,1.28,6.00,10.6,1:0,0.78,0.66,2.87,77.6,16.6,9.37,-16.,-5.6,17.6
22,NK Slaven Belupo - NK Inter Zapresic,"12/09/2016, 17:00",70.0,17.0,12.0,1.69,3.76,5.78,2:0,1.18,0.63,0.69,59.1,26.5,17.2,10.8,-9.5,-5.2
23,Pogon Szczecin - Zaglebie Lubin,"12/09/2016, 17:00",46.0,33.0,21.0,2.27,3.52,3.76,1:1,1.04,1.16,0.78,43.9,28.3,26.5,2.05,4.65,-5.5
