ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Union de Santa Fe - Argentinos Juniors,"05/06/2016, 22:00",40.0,30.0,29.0,2.25,3.39,3.67,4:0,0.90,1.01,1.06,44.3,29.4,27.2,-4.3,0.53,1.78
1,Orlando City SC - NY Red Bulls,"05/06/2016, 23:00",27.0,51.0,22.0,2.45,3.76,2.96,1:1,0.66,1.91,0.65,40.6,26.5,33.7,-13.,24.4,-11.
2,Quilmes Atletico Club - Godoy Cruz A.T.,"05/07/2016, 00:15",20.0,30.0,50.0,3.38,3.40,2.36,1:3,0.67,1.02,1.18,29.5,29.3,42.2,-9.5,0.63,7.75
3,Tiburones Rojos de Veracruz - Atletico Monarcas Morelia,"05/07/2016, 00:30",37.0,41.0,22.0,2.48,3.55,2.97,1:2,0.91,1.45,0.65,40.2,28.1,33.6,-3.2,12.8,-11.
4,Santos Laguna - Guadalajara Chivas,"05/07/2016, 02:30",54.0,28.0,19.0,2.20,3.60,3.45,0:1,1.19,1.00,0.65,45.3,27.7,28.9,8.69,0.23,-9.9
5,Mito Hollyhock - Giravanz Kitakyushu,"05/07/2016, 04:00",55.0,20.0,25.0,2.18,3.21,3.69,1:1,1.20,0.64,0.92,45.7,31.1,27.0,9.21,-11.,-2.0
6,Cockburn City - Subiaco AFC,"05/07/2016, 07:00",60.0,18.0,22.0,1.32,6.44,8.66,1:1,0.79,1.15,1.90,75.7,15.5,11.5,-15.,2.48,10.4
7,Inglewood Utd - Armadale SC,"05/07/2016, 07:00",55.0,11.0,34.0,1.32,6.38,8.51,5:2,0.72,0.70,2.89,75.7,15.6,11.7,-20.,-4.6,22.2
8,North Pine - Holland Park Hawks,"05/07/2016, 07:00",35.0,11.0,54.0,7.43,6.16,1.34,2:5,2.60,0.67,0.72,13.4,16.2,74.5,21.5,-5.2,-20.
9,V-Varen Nagasaki - Fagiano Okayama,"05/07/2016, 07:00",23.0,38.0,39.0,2.73,3.04,2.87,0:3,0.62,1.15,1.12,36.5,32.8,34.7,-13.,5.15,4.26
10,Liaoning Hongyun - FC Shanghai Shenhua,"05/07/2016, 07:30",37.0,19.0,45.0,4.67,3.51,1.84,0:0,1.72,0.66,0.83,21.3,28.4,54.1,15.6,-9.4,-9.1
11,Blacktown City FC - Blacktown Spartans,"05/07/2016, 09:00",59.0,11.0,30.0,1.29,6.33,10.0,6:0,0.76,0.69,3.02,77.0,15.7,9.90,-18.,-4.7,20.0
12,Ehime FC - Cerezo Osaka,"05/07/2016, 10:00",17.0,31.0,52.0,5.08,3.29,1.85,0:0,0.86,1.02,0.96,19.6,30.3,53.8,-2.6,0.66,-1.8
13,Zira - FK Gabala,"05/07/2016, 11:00",29.0,23.0,46.0,2.55,3.44,2.79,0:3,0.73,0.79,1.28,39.1,29.0,35.7,-10.,-6.0,10.2
14,Blackburn Rovers - Reading FC,"05/07/2016, 11:30",43.0,31.0,26.0,2.50,3.61,3.17,3:1,1.07,1.12,0.82,39.9,27.6,31.4,3.08,3.32,-5.4
15,Cardiff City - Birmingham City,"05/07/2016, 11:30",55.0,27.0,18.0,2.18,3.69,3.81,1:1,1.20,0.99,0.68,45.7,27.0,26.2,9.21,-0.0,-8.2
16,Derby County - Ipswich Town,"05/07/2016, 11:30",62.0,16.0,22.0,1.70,4.27,5.91,0:1,1.05,0.68,1.30,58.7,23.3,16.9,3.27,-7.3,5.07
17,Charlton Athletic - Burnley FC,"05/07/2016, 11:30",29.0,20.0,53.0,6.24,4.62,1.62,0:3,1.81,0.92,0.86,16.0,21.6,61.5,12.9,-1.6,-8.5
18,Fulham FC - Bolton Wanderers,"05/07/2016, 11:30",63.0,15.0,22.0,1.81,4.46,4.63,1:0,1.14,0.67,1.01,55.1,22.3,21.5,7.86,-7.3,0.42
19,Huddersfield Town - Brentford FC,"05/07/2016, 11:30",37.0,24.0,39.0,2.17,3.97,3.58,1:5,0.80,0.95,1.39,46.0,25.1,27.8,-9.0,-1.1,11.1
20,Hull City - Rotherham United,"05/07/2016, 11:30",58.0,15.0,27.0,1.57,4.67,7.13,5:1,0.91,0.70,1.92,63.6,21.3,14.0,-5.6,-6.3,12.9
21,Middlesbrough FC - Brighton & Hove Albion FC,"05/07/2016, 11:30",48.0,30.0,22.0,2.16,3.60,4.01,1:1,1.03,1.08,0.88,46.2,27.7,24.9,1.73,2.23,-2.9
22,Preston North End FC - Leeds United,"05/07/2016, 11:30",37.0,18.0,45.0,2.13,3.82,3.83,1:1,0.79,0.68,1.72,46.7,26.1,26.0,-9.7,-8.1,18.9
23,Wolverhampton Wanderers FC - Sheffield Wednesday,"05/07/2016, 11:30",44.0,30.0,26.0,2.42,3.62,3.30,2:1,1.06,1.08,0.86,41.2,27.5,30.2,2.75,2.41,-4.2
24,CSKA Moscow - RFK Terek Grozny,"05/07/2016, 11:30",69.0,20.0,11.0,1.50,4.46,8.13,1:0,1.03,0.89,0.89,66.4,22.3,12.2,2.55,-2.3,-1.2
25,FSV Mainz 05 II - Hansa Rostock,"05/07/2016, 11:30",42.0,25.0,33.0,2.19,3.50,3.44,4:0,0.92,0.87,1.13,45.5,28.5,29.0,-3.5,-3.5,3.94
26,SG Sonnenhof Grossaspach - SV Wehen Wiesbaden,"05/07/2016, 11:30",40.0,39.0,21.0,2.41,3.43,3.08,0:1,0.96,1.33,0.64,41.4,29.1,32.4,-1.4,9.84,-11.
27,FK Mlada Boleslav - Viktoria Pilsen,"05/07/2016, 11:30",51.0,20.0,30.0,1.90,3.93,4.36,2:0,0.97,0.78,1.30,52.5,25.4,22.9,-1.5,-5.4,7.09
28,Guangzhou R&F; FC - Chongqing Lifan,"05/07/2016, 11:35",46.0,32.0,22.0,1.91,3.53,4.25,2:0,0.88,1.13,0.93,52.2,28.2,23.5,-6.2,3.75,-1.5
29,Norwich City - Manchester United,"05/07/2016, 11:45",21.0,19.0,60.0,5.20,3.96,1.86,0:1,1.09,0.75,1.12,19.2,25.2,53.4,1.77,-6.2,6.50
30,FC Brest - FC Slavia Mozyr,"05/07/2016, 12:00",37.0,34.0,29.0,1.68,3.89,5.59,0:0,0.62,1.32,1.62,59.5,25.6,17.8,-22.,8.34,11.1
31,FC Pro Vercelli 1892 - Trapani Calcio,"05/07/2016, 13:00",26.0,37.0,36.0,2.92,3.17,2.74,1:1,0.76,1.17,0.98,34.1,31.4,36.3,-8.1,5.51,-0.3
32,FC Crotone - Latina Calcio,"05/07/2016, 13:00",53.0,29.0,19.0,2.32,3.18,3.62,1:1,1.23,0.92,0.68,43.0,31.3,27.5,9.91,-2.3,-8.5
33,Novara Calcio - Ascoli Calcio,"05/07/2016, 13:00",50.0,27.0,22.0,1.61,4.16,6.16,2:0,0.80,1.12,1.35,61.9,24.0,16.2,-11.,2.97,5.76
34,Unione Sportiva Salernitana 1919 - Modena FC,"05/07/2016, 13:00",27.0,47.0,25.0,2.38,3.16,3.50,0:0,0.64,1.48,0.87,41.8,31.6,28.5,-14.,15.3,-3.5
35,Vicenza Calcio - Virtus Entella,"05/07/2016, 13:00",39.0,42.0,19.0,2.48,2.96,3.56,2:1,0.96,1.24,0.67,40.2,33.7,28.0,-1.2,8.23,-9.0
36,Ternana Calcio - AC Cesena,"05/07/2016, 13:00",17.0,39.0,44.0,3.89,2.92,2.37,1:1,0.66,1.14,1.04,25.6,34.1,42.0,-8.6,4.82,1.95
37,Rakvere JK Tarvas - FC Infonet,"05/07/2016, 13:00",31.0,12.0,57.0,37.9,12.6,1.07,0:1,11.7,1.51,0.61,2.63,7.90,93.1,28.3,4.09,-36.
38,Gaziantepspor - Eskisehirspor,"05/07/2016, 13:00",30.0,30.0,40.0,3.66,3.55,2.24,1:1,1.09,1.06,0.89,27.3,28.1,44.6,2.69,1.84,-4.6
39,PK 35 - HJK Helsinki,"05/07/2016, 13:00",26.0,18.0,56.0,4.57,3.72,1.91,1:2,1.18,0.67,1.07,21.8,26.8,52.2,4.12,-8.8,3.75
40,FC Schalke 04 - FC Augsburg,"05/07/2016, 13:30",64.0,19.0,17.0,1.72,4.74,5.28,1:1,1.10,0.90,0.89,57.9,21.0,18.9,6.02,-2.0,-1.9
41,Borussia Mönchengladbach - Bayer 04 Leverkusen,"05/07/2016, 13:30",56.0,19.0,25.0,1.96,4.27,4.19,2:1,1.10,0.81,1.04,50.7,23.3,23.8,5.23,-4.3,1.19
42,Hamburger SV - VfL Wolfsburg,"05/07/2016, 13:30",32.0,35.0,33.0,2.87,3.72,2.74,0:1,0.92,1.30,0.90,34.7,26.8,36.3,-2.7,8.14,-3.3
43,VfB Stuttgart - FSV Mainz 05,"05/07/2016, 13:30",45.0,24.0,31.0,2.19,4.26,3.44,1:3,0.98,1.02,1.06,45.5,23.4,29.0,-0.5,0.54,1.94
44,Eintracht Frankfurt - Borussia Dortmund,"05/07/2016, 13:30",23.0,13.0,63.0,6.91,5.34,1.53,1:0,1.59,0.69,0.96,14.4,18.6,65.0,8.54,-5.6,-2.0
45,1. FC Köln - Werder Bremen,"05/07/2016, 13:30",29.0,26.0,45.0,3.02,4.06,2.48,0:0,0.87,1.05,1.11,33.1,24.6,40.2,-4.1,1.37,4.70
46,Hertha BSC - SV Darmstadt 98,"05/07/2016, 13:30",58.0,22.0,20.0,1.88,4.04,4.97,1:2,1.09,0.89,0.99,53.1,24.7,20.0,4.82,-2.7,-0.0
47,Hannover 96 - TSG 1899 Hoffenheim,"05/07/2016, 13:30",32.0,20.0,48.0,3.46,4.12,2.22,1:0,1.10,0.82,1.07,28.8,24.2,44.8,3.15,-4.2,3.15
48,FC Ingolstadt - Bayern Munich,"05/07/2016, 13:30",26.0,15.0,60.0,16.3,6.64,1.29,1:2,4.24,0.99,0.77,6.12,15.0,77.0,19.8,-0.0,-17.
49,Crystal Palace - Stoke City,"05/07/2016, 14:00",46.0,33.0,21.0,2.10,3.71,4.22,2:1,0.96,1.22,0.88,47.5,26.9,23.6,-1.5,6.05,-2.6
50,West Ham United - Swansea City,"05/07/2016, 14:00",70.0,16.0,14.0,1.40,5.78,10.6,1:4,0.98,0.92,1.48,71.0,17.2,9.40,-1.0,-1.2,4.59
51,Bournemouth AFC - West Bromwich Albion,"05/07/2016, 14:00",39.0,39.0,21.0,1.99,3.87,4.53,1:1,0.77,1.51,0.95,50.1,25.8,22.0,-11.,13.1,-1.0
52,Aston Villa - Newcastle United,"05/07/2016, 14:00",15.0,16.0,69.0,6.16,4.32,1.70,0:0,0.92,0.69,1.17,16.2,23.1,58.7,-1.2,-7.1,10.2
53,Sunderland AFC - Chelsea FC,"05/07/2016, 14:00",29.0,34.0,37.0,2.97,3.76,2.64,3:2,0.86,1.27,0.97,33.6,26.5,37.8,-4.6,7.41,-0.8
