ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,River Plate Asuncion - Club Sportivo Luqueno,"02/03/2016, 23:00",24.0,30.0,47.0,3.63,3.52,2.08,0:1,0.87,1.05,0.97,27.4,28.3,48.0,-3.4,1.65,-1.0
1,Atletico Pernambucano - Pesqueira PE,"02/03/2016, 23:00",51.0,36.0,13.0,1.79,3.39,5.36,1:0,0.91,1.22,0.69,55.8,29.4,18.6,-4.8,6.53,-5.6
2,Serra Talhada - Vitoria PE,"02/03/2016, 23:00",57.0,29.0,15.0,1.80,3.68,4.66,1:1,1.02,1.06,0.69,55.4,27.1,21.4,1.52,1.87,-6.4
3,Nacional Asuncion - Olimpia Asuncion,"02/03/2016, 23:15",23.0,33.0,44.0,3.51,3.52,2.11,2:2,0.80,1.16,0.93,28.4,28.3,47.2,-5.4,4.65,-3.2
4,Libertad Asuncion - FBC Melgar,"02/03/2016, 23:15",67.0,22.0,12.0,1.58,4.23,5.84,3:1,1.05,0.93,0.70,63.2,23.5,17.1,3.77,-1.5,-5.1
5,Guarani de Juazeiro CE - Quixada CE,"02/03/2016, 23:20",54.0,18.0,28.0,2.17,3.58,3.33,1:0,1.17,0.64,0.93,46.0,27.8,30.0,7.98,-9.8,-2.0
6,Ponte Preta SP - Santos SP,"02/03/2016, 23:45",18.0,47.0,35.0,3.56,3.26,2.20,0:2,0.64,1.53,0.77,28.0,30.6,45.3,-10.,16.3,-10.
7,Universidad Cesar Vallejo - Sao Paulo SP,"02/03/2016, 23:45",20.0,19.0,61.0,5.01,3.53,1.79,1:1,1.00,0.67,1.09,19.9,28.2,55.8,0.06,-9.2,5.17
8,Joinville SC - Figueirense FC,"02/03/2016, 23:45",36.0,37.0,28.0,2.28,3.27,3.36,1:1,0.82,1.21,0.94,43.7,30.5,29.6,-7.7,6.44,-1.6
9,Anapolis GO - Vila Nova GO,"02/03/2016, 23:45",36.0,42.0,21.0,2.50,3.18,3.05,1:1,0.90,1.33,0.64,39.9,31.3,32.7,-3.9,10.6,-11.
10,Guarany CE - Ceara CE,"02/03/2016, 23:45",23.0,24.0,53.0,3.99,3.81,1.89,0:2,0.91,0.91,1.00,25.0,26.2,52.8,-2.0,-2.2,0.13
11,Universidad de Costa Rica - AD Carmelita,"02/04/2016, 00:00",61.0,18.0,21.0,1.81,3.66,4.87,3:2,1.10,0.65,1.02,55.1,27.3,20.5,5.86,-9.3,0.47
12,Sport Boys Warnes - Jorge Wilstermann,"02/04/2016, 00:00",35.0,47.0,18.0,2.04,3.56,3.67,1:1,0.71,1.67,0.66,48.8,28.0,27.2,-13.,18.9,-9.2
13,Bolivar - Club Bamin Real Potosi,"02/04/2016, 00:00",74.0,11.0,15.0,1.25,6.25,12.1,2:0,0.92,0.68,1.82,79.6,15.9,8.19,-5.6,-4.9,6.80
14,Sport Recife PE - America PE,"02/04/2016, 00:30",61.0,15.0,24.0,1.37,4.48,11.1,0:1,0.83,0.67,2.66,72.7,22.3,9.00,-11.,-7.3,14.9
15,Uruguay de Coronado - Limon FC,"02/04/2016, 01:00",51.0,34.0,15.0,1.81,3.81,4.64,1:1,0.92,1.29,0.69,55.1,26.2,21.5,-4.1,7.76,-6.5
16,CS Cartagines - CS Herediano,"02/04/2016, 02:00",23.0,40.0,37.0,2.87,3.27,2.65, - ,0.66,1.30,0.98,34.7,30.5,37.6,-11.,9.44,-0.6
17,Puebla FC - Racing Club,"02/04/2016, 02:15",43.0,28.0,29.0,2.79,3.04,2.81,2:2,1.20,0.85,0.81,35.7,32.8,35.4,7.24,-4.8,-6.4
18,Universidad de Guadalajara - Guadalajara Chivas,"02/04/2016, 02:30",22.0,31.0,47.0,2.92,3.22,2.57,0:1,0.64,0.99,1.21,34.1,31.0,38.8,-12.,-0.0,8.15
19,Club Celaya - CF Monterrey,"02/04/2016, 03:00",21.0,26.0,53.0,3.97,3.60,1.95,0:2,0.83,0.93,1.03,25.1,27.7,51.0,-4.1,-1.7,1.94
20,Irapuato - Atlas de Guadalajara,"02/04/2016, 03:00",24.0,26.0,49.0,4.22,3.62,1.89,1:0,1.01,0.94,0.92,23.6,27.5,52.8,0.33,-1.5,-3.8
21,Auckland City FC - Waitakere United,"02/04/2016, 06:35",67.0,21.0,13.0,1.22,6.87,13.5,5:1,0.81,1.44,1.75,81.7,14.5,7.39,-14.,6.45,5.60
22,FC Caramba - BFC Daugava Daugavpils,"02/04/2016, 11:15",33.0,34.0,33.0,2.26,3.76,2.84,5:1,0.74,1.27,0.93,44.1,26.5,35.1,-11.,7.41,-2.1
23,FC Midtjylland - IFK Göteborg,"02/04/2016, 12:00",25.0,38.0,38.0,2.57,3.44,2.77,2:2,0.64,1.30,1.05,38.8,29.0,36.0,-13.,8.94,1.93
24,Al-Baqaa - Al Sareeh,"02/04/2016, 12:30",31.0,35.0,34.0,3.66,3.28,2.07,0:1,1.13,1.14,0.70,27.3,30.4,48.2,3.69,4.55,-14.
25,Al Asalah - AL-Wihdat,"02/04/2016, 12:30",24.0,21.0,55.0,5.20,3.71,1.66,0:1,1.24,0.77,0.91,19.2,26.9,59.8,4.77,-5.9,-4.8
26,C.P.K. - Lai Chi,"02/04/2016, 13:00",64.0,23.0,14.0,1.35,6.58,6.58,1:1,0.86,1.51,0.92,73.9,15.1,15.1,-9.9,7.81,-1.1
27,Bröndby IF - FC Lokomotiv Moscow,"02/04/2016, 13:00",25.0,29.0,47.0,3.89,3.65,1.95,0:0,0.97,1.05,0.92,25.6,27.3,51.0,-0.6,1.60,-4.0
28,Vendsyssel FF - Aalborg BK,"02/04/2016, 13:00",27.0,22.0,51.0,4.08,4.03,1.82,1:3,1.10,0.88,0.93,24.4,24.7,54.8,2.52,-2.7,-3.8
29,Fanja - Al Nahda,"02/04/2016, 13:15",53.0,28.0,19.0,1.80,3.83,4.45,1:0,0.95,1.07,0.84,55.4,26.0,22.4,-2.4,1.93,-3.4
30,Al Jazira Club - Dibba Al Fujairah,"02/04/2016, 13:25",56.0,26.0,18.0,1.96,3.94,3.57,5:1,1.10,1.02,0.64,50.7,25.3,27.9,5.23,0.67,-9.9
31,El Jaish SC - Al Kharaityat SC,"02/04/2016, 13:30",55.0,20.0,25.0,1.49,4.67,6.40,3:0,0.82,0.93,1.60,66.9,21.3,15.6,-11.,-1.3,9.37
32,Greece - Czech Republic,"02/04/2016, 13:30",45.0,26.0,29.0,2.44,3.24,3.08,0:1,1.10,0.84,0.89,40.8,30.7,32.4,4.14,-4.7,-3.4
33,Al Qadsia - Yarmouk,"02/04/2016, 13:40",61.0,19.0,20.0,1.14,7.00,20.5,2:0,0.70,1.33,4.11,87.0,14.2,4.86,-26.,4.72,15.1
34,AL Nassr FC - Al-Khaboora,"02/04/2016, 13:45",55.0,28.0,17.0,2.00,3.47,3.96,1:0,1.10,0.97,0.67,49.9,28.7,25.2,5.08,-0.7,-8.2
35,Mali - Ivory Coast,"02/04/2016, 14:00",25.0,42.0,33.0,3.05,2.99,2.63,1:0,0.76,1.25,0.86,32.7,33.3,37.9,-7.7,8.63,-4.9
36,NK Olimpija Ljubljana - NK Istra 1961,"02/04/2016, 14:00",49.0,30.0,21.0,1.80,4.31,3.94,1:0,0.88,1.29,0.82,55.4,23.1,25.3,-6.4,6.82,-4.3
37,Al Nasr Riyadh - Al Qadisiyah,"02/04/2016, 15:20",68.0,18.0,13.0,1.37,5.24,8.15,0:0,0.93,0.94,1.05,72.7,19.0,12.2,-4.7,-1.0,0.73
38,FK Krasnodar - KKS Lech Poznan,"02/04/2016, 15:30",56.0,24.0,20.0,1.81,3.96,4.23,1:1,1.01,0.95,0.84,55.1,25.2,23.5,0.86,-1.2,-3.5
39,Rovaniemi Palloseura - Kuopio PS,"02/04/2016, 16:00",50.0,26.0,24.0,1.85,3.47,4.66,2:0,0.92,0.90,1.11,53.8,28.7,21.4,-3.8,-2.7,2.55
