ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Cerro Porteno - Bolivar,"02/02/2016, 23:15",63.0,22.0,15.0,1.30,5.25,11.9,3:2,0.82,1.15,1.78,76.3,19.0,8.38,-13.,2.97,6.61
1,Venezuela - Costa Rica,"02/03/2016, 00:00",33.0,25.0,42.0,2.80,3.28,2.86,1:0,0.92,0.82,1.20,35.6,30.4,34.8,-2.6,-5.4,7.12
2,CA River Plate - Universidad de Chile,"02/03/2016, 00:45",50.0,27.0,23.0,2.55,3.49,2.77,2:0,1.27,0.94,0.63,39.1,28.6,36.0,10.8,-1.6,-13.
3,Atletico Pachuca - Atletico San Luis,"02/03/2016, 01:00",54.0,26.0,20.0,1.43,4.58,7.79,1:2,0.77,1.19,1.55,69.4,21.8,12.8,-15.,4.18,7.17
4,Juarez FC - Dorados de Sinaloa,"02/03/2016, 01:00",59.0,24.0,17.0,2.10,3.33,3.77,2:0,1.24,0.79,0.64,47.5,30.0,26.4,11.4,-6.0,-9.4
5,Cruz Azul - CF Atlante,"02/03/2016, 03:00",62.0,19.0,19.0,1.45,4.46,7.79,1:1,0.89,0.84,1.48,68.9,22.3,12.8,-6.9,-3.3,6.17
6,Club Tijuana - Coras Tepic,"02/03/2016, 03:00",61.0,22.0,17.0,1.51,4.39,6.58,3:2,0.92,0.96,1.11,65.9,22.7,15.1,-4.9,-0.7,1.81
7,Videoton FC - BGSZ Siofok,"02/03/2016, 10:00",59.0,13.0,27.0,1.45,5.17,6.42,5:1,0.85,0.67,1.73,68.9,19.3,15.5,-9.9,-6.3,11.4
8,Sporting - Monte Carlo,"02/03/2016, 11:00",55.0,17.0,27.0,2.18,4.80,2.64,0:0,1.20,0.81,0.71,45.7,20.8,37.8,9.21,-3.8,-10.
9,Malavan Bandar Anzali FC - Naftoon Tehran,"02/03/2016, 11:00",34.0,39.0,26.0,2.83,2.92,2.73,0:0,0.96,1.14,0.71,35.3,34.1,36.5,-1.3,4.82,-10.
10,Zaglebie Sosnowiec SA - FKS Stal Mielec,"02/03/2016, 11:00",53.0,24.0,24.0,1.73,4.17,4.45,1:1,0.92,1.00,1.06,57.6,23.9,22.4,-4.6,0.04,1.55
11,FK Ventspils - FK Liepaja,"02/03/2016, 11:15",30.0,26.0,44.0,2.60,3.88,2.37,0:2,0.78,1.01,1.04,38.3,25.7,42.0,-8.3,0.26,1.95
12,Guaratingueta SP - Flamengo SP,"02/03/2016, 12:00",23.0,33.0,46.0,2.85,3.26,2.60,1:1,0.65,1.07,1.20,35.0,30.6,38.3,-12.,2.32,7.67
13,Atibaia SP - Olimpia Sp,"02/03/2016, 12:00",44.0,21.0,35.0,1.38,4.95,8.52,3:0,0.60,1.03,2.98,72.1,20.2,11.7,-28.,0.79,23.2
14,HNK Gorica - NK Inter Zapresic,"02/03/2016, 12:00",35.0,23.0,42.0,3.58,3.82,2.00,1:2,1.25,0.87,0.84,27.8,26.1,49.9,7.13,-3.1,-7.9
15,FK Baumit Jablonec - Kalmar FF,"02/03/2016, 13:00",48.0,26.0,27.0,1.46,4.66,6.99,2:1,0.70,1.21,1.88,68.4,21.4,14.3,-20.,4.55,12.6
16,MFK Zemplin Michalovce - Lok. Kosice,"02/03/2016, 13:00",58.0,15.0,27.0,1.68,4.32,4.68,4:0,0.97,0.64,1.26,59.5,23.1,21.3,-1.5,-8.1,5.66
17,Hifk - IFK Mariehamn,"02/03/2016, 13:30",30.0,44.0,26.0,2.40,3.49,2.96,1:0,0.72,1.53,0.77,41.6,28.6,33.7,-11.,15.3,-7.7
18,Milano United - Thanda Royal Zulu FC,"02/03/2016, 13:30",50.0,25.0,25.0,1.70,3.65,5.66,3:0,0.85,0.91,1.41,58.7,27.3,17.6,-8.7,-2.3,7.33
19,Democratic Republic of the Congo - Guinea,"02/03/2016, 14:00",43.0,32.0,24.0,2.56,3.02,3.12,0:0,1.10,0.96,0.75,39.0,33.1,31.9,3.98,-1.1,-7.9
20,Dundee United - Heart of Midlothian,"02/03/2016, 14:00",57.0,17.0,27.0,2.21,4.03,2.92,3:3,1.26,0.68,0.79,45.0,24.7,34.1,11.9,-7.7,-7.1
21,Zrinjski Mostar - NK Novigrad,"02/03/2016, 14:00",58.0,12.0,30.0,1.49,5.74,5.10,0:0,0.86,0.68,1.53,66.9,17.4,19.5,-8.9,-5.4,10.4
22,AEK Larnaca - Anorthosis Famagusta FC,"02/03/2016, 14:00",52.0,30.0,18.0,2.13,3.38,3.62,3:0,1.11,1.01,0.65,46.7,29.5,27.5,5.24,0.42,-9.5
23,Hammarby IF - Halmstads BK,"02/03/2016, 14:30",51.0,28.0,21.0,1.79,3.97,4.32,4:1,0.91,1.11,0.90,55.8,25.1,23.1,-4.8,2.83,-2.1
24,Ismaily SC - Al-Zamalek,"02/03/2016, 15:00",19.0,32.0,49.0,4.08,3.41,1.99,1:0,0.77,1.09,0.97,24.4,29.2,50.1,-5.4,2.74,-1.1
25,Muscat - AL Shabab,"02/03/2016, 15:00",29.0,47.0,24.0,2.81,3.22,2.65,0:1,0.81,1.51,0.63,35.4,31.0,37.6,-6.4,15.9,-13.
26,FC Dinamo Moscow - Sparta Prague,"02/03/2016, 15:30",33.0,33.0,35.0,3.84,3.66,1.96,1:1,1.26,1.20,0.68,25.9,27.3,50.7,7.01,5.69,-15.
27,FC Anzhi Makhachkala - Jiangsu Shuntian,"02/03/2016, 15:30",59.0,19.0,22.0,2.21,3.97,2.96,0:2,1.30,0.75,0.65,45.0,25.1,33.7,13.9,-6.1,-11.
28,Borussia Dortmund - TSG Sprockhoevel,"02/03/2016, 17:00",65.0,7.0,28.0,1.07,12.4,35.2,6:0,0.69,0.87,9.87,93.1,8.02,2.83,-28.,-1.0,25.1
29,BK Häcken - Gais,"02/03/2016, 17:00",49.0,15.0,36.0,1.63,4.32,5.09,1:0,0.80,0.64,1.83,61.1,23.1,19.6,-12.,-8.1,16.3
30,Arminia Bielefeld - SC Verl,"02/03/2016, 17:00",52.0,13.0,35.0,1.18,7.85,15.8, - ,0.61,1.02,5.54,84.7,12.7,6.31,-32.,0.27,28.6
31,Frosinone - Bologna FC,"02/03/2016, 17:30",30.0,27.0,44.0,3.34,3.56,2.49,1:0,1.00,0.96,1.09,29.8,28.0,40.1,0.10,-1.0,3.89
32,FC Den Bosch - VVSB,"02/03/2016, 17:30",55.0,11.0,34.0,1.32,6.18,9.00,2:3,0.72,0.68,3.06,75.7,16.1,11.1,-20.,-5.1,22.8
33,Asteras Tripolis - Olympiacos Piraeus,"02/03/2016, 17:30",28.0,26.0,47.0,4.02,3.40,2.04,1:1,1.12,0.88,0.96,24.8,29.3,48.8,3.14,-3.3,-1.8
34,University of Pretoria FC - Free State Stars FC,"02/03/2016, 17:30",27.0,46.0,27.0,3.04,3.09,2.64,2:2,0.82,1.42,0.71,32.8,32.3,37.8,-5.8,13.6,-10.
35,Orlando Pirates FC - Ajax Cape Town FC,"02/03/2016, 17:30",48.0,28.0,23.0,1.75,3.60,5.47,2:1,0.84,1.00,1.25,56.8,27.7,18.2,-8.8,0.23,4.72
36,Bloemfontein Celtic FC - Supersport United FC,"02/03/2016, 17:30",31.0,44.0,25.0,3.21,3.02,2.57,1:1,0.99,1.32,0.64,31.1,33.1,38.8,-0.1,10.8,-13.
37,Polokwane City - Maritzburg United FC,"02/03/2016, 17:30",45.0,33.0,22.0,2.24,3.24,3.60,3:1,1.00,1.07,0.79,44.6,30.7,27.7,0.38,2.21,-5.7
38,Bidvest Wits FC - Platinium Stars FC,"02/03/2016, 17:30",46.0,30.0,25.0,1.82,3.56,4.92,1:1,0.83,1.06,1.23,54.8,28.0,20.3,-8.8,1.94,4.68
39,EA Guingamp - ES Troyes AC,"02/03/2016, 18:00",67.0,18.0,15.0,1.59,4.37,7.57,4:0,1.06,0.78,1.13,62.7,22.8,13.2,4.21,-4.8,1.79
40,FC Nantes - Gazelec Ajaccio,"02/03/2016, 18:00",54.0,29.0,17.0,2.10,3.43,4.46,3:1,1.13,0.99,0.75,47.5,29.1,22.3,6.49,-0.1,-5.3
41,Lille OSC - SM Caen,"02/03/2016, 18:00",56.0,27.0,16.0,1.85,3.79,5.33,1:0,1.04,1.02,0.85,53.8,26.3,18.7,2.18,0.67,-2.7
42,OGC Nice - Toulouse FC,"02/03/2016, 18:00",49.0,30.0,22.0,2.44,3.55,3.33,1:0,1.19,1.06,0.73,40.8,28.1,30.0,8.14,1.84,-8.0
43,Olympique Lyon - FC Girondins Bordeaux,"02/03/2016, 18:00",50.0,33.0,18.0,1.74,4.06,5.86,3:0,0.87,1.34,1.05,57.2,24.6,17.0,-7.2,8.37,0.95
44,Stade de Reims - SCO Angers,"02/03/2016, 18:00",37.0,40.0,23.0,2.50,3.18,3.61,2:1,0.92,1.27,0.83,39.9,31.3,27.6,-2.9,8.63,-4.6
45,Enppi Club - Al-Ahly Cairo,"02/03/2016, 18:00",13.0,37.0,50.0,5.16,3.41,1.80,0:2,0.67,1.26,0.90,19.3,29.2,55.4,-6.3,7.74,-5.4
46,Matonense SP - Inter de Limeira SP,"02/03/2016, 18:00",33.0,22.0,46.0,1.88,3.67,4.21,0:1,0.62,0.80,1.93,53.1,27.2,23.7,-20.,-5.2,22.2
47,Primavera SP - Atletico Joseense SP,"02/03/2016, 18:00",56.0,28.0,16.0,1.99,3.32,4.21,2:0,1.11,0.92,0.67,50.1,30.1,23.7,5.80,-2.1,-7.7
48,Nacional SP - Noroeste SP,"02/03/2016, 18:00",44.0,13.0,43.0,1.39,5.06,7.75,3:0,0.61,0.65,3.33,71.6,19.7,12.8,-27.,-6.7,30.1
49,CSKA Moscow - Valerenga IF,"02/03/2016, 18:00",65.0,18.0,17.0,1.52,4.57,5.96,4:1,0.99,0.82,1.01,65.4,21.8,16.7,-0.4,-3.8,0.23
50,Örebro SK - AARHUS GF,"02/03/2016, 18:00",35.0,28.0,37.0,4.16,3.63,1.90,0:1,1.45,1.01,0.70,24.0,27.4,52.5,10.9,0.51,-15.
51,Resende RJ - Volta Redonda RJ,"02/03/2016, 19:00",35.0,25.0,40.0,2.21,3.53,3.24,1:1,0.77,0.88,1.29,45.0,28.2,30.7,-10.,-3.2,9.21
52,Madureira RJ - Cabofriense RJ,"02/03/2016, 19:00",50.0,26.0,23.0,1.85,3.57,4.53,4:2,0.92,0.92,1.04,53.8,27.9,22.0,-3.8,-1.9,0.93
53,Boavista RJ - Friburguense RJ,"02/03/2016, 19:00",35.0,47.0,18.0,2.13,3.34,3.66,4:0,0.74,1.57,0.65,46.7,29.8,27.3,-11.,17.1,-9.3
