ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Racing Club - Godoy Cruz A.T.,"03/25/2017, 23:00",71.0,17.0,12.0,1.69,3.89,6.14,2:1,1.20,0.66,0.73,59.1,25.6,16.2,11.8,-8.6,-4.2
1,Independiente Santa Fe - Millonarios FC,"03/25/2017, 23:00",40.0,33.0,27.0,2.36,3.24,3.22,2:1,0.94,1.07,0.87,42.2,30.7,31.0,-2.2,2.21,-4.0
2,CF ALEBRIJES DE OAXACA - Loros Universidad,"03/25/2017, 23:00",75.0,15.0,9.0,1.46,4.50,7.57,3:1,1.09,0.67,0.68,68.4,22.1,13.2,6.57,-7.1,-4.2
3,Club Libertad Asuncion - General Diaz,"03/25/2017, 23:10",62.0,21.0,18.0,1.58,4.26,5.82,3:0,0.98,0.89,1.04,63.2,23.4,17.1,-1.2,-2.4,0.83
4,Columbus Crew - Portland Timbers,"03/25/2017, 23:30",58.0,16.0,26.0,1.78,4.25,4.68,3:2,1.03,0.68,1.21,56.1,23.5,21.3,1.82,-7.5,4.66
5,Atletico Rafaela - Estudiantes De La Plata,"03/25/2017, 23:30",32.0,40.0,28.0,2.87,3.22,2.83,2:2,0.92,1.28,0.79,34.7,31.0,35.3,-2.7,8.98,-7.3
6,Sunshine Coast Fire - Olympic FC,"03/26/2017, 04:00",31.0,9.0,60.0,14.0,8.05,1.20,2:8,4.34,0.72,0.72,7.14,12.4,83.2,23.8,-3.4,-23.
7,Perth Glory FC - Sydney FC,"03/26/2017, 08:00",33.0,17.0,49.0,3.32,3.98,2.18,0:3,1.09,0.67,1.07,30.1,25.0,45.7,2.88,-8.0,3.21
8,Ipswich Knights - Queensland Lions,"03/26/2017, 08:00",32.0,19.0,49.0,5.79,5.40,1.46,2:1,1.85,1.02,0.71,17.2,18.5,68.4,14.7,0.49,-19.
9,AFK Chrudim - Domazlice,"03/26/2017, 08:15",41.0,47.0,11.0,1.51,4.71,6.00,2:2,0.62,2.21,0.66,65.9,21.2,16.6,-24.,25.7,-5.6
10,Olympia Hradec Kralove - Vysehrad,"03/26/2017, 08:15",74.0,19.0,7.0,1.33,5.18,10.4,5:1,0.98,0.98,0.73,75.1,19.2,9.56,-1.1,-0.2,-2.5
11,Getafe CF - CD Lugo,"03/26/2017, 10:00",68.0,19.0,13.0,1.85,3.60,5.17,2:0,1.26,0.68,0.67,53.8,27.7,19.3,14.1,-8.7,-6.3
12,FC Sibir Novosibirsk - FC Sokol Saratov,"03/26/2017, 10:00",52.0,33.0,15.0,1.96,3.23,4.50,1:0,1.02,1.06,0.67,50.7,30.8,22.1,1.23,2.10,-7.1
13,UD Extremadura - UD Melilla,"03/26/2017, 10:00",37.0,46.0,17.0,2.19,3.04,3.92,0:1,0.81,1.40,0.66,45.5,32.8,25.4,-8.5,13.1,-8.4
14,CD Ebro - Hercules CF,"03/26/2017, 10:00",24.0,46.0,30.0,2.67,3.05,2.94,1:0,0.64,1.40,0.88,37.3,32.7,33.9,-13.,13.2,-3.9
15,Hellas Verona - Pisa Calcio,"03/26/2017, 10:30",73.0,18.0,9.0,1.61,3.78,8.70,1:1,1.17,0.68,0.78,61.9,26.4,11.4,11.0,-8.4,-2.4
16,Jammerbugt FC - FC Svendborg,"03/26/2017, 11:00",54.0,39.0,7.0,1.28,6.38,10.5,0:0,0.69,2.49,0.73,77.6,15.6,9.5,-23.,23.3,-2.5
17,Norway - Hungary,"03/26/2017, 11:00",40.0,25.0,36.0,3.83,3.35,2.08,0:1,1.53,0.83,0.74,26.0,29.7,48.0,13.9,-4.7,-12.
18,Scunthorpe United - Bradford City,"03/26/2017, 11:30",28.0,37.0,36.0,2.94,3.36,2.66,3:2,0.82,1.24,0.96,33.9,29.6,37.4,-5.9,7.32,-1.4
19,FC Helsingor - FC Fredericia,"03/26/2017, 11:45",63.0,19.0,19.0,2.17,3.41,3.58,0:0,1.36,0.64,0.68,46.0,29.2,27.8,16.9,-10.,-8.8
20,Skive IK - Naestved BK,"03/26/2017, 11:45",48.0,19.0,33.0,2.48,3.51,2.92,2:1,1.19,0.66,0.96,40.2,28.4,34.1,7.70,-9.4,-1.1
21,Hobro IK - BK Fremad Amager,"03/26/2017, 11:45",59.0,29.0,12.0,1.70,3.68,5.77,4:0,1.00,1.06,0.69,58.7,27.1,17.3,0.27,1.87,-5.3
22,Trikala - Aris Thessaloniki FC,"03/26/2017, 12:00",20.0,28.0,52.0,3.22,3.23,2.37,1:0,0.64,0.90,1.23,31.0,30.8,42.0,-11.,-2.8,9.95
23,GS Apollon Smyrnis - Aiginiakos FC,"03/26/2017, 12:00",65.0,17.0,19.0,1.19,7.09,16.1,4:1,0.77,1.20,3.06,83.9,14.0,6.19,-18.,2.90,12.8
24,OFI Crete FC - Kallithea FC Athén,"03/26/2017, 12:00",74.0,12.0,14.0,1.25,5.71,15.0,1:0,0.92,0.68,2.10,79.6,17.4,6.64,-5.6,-5.4,7.35
25,Virtus Entella - AC Cesena,"03/26/2017, 13:00",36.0,37.0,27.0,2.34,3.34,3.65,2:1,0.84,1.23,0.98,42.6,29.8,27.3,-6.6,7.10,-0.3
26,Carpi FC 1909 - Perugia,"03/26/2017, 13:00",31.0,49.0,20.0,2.58,3.11,3.40,0:0,0.80,1.52,0.68,38.6,32.0,29.3,-7.6,16.9,-9.3
27,Spal 2013 - Frosinone,"03/26/2017, 13:00",44.0,33.0,23.0,2.10,3.52,4.13,0:2,0.92,1.16,0.95,47.5,28.3,24.1,-3.5,4.65,-1.1
28,Ternana Calcio - AS Avellino 1912,"03/26/2017, 13:00",46.0,30.0,24.0,2.45,3.22,3.51,4:1,1.13,0.96,0.84,40.6,31.0,28.4,5.33,-1.0,-4.4
29,FK Tosno - FC Dinamo Moscow,"03/26/2017, 13:00",33.0,37.0,30.0,2.57,3.17,2.97,1:2,0.84,1.17,0.89,38.8,31.4,33.6,-5.8,5.51,-3.6
