ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Botafogo RJ - Parana Clube PR,"09/08/2015, 22:00",46.0,26.0,29.0,1.70,3.89,5.68,2:1,0.78,1.01,1.64,58.7,25.6,17.5,-12.,0.34,11.4
1,Bragantino SP - ABC RN,"09/08/2015, 22:00",50.0,27.0,24.0,1.91,3.60,4.51,3:1,0.95,0.97,1.08,52.2,27.7,22.1,-2.2,-0.7,1.87
2,Boa Esporte Clube - Mogi Mirim SP,"09/08/2015, 22:00",37.0,42.0,22.0,2.04,3.46,4.11,0:1,0.75,1.45,0.90,48.8,28.8,24.3,-11.,13.1,-2.3
3,Criciuma SC - Vitoria BA,"09/08/2015, 22:00",37.0,34.0,30.0,2.34,3.44,3.30,2:3,0.86,1.17,0.99,42.6,29.0,30.2,-5.6,4.94,-0.2
4,Santa Cruz PE - Paysandu PA,"09/08/2015, 22:00",57.0,23.0,19.0,1.89,3.61,4.67,1:2,1.07,0.83,0.88,52.8,27.6,21.3,4.13,-4.6,-2.3
5,Luverdense MT - Atletico GO,"09/08/2015, 22:30",28.0,33.0,39.0,2.27,3.40,3.49,1:1,0.63,1.12,1.36,43.9,29.3,28.6,-15.,3.63,10.3
6,Haiti - Grenada,"09/08/2015, 23:00",61.0,10.0,29.0,1.11,7.39,77.5,3:0,0.68,0.73,22.4,89.5,13.5,1.29,-28.,-3.5,27.7
7,Colo Colo - Coquimbo Unido,"09/08/2015, 23:00",52.0,10.0,38.0,1.19,7.45,18.6,3:0,0.61,0.74,7.07,83.9,13.4,5.36,-31.,-3.4,32.6
8,Cerro Porteno - Club Sportivo Luqueno,"09/08/2015, 23:00",63.0,17.0,21.0,1.72,3.93,4.85,3:1,1.08,0.66,1.02,57.9,25.4,20.5,5.02,-8.4,0.41
9,San Jose Oruro - Club Bamin Real Potosi,"09/09/2015, 00:00",73.0,15.0,11.0,1.54,4.33,6.03,3:3,1.13,0.65,0.66,64.5,23.0,16.5,8.43,-8.0,-5.5
10,Colombia - Peru,"09/09/2015, 00:00",46.0,19.0,35.0,1.84,3.50,5.48,1:1,0.84,0.66,1.91,54.1,28.5,18.2,-8.1,-9.5,16.7
11,USA - Brazil,"09/09/2015, 00:00",15.0,34.0,51.0,4.46,3.94,1.86,1:4,0.67,1.34,0.95,22.3,25.3,53.4,-7.3,8.67,-2.4
12,Nicaragua - Jamaica,"09/09/2015, 01:30",44.0,15.0,41.0,6.87,4.51,1.48,0:2,3.02,0.67,0.60,14.5,22.1,67.4,29.4,-7.1,-26.
13,El Salvador - Curacao,"09/09/2015, 01:35",64.0,17.0,19.0,1.60,3.74,6.73,1:0,1.02,0.63,1.27,62.3,26.6,14.8,1.64,-9.6,4.14
14,Costa Rica - Uruguay,"09/09/2015, 02:00",45.0,29.0,26.0,3.29,3.20,2.53,1:0,1.48,0.92,0.66,30.3,31.2,39.3,14.6,-2.2,-13.
15,Argentina - Mexico,"09/09/2015, 02:00",67.0,15.0,18.0,1.59,4.45,6.33,2:2,1.06,0.66,1.13,62.7,22.4,15.7,4.21,-7.4,2.20
16,Guatemala - Antigua and Barbuda,"09/09/2015, 02:06",44.0,31.0,25.0,1.40,4.61,9.13,2:0,0.61,1.42,2.28,71.0,21.6,10.9,-27.,9.30,14.0
17,Jeonnam Dragons - Seongnam Ilhwa Chunma,"09/09/2015, 10:00",29.0,40.0,31.0,2.53,3.14,3.04,1:1,0.73,1.25,0.94,39.3,31.8,32.8,-10.,8.15,-1.8
18,Busan I Park - Suwon Samsung Blue Wings,"09/09/2015, 10:00",25.0,28.0,48.0,3.98,3.40,2.01,2:2,0.99,0.95,0.96,25.0,29.3,49.6,-0.0,-1.3,-1.6
19,Gwangju FC - Incheon United FC,"09/09/2015, 10:00",34.0,38.0,28.0,2.74,3.05,2.86,1:0,0.93,1.16,0.80,36.3,32.7,34.8,-2.3,5.28,-6.8
20,Kashima Antlers - FC Ryukyu,"09/09/2015, 10:00",67.0,9.0,24.0,1.12,8.46,30.6,3:1,0.75,0.76,7.34,88.7,11.8,3.26,-21.,-2.8,20.7
21,Niigata Albirex - Blaublitz Akita,"09/09/2015, 10:00",55.0,8.0,37.0,1.09,9.81,37.0,4:0,0.60,0.78,13.7,91.3,10.1,2.69,-36.,-2.1,34.3
22,Shimizu S-Pulse - Fujieda MYFC,"09/09/2015, 10:00",61.0,9.0,30.0,1.15,7.70,20.7,2:4,0.70,0.69,6.22,86.2,12.9,4.81,-25.,-3.9,25.1
23,Vissel Kobe - Nagano Parceiro,"09/09/2015, 10:00",64.0,21.0,15.0,1.40,4.76,8.44,5:0,0.90,1.00,1.26,71.0,20.9,11.8,-7.0,0.01,3.16
24,Nagoya Grampus - Machida Zelvia,"09/09/2015, 10:00",55.0,16.0,29.0,1.60,4.23,5.52,0:1,0.88,0.67,1.60,62.3,23.5,18.0,-7.3,-7.5,10.9
25,Roasso Kumamoto - Gainare Tottori,"09/09/2015, 10:00",41.0,34.0,25.0,1.75,3.74,4.87,1:0,0.72,1.27,1.21,56.8,26.6,20.5,-15.,7.32,4.47
26,Ulsan Hyundai FC - Jeonbuk Hyundai Motors,"09/09/2015, 10:30",35.0,19.0,46.0,3.60,3.35,2.15,2:0,1.26,0.63,0.98,27.7,29.7,46.5,7.23,-10.,-0.5
27,FC Seoul - Pohang Steelers FC,"09/09/2015, 10:30",35.0,45.0,20.0,2.42,3.15,3.22,0:0,0.84,1.41,0.64,41.2,31.7,31.0,-6.2,13.2,-11.
28,Daejeon Citizen FC - Jeju United FC,"09/09/2015, 10:30",24.0,18.0,58.0,4.41,3.58,1.86,2:4,1.06,0.64,1.08,22.6,27.8,53.4,1.35,-9.8,4.50
29,S-2 Novosibirsk - FC Chita,"09/09/2015, 12:00",21.0,35.0,44.0,3.11,3.51,2.29,1:4,0.65,1.23,1.01,32.0,28.4,43.5,-11.,6.55,0.48
30,Volga Olimpiets - Neftek. Nizhnekamsk,"09/09/2015, 13:00",21.0,28.0,51.0,3.09,3.51,2.30,0:0,0.64,0.98,1.17,32.3,28.4,43.2,-11.,-0.4,7.70
31,CS Concordia Chiajna - FC Botosani,"09/09/2015, 13:30",27.0,33.0,39.0,2.35,3.18,3.30,3:0,0.63,1.05,1.29,42.4,31.3,30.2,-15.,1.63,8.77
32,NK Mura - NK Celje,"09/09/2015, 14:00",37.0,16.0,46.0,5.71,4.09,1.63,0:3,2.11,0.65,0.75,17.4,24.3,61.1,19.5,-8.3,-15.
33,Radnik Bijeljina - FK Drina Zvornik,"09/09/2015, 14:30",57.0,20.0,22.0,1.52,4.12,7.58,1:0,0.87,0.82,1.66,65.4,24.2,13.1,-8.4,-4.2,8.81
34,NK Celik Zenica - NK Siroki Brijeg,"09/09/2015, 14:30",28.0,33.0,39.0,3.04,3.45,2.42,2:1,0.85,1.13,0.94,32.8,28.9,41.2,-4.8,4.05,-2.2
35,FK Rudar Prijedor - Zrinjski Mostar,"09/09/2015, 14:30",35.0,19.0,46.0,3.58,3.45,2.16,0:1,1.25,0.65,0.99,27.8,28.9,46.2,7.13,-9.9,-0.2
36,Bk-46 - Grankulla IFK,"09/09/2015, 15:00",18.0,15.0,67.0,3.60,4.25,1.85,2:3,0.64,0.63,1.24,27.7,23.5,53.8,-9.7,-8.5,13.1
37,FC Volga Ulyanovsk - Dinamo Kirov,"09/09/2015, 15:00",51.0,28.0,21.0,1.37,4.67,10.1,1:0,0.70,1.30,2.13,72.7,21.3,9.83,-21.,6.60,11.1
38,FSV Barleben - FC International Leipzig,"09/09/2015, 15:30",59.0,23.0,19.0,1.94,4.22,3.45,4:1,1.14,0.97,0.65,51.3,23.6,28.9,7.65,-0.6,-9.9
39,Tarup-Paarup IF - Odense BK,"09/09/2015, 15:45",19.0,5.0,76.0,68.5,18.9,1.04,0:2,13.0,0.94,0.79,1.45,5.27,96.0,17.5,-0.2,-20.
40,ACS Poli Timisoara - FC Petrolul Ploiesti,"09/09/2015, 16:00",33.0,37.0,30.0,2.55,3.14,3.03,1:0,0.84,1.16,0.90,39.1,31.8,32.9,-6.1,5.15,-2.9
