ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Uruguay de Coronado - Municipal Perez Zeledon,"09/08/2013, 23:00",63.0,19.0,19.0,2.12,3.53,3.47,0:2,1.34,0.67,0.66,47.0,28.2,28.7,16.0,-9.2,-9.7
1,Fortaleza CE - Santa Cruz PE,"09/08/2013, 23:00",44.0,19.0,37.0,1.84,3.53,4.54,2:0,0.81,0.67,1.68,54.1,28.2,21.9,-10.,-9.2,15.0
2,Deportivo Pasto - Deportes Tolima,"09/08/2013, 23:30",43.0,35.0,21.0,2.35,3.41,3.05,1:1,1.01,1.19,0.64,42.4,29.2,32.7,0.54,5.74,-11.
3,New England Revolution - Montreal Impact,"09/09/2013, 00:30",57.0,23.0,19.0,2.24,3.53,3.53,2:4,1.27,0.81,0.67,44.6,28.2,28.2,12.3,-5.2,-9.2
4,Houston Dynamo Reserve - New York Red Bulls Reserve,"09/09/2013, 00:30",32.0,51.0,17.0,1.95,3.66,3.84,2:7,0.62,1.86,0.65,51.0,27.3,25.9,-19.,23.6,-8.9
5,Toronto Croatia - Windsor Stars,"09/09/2013, 01:00",43.0,13.0,10.0,1.40,5.20,7.09,2:1,0.60,0.67,0.70,71.0,19.2,14.0,-28.,-6.2,-4.0
6,Olimpo Bahia Blanca - Boca Juniors,"09/09/2013, 01:15",33.0,40.0,27.0,2.81,3.11,2.99,3:0,0.93,1.24,0.80,35.4,32.0,33.3,-2.4,7.91,-6.3
7,America de Cali - Llaneros FC,"09/09/2013, 01:45",74.0,15.0,11.0,1.51,4.28,6.73,2:0,1.12,0.64,0.74,65.9,23.3,14.8,8.03,-8.3,-3.8
8,Chivas USA - Washington DC United,"09/09/2013, 02:00",46.0,33.0,21.0,2.41,3.53,3.17,1:0,1.10,1.16,0.66,41.4,28.2,31.4,4.55,4.75,-10.
9,Portland Timbers Reserve - Real Salt Lake Reserve,"09/09/2013, 02:00",28.0,51.0,21.0,2.24,3.60,3.11,1:1,0.62,1.83,0.65,44.6,27.7,32.0,-16.,23.2,-11.
