ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Deportivo Saprissa - Limon FC,"10/09/2016, 22:00",54.0,18.0,30.0,1.37,5.25,8.92,6:1,0.74,0.94,2.67,72.7,19.0,11.2,-18.,-1.0,18.7
1,Independiente Medellin - Deportes Tolima,"10/09/2016, 22:00",53.0,26.0,21.0,1.70,3.79,5.52,1:1,0.90,0.98,1.16,58.7,26.3,18.0,-5.7,-0.3,2.90
2,CD Motagua - Juticalpa FC,"10/09/2016, 22:00",39.0,32.0,28.0,1.79,3.65,4.81,2:2,0.69,1.16,1.34,55.8,27.3,20.7,-16.,4.60,7.24
3,Fortaleza CE - Juventude RS,"10/09/2016, 22:00",47.0,34.0,19.0,2.09,3.17,4.06,1:1,0.98,1.07,0.77,47.7,31.4,24.6,-0.7,2.51,-5.6
4,Alianza FC - Tauro FC,"10/09/2016, 22:00",40.0,40.0,20.0,2.18,3.62,3.27,0:2,0.87,1.45,0.65,45.7,27.5,30.5,-5.7,12.4,-10.
5,EC Bahia BA - Tupi MG,"10/09/2016, 22:30",60.0,17.0,23.0,1.33,5.16,13.0,4:0,0.79,0.87,3.00,75.1,19.3,7.66,-15.,-2.3,15.3
6,Unan Managua - Diriangen FC,"10/10/2016, 00:00",43.0,36.0,21.0,2.41,3.41,2.99,0:2,1.03,1.23,0.62,41.4,29.2,33.3,1.55,6.74,-12.
7,Atlético FC - Real Cartagena,"10/10/2016, 00:00",20.0,28.0,52.0,3.28,3.49,2.22,0:1,0.65,0.97,1.15,30.4,28.6,44.8,-10.,-0.6,7.15
8,Phillipines - North Korea,"10/10/2016, 12:00",28.0,20.0,52.0,6.62,4.74,1.59,1:3,1.85,0.94,0.82,15.0,21.0,62.7,12.9,-1.0,-10.
9,PSM Makassar - PS Tni,"10/10/2016, 12:00",78.0,13.0,8.0,1.34,4.89,9.13,4:0,1.04,0.63,0.73,74.5,20.4,10.9,3.48,-7.4,-2.9
10,Georgia - Serbia,"10/10/2016, 12:00",37.0,19.0,44.0,3.77,3.56,2.02,0:1,1.39,0.67,0.89,26.4,28.0,49.3,10.5,-9.0,-5.3
11,FC Pskov-747 - Spartak Kostroma,"10/10/2016, 13:00",29.0,45.0,25.0,2.89,3.43,2.48,1:0,0.83,1.54,0.62,34.5,29.1,40.2,-5.5,15.8,-15.
12,Solaris - Dynamo-2 Moscow,"10/10/2016, 13:00",52.0,27.0,21.0,2.35,3.53,3.00,2:0,1.22,0.95,0.63,42.4,28.2,33.2,9.54,-1.2,-12.
13,EMIRATES CLUB RAS AL KHAIMAH - Al Jazira Club,"10/10/2016, 13:05",26.0,26.0,48.0,2.38,3.63,2.72,2:4,0.62,0.94,1.30,41.8,27.4,36.6,-15.,-1.4,11.3
14,Greece - Hungary,"10/10/2016, 13:30",31.0,24.0,45.0,2.50,3.46,3.10,3:1,0.77,0.83,1.39,39.9,28.8,32.2,-8.9,-4.8,12.7
15,Poland - Montenegro,"10/10/2016, 15:30",68.0,16.0,16.0,1.57,4.21,6.10,6:0,1.06,0.67,0.97,63.6,23.7,16.3,4.33,-7.7,-0.3
16,Israel - Albania,"10/10/2016, 16:45",68.0,14.0,18.0,1.46,5.02,7.78,4:0,0.99,0.70,1.40,68.4,19.8,12.8,-0.4,-5.8,5.15
17,Sweden - Croatia,"10/10/2016, 16:45",32.0,41.0,28.0,2.85,3.49,2.67,4:2,0.91,1.43,0.75,35.0,28.6,37.3,-3.0,12.3,-9.3
18,Naestved BK - HB Köge,"10/10/2016, 17:00",23.0,33.0,44.0,3.12,3.36,2.42,1:1,0.71,1.11,1.06,31.9,29.6,41.2,-8.9,3.32,2.75
19,IK Brage - Västeras SK,"10/10/2016, 17:00",42.0,23.0,35.0,2.10,3.77,3.33,1:1,0.88,0.86,1.16,47.5,26.4,30.0,-5.5,-3.4,4.99
20,FC Dundee - Celtic Glasgow,"10/10/2016, 17:00",19.0,40.0,41.0,3.29,3.84,2.09,0:1,0.62,1.53,0.85,30.3,25.9,47.7,-11.,14.0,-6.7
21,Morocco - Jordan,"10/10/2016, 18:00",67.0,19.0,14.0,1.90,3.73,5.09,2:1,1.27,0.70,0.71,52.5,26.7,19.6,14.4,-7.7,-5.6
22,Glasgow Rangers - Hamilton Academical U20,"10/10/2016, 18:00",29.0,17.0,54.0,2.11,3.97,3.16,2:2,0.61,0.67,1.70,47.2,25.1,31.6,-18.,-8.1,22.3
23,England - USA,"10/10/2016, 18:00",44.0,13.0,43.0,1.39,5.14,7.73,2:0,0.61,0.66,3.32,71.6,19.4,12.9,-27.,-6.4,30.0
24,Academica de Coimbra - Varzim SC,"10/10/2016, 18:30",47.0,37.0,17.0,1.99,3.29,4.46,3:2,0.93,1.21,0.75,50.1,30.3,22.3,-3.1,6.66,-5.3
25,Deportivo Riestra - San Telmo,"10/10/2016, 18:30",41.0,41.0,19.0,2.33,3.17,3.49,1:2,0.95,1.30,0.66,42.8,31.4,28.6,-1.8,9.51,-9.6
26,Justo Jose de Urquiza - Canuelas FC,"10/10/2016, 18:30",28.0,49.0,23.0,2.64,3.29,2.76,1:0,0.74,1.61,0.63,37.8,30.3,36.2,-9.8,18.6,-13.
27,Sportivo Barracas - Deportivo Armenio,"10/10/2016, 18:30",24.0,53.0,23.0,2.64,3.29,2.76,0:0,0.63,1.74,0.63,37.8,30.3,36.2,-13.,22.6,-13.
28,CA Atlas - CSD Liniers,"10/10/2016, 18:30",40.0,44.0,16.0,2.07,3.11,4.16,3:2,0.82,1.37,0.66,48.2,32.0,24.0,-8.2,11.9,-8.0
29,FC Parma - AC Feralpi Salo,"10/10/2016, 18:45",55.0,30.0,16.0,1.92,3.51,4.23,1:2,1.05,1.05,0.67,51.9,28.4,23.5,3.05,1.55,-7.5
30,Gibraltar - Belgium,"10/10/2016, 18:45",8.0,5.0,87.0,-57.,25.0,1.04,0:6,-4.6,1.25,0.90,-1.7,3.99,96.0,9.73,1.00,-9.0
31,Latvia - Hungary,"10/10/2016, 18:45",15.0,24.0,61.0,5.71,3.69,1.83,0:2,0.85,0.88,1.11,17.4,27.0,54.4,-2.4,-3.0,6.52
32,Andorra - Switzerland,"10/10/2016, 18:45",12.0,10.0,78.0,-117,18.8,1.06,1:2,-14.,1.88,0.82,-0.8,5.29,94.0,12.8,4.70,-16.
33,Faroe Islands - Portugal,"10/10/2016, 18:45",11.0,10.0,80.0,74.2,10.5,1.13,0:6,8.17,1.05,0.91,1.34,9.51,87.9,9.65,0.48,-7.9
34,Sweden - Bulgaria,"10/10/2016, 18:45",65.0,18.0,17.0,1.48,4.89,8.89,3:0,0.96,0.88,1.51,67.4,20.4,11.2,-2.4,-2.4,5.75
35,Estonia - Greece,"10/10/2016, 18:45",20.0,26.0,53.0,5.04,3.35,2.02,0:2,1.00,0.87,1.07,19.8,29.7,49.3,0.16,-3.7,3.64
36,Bosnia and Herzegovina - Cyprus,"10/10/2016, 18:45",70.0,15.0,16.0,1.26,6.75,20.1,2:0,0.88,1.01,3.22,78.9,14.7,4.96,-8.9,0.20,11.0
37,Netherlands - France,"10/10/2016, 18:45",24.0,41.0,34.0,3.43,3.51,2.41,0:1,0.82,1.44,0.82,29.1,28.4,41.4,-5.1,12.5,-7.4
38,Belarus - Luxembourg,"10/10/2016, 18:45",66.0,18.0,16.0,1.29,5.97,18.1,1:1,0.85,1.07,2.89,77.0,16.7,5.51,-11.,1.27,10.4
39,Cambridge City - Banbury United,"10/10/2016, 18:45",23.0,43.0,34.0,2.86,3.68,2.43,1:2,0.65,1.58,0.82,34.8,27.1,41.0,-11.,15.8,-7.0
40,Hednesford Town - Corby Town,"10/10/2016, 18:45",61.0,13.0,26.0,1.41,5.16,7.67,3:0,0.86,0.67,1.99,70.5,19.3,13.0,-9.5,-6.3,12.9
41,Stourbridge FC - Sutton Coldfield,"10/10/2016, 18:45",57.0,13.0,30.0,1.34,5.58,9.34,0:1,0.76,0.72,2.80,74.5,17.9,10.6,-17.,-4.9,19.3
42,England - Bulgaria,"10/10/2016, 18:45",69.0,14.0,17.0,1.15,7.46,22.0,2:1,0.79,1.04,3.74,86.2,13.3,4.54,-17.,0.60,12.4
43,Valledupar FC - Cucuta Deportivo,"10/10/2016, 20:00",37.0,37.0,26.0,2.17,3.26,3.67,2:1,0.80,1.20,0.95,46.0,30.6,27.2,-9.0,6.32,-1.2
