ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Envigado FC - Club Atlético Junior,"03/02/2017, 23:00",28.0,37.0,35.0,3.36,3.11,2.36,0:0,0.94,1.15,0.82,29.6,32.0,42.2,-1.6,4.91,-7.2
1,Deportes Tolima - Bolivar,"03/03/2017, 00:45",41.0,32.0,27.0,1.83,3.65,5.26,2:1,0.75,1.16,1.42,54.4,27.3,18.9,-13.,4.60,8.02
2,FBC Melgar - Sporting Cristal,"03/03/2017, 01:00",38.0,30.0,32.0,2.34,3.52,3.03,2:2,0.89,1.05,0.97,42.6,28.3,32.9,-4.6,1.65,-0.9
3,CS Herediano - CD Belen Siglo XXI,"03/03/2017, 02:00",66.0,24.0,11.0,1.53,4.36,6.67,2:1,1.01,1.04,0.73,65.0,22.9,14.9,0.97,1.09,-3.9
4,VANCOUVER WHITECAPS - NY Red Bulls,"03/03/2017, 03:00",32.0,36.0,32.0,2.69,3.40,2.65,2:0,0.86,1.22,0.84,37.1,29.3,37.6,-5.1,6.63,-5.6
5,Melbourne Knights FC - Kingston City FC,"03/03/2017, 07:15",48.0,15.0,37.0,2.24,4.54,2.64,3:1,1.07,0.68,0.97,44.6,21.9,37.8,3.38,-6.9,-0.8
6,Sydney FC - Melbourne Victory FC,"03/03/2017, 08:50",47.0,32.0,21.0,2.02,3.82,3.91,1:0,0.95,1.22,0.82,49.3,26.1,25.5,-2.3,5.84,-4.5
7,Redlands United - Olympic FC,"03/03/2017, 09:00",33.0,21.0,47.0,2.29,4.23,2.78,2:6,0.75,0.88,1.30,43.5,23.5,35.9,-10.,-2.5,11.0
8,Sabayil - Energetik Mingechevir,"03/03/2017, 11:00",76.0,8.0,16.0,1.13,9.67,16.4,3:0,0.86,0.77,2.62,87.9,10.3,6.09,-11.,-2.3,9.90
9,Radideh Mashhad - Gostaresh Foolad FC,"03/03/2017, 11:30",21.0,55.0,25.0,3.08,2.93,2.52,3:2,0.64,1.61,0.63,32.4,34.0,39.5,-11.,20.9,-14.
10,Guizhou Zhicheng FC - Liaoning Hongyun,"03/03/2017, 11:35",52.0,27.0,21.0,2.55,3.36,3.11,1:1,1.32,0.90,0.65,39.1,29.6,32.0,12.8,-2.6,-11.
11,Tractor Sazi Tabriz FC - Saipa Karaj FC,"03/03/2017, 11:45",68.0,22.0,10.0,1.57,3.62,6.81,0:0,1.06,0.79,0.68,63.6,27.5,14.6,4.33,-5.5,-4.6
12,Saba Qom FC - Foolad Khuzestan FC,"03/03/2017, 12:30",35.0,40.0,25.0,3.06,2.96,2.51,0:0,1.07,1.18,0.62,32.5,33.7,39.7,2.41,6.23,-14.
13,Sanat Naft Abadan FC - Peykan,"03/03/2017, 13:00",21.0,55.0,25.0,3.09,2.97,2.49,1:0,0.64,1.63,0.62,32.3,33.6,40.1,-11.,21.3,-15.
14,Hapoel Ironi Rishon Lezion - Maccabi Herzliya,"03/03/2017, 13:00",32.0,48.0,21.0,2.43,3.24,3.10,1:1,0.77,1.55,0.65,41.0,30.7,32.2,-9.0,17.2,-11.
15,Arsenal FC - Tottenham Hotspur,"03/03/2017, 14:00",49.0,33.0,18.0,1.96,3.92,3.73,2:0,0.96,1.29,0.67,50.7,25.4,26.7,-1.7,7.50,-8.7
16,MC Oran - CA Batna,"03/03/2017, 15:00",40.0,17.0,43.0,1.54,3.93,7.22,0:0,0.61,0.66,3.10,64.5,25.4,13.8,-24.,-8.4,29.1
17,TPS Turku - EIF,"03/03/2017, 15:00",66.0,14.0,20.0,1.46,4.74,6.87,0:3,0.96,0.66,1.37,68.4,21.0,14.5,-2.4,-7.0,5.45
18,Sanliurfaspor - Adana Demirspor,"03/03/2017, 15:30",27.0,45.0,28.0,2.35,3.21,3.28, - ,0.63,1.44,0.91,42.4,31.1,30.4,-15.,13.8,-2.4
19,Al Baten - Al Wehda,"03/03/2017, 15:35",58.0,18.0,24.0,2.07,3.69,3.49,1:1,1.20,0.66,0.83,48.2,27.0,28.6,9.71,-9.0,-4.6
20,FC Tom Tomsk - FC Rostov,"03/03/2017, 16:00",33.0,14.0,53.0,39.8,7.06,1.18,0:6,13.1,0.98,0.62,2.50,14.1,84.7,30.4,-0.1,-31.
21,Korona Kielce SA - Gornik Leczna,"03/03/2017, 17:00",57.0,26.0,18.0,1.98,3.88,4.39,2:1,1.12,1.01,0.79,50.4,25.7,22.7,6.52,0.26,-4.7
22,Esbjerg FB - Viborg FF,"03/03/2017, 17:00",44.0,29.0,27.0,2.77,3.34,2.84,1:3,1.22,0.97,0.76,36.0,29.8,35.1,7.93,-0.8,-8.1
23,NK Istra 1961 - NK Slaven Belupo,"03/03/2017, 17:00",28.0,46.0,26.0,3.24,3.17,2.45,0:0,0.90,1.46,0.63,30.7,31.4,40.6,-2.7,14.5,-14.
24,Trabzonspor - Kardemir Karabük,"03/03/2017, 17:00",65.0,20.0,15.0,1.91,3.72,4.80,1:0,1.24,0.74,0.72,52.2,26.8,20.8,12.7,-6.8,-5.8
25,FC Liefering - FAC,"03/03/2017, 17:30",67.0,16.0,17.0,1.71,4.25,5.26,1:0,1.14,0.68,0.89,58.3,23.5,18.9,8.65,-7.5,-1.9
26,Austria Lustenau - KSV 1919,"03/03/2017, 17:30",58.0,20.0,22.0,1.64,4.40,5.74,0:0,0.95,0.88,1.26,60.6,22.7,17.4,-2.6,-2.7,4.59
27,SV Horn - BW Linz,"03/03/2017, 17:30",41.0,33.0,27.0,2.33,3.50,3.36,0:2,0.95,1.15,0.90,42.8,28.5,29.6,-1.8,4.45,-2.6
28,VfL Bochum - Fortuna Düsseldorf,"03/03/2017, 17:30",46.0,30.0,24.0,2.37,3.55,3.47,1:2,1.09,1.06,0.83,42.0,28.1,28.7,3.95,1.84,-4.7
29,FC Union Berlin - FC Kickers Wurzburg,"03/03/2017, 17:30",66.0,19.0,15.0,1.98,3.58,4.83,2:0,1.30,0.68,0.72,50.4,27.8,20.6,15.5,-8.8,-5.6
30,Dynamo Dresden - 1. FC Kaiserslautern,"03/03/2017, 17:30",57.0,27.0,17.0,2.11,3.57,4.19,3:3,1.20,0.96,0.71,47.2,27.9,23.8,9.74,-0.9,-6.8
31,Benfica Lisbon B - SC Olhanense,"03/03/2017, 18:00",63.0,21.0,17.0,1.53,4.42,6.40,2:1,0.96,0.93,1.08,65.0,22.5,15.6,-2.0,-1.5,1.37
32,RCA Raja Casablanca Athletico - Husa Hassania Agadir,"03/03/2017, 18:00",74.0,17.0,9.0,1.48,3.71,8.66,1:0,1.09,0.63,0.78,67.4,26.9,11.5,6.57,-9.9,-2.5
33,KS Polonia Bytom SA - KS Warta Poznan,"03/03/2017, 18:00",24.0,53.0,23.0,2.69,3.20,2.80,1:2,0.64,1.69,0.64,37.1,31.2,35.6,-13.,21.7,-12.
34,Bidvest Wits FC - Bloemfontein Celtic FC,"03/03/2017, 18:00",74.0,16.0,10.0,1.52,4.17,7.42,3:1,1.12,0.66,0.74,65.4,23.9,13.4,8.50,-7.9,-3.4
35,SC Heerenveen - Go Ahead Eagles,"03/03/2017, 19:00",69.0,20.0,12.0,1.47,5.21,8.29,2:2,1.01,1.04,0.99,67.9,19.1,12.0,1.07,0.82,-0.0
36,Stade Brestois 29 - AC Ajaccio,"03/03/2017, 19:00",56.0,30.0,13.0,1.85,3.39,5.37,1:2,1.04,1.01,0.69,53.8,29.4,18.5,2.18,0.53,-5.5
37,Gazelec Ajaccio - Tours FC,"03/03/2017, 19:00",43.0,42.0,15.0,2.07,3.11,4.63,2:2,0.89,1.30,0.69,48.2,32.0,21.5,-5.2,9.91,-6.5
38,FC Sochaux - AC Havre,"03/03/2017, 19:00",32.0,49.0,19.0,2.41,3.02,3.62,0:1,0.77,1.48,0.68,41.4,33.1,27.5,-9.4,15.8,-8.5
39,FC Red Star 93 - RC Lens,"03/03/2017, 19:00",16.0,40.0,44.0,4.17,3.24,2.11,2:3,0.66,1.29,0.93,23.9,30.7,47.2,-7.9,9.21,-3.2
40,Clermont Foot - Stade Lavallois MFC,"03/03/2017, 19:00",31.0,51.0,17.0,2.27,3.11,3.86,1:1,0.70,1.58,0.65,43.9,32.0,25.9,-12.,18.9,-8.9
41,AJ Auxerre - Stade de Reims,"03/03/2017, 19:00",21.0,43.0,35.0,3.36,3.04,2.53,1:2,0.70,1.30,0.88,29.6,32.8,39.3,-8.6,10.1,-4.3
42,FC Bourg Peronnas - Olympique Nimes,"03/03/2017, 19:00",23.0,49.0,28.0,2.86,3.28,2.72,0:1,0.65,1.60,0.76,34.8,30.4,36.6,-11.,18.5,-8.6
43,FC Eindhoven - SC Telstar,"03/03/2017, 19:00",73.0,15.0,11.0,1.57,4.55,6.16,4:2,1.14,0.68,0.67,63.6,21.9,16.2,9.33,-6.9,-5.2
44,Fortuna Sittard - Jong PSV Eindhoven,"03/03/2017, 19:00",44.0,24.0,32.0,2.36,3.57,3.14,0:0,1.04,0.85,1.00,42.2,27.9,31.8,1.75,-3.9,0.15
45,RKC Waalwijk - Helmond Sport,"03/03/2017, 19:00",57.0,26.0,17.0,1.96,3.91,3.88,5:2,1.12,1.01,0.66,50.7,25.5,25.7,6.23,0.42,-8.7
46,FC Oss - Jong Ajax Amsterdam,"03/03/2017, 19:00",20.0,13.0,67.0,4.77,5.08,1.62,0:3,0.95,0.66,1.08,20.9,19.6,61.5,-0.9,-6.6,5.48
47,De Graafschap - NAC Breda,"03/03/2017, 19:00",47.0,18.0,35.0,2.37,3.73,3.00,2:1,1.11,0.67,1.05,42.0,26.7,33.2,4.95,-8.7,1.76
48,FC Volendam - FC Dordrecht,"03/03/2017, 19:00",78.0,14.0,9.0,1.22,6.96,17.9,1:1,0.95,0.97,1.61,81.7,14.3,5.56,-3.7,-0.3,3.43
49,MVV Maastricht - Almere City FC,"03/03/2017, 19:00",66.0,17.0,17.0,1.92,3.94,4.02,2:2,1.27,0.67,0.68,51.9,25.3,24.8,14.0,-8.3,-7.8
50,FC Midtjylland - Lyngby BK,"03/03/2017, 19:15",71.0,17.0,12.0,1.69,4.02,5.91,1:1,1.20,0.68,0.70,59.1,24.8,16.9,11.8,-7.8,-4.9
51,FC Augsburg - RB Leipzig,"03/03/2017, 19:30",22.0,24.0,56.0,4.72,3.79,2.01,2:2,1.03,0.91,1.12,21.1,26.3,49.6,0.84,-2.3,6.36
52,LASK Linz - Wacker Innsbruck,"03/03/2017, 19:30",73.0,16.0,12.0,1.62,4.33,6.06,3:1,1.18,0.69,0.72,61.5,23.0,16.4,11.4,-7.0,-4.4
53,Zaglebie Lubin - Legia Warsaw,"03/03/2017, 19:30",16.0,22.0,63.0,4.41,3.72,2.02,1:3,0.70,0.81,1.27,22.6,26.8,49.3,-6.6,-4.8,13.6
54,Chester FC - Tranmere Rovers,"03/03/2017, 19:45",21.0,18.0,61.0,4.40,3.79,1.92,2:3,0.92,0.68,1.17,22.7,26.3,51.9,-1.7,-8.3,9.05
55,Birmingham City - Leeds United,"03/03/2017, 19:45",23.0,37.0,41.0,3.27,3.40,2.56,1:3,0.75,1.26,1.05,30.5,29.3,39.0,-7.5,7.63,1.98
56,FC Girondins Bordeaux - Olympique Lyon,"03/03/2017, 19:45",28.0,28.0,44.0,3.40,3.86,2.28,1:1,0.95,1.08,1.00,29.3,25.9,43.7,-1.3,2.09,0.27
57,Bray Wanderers AFC - Finn Harps FC,"03/03/2017, 19:45",59.0,22.0,20.0,1.49,4.16,8.97,5:3,0.88,0.91,1.79,66.9,24.0,11.1,-7.9,-2.0,8.85
58,Drogheda United FC - Saint Patrick´s Athletic FC,"03/03/2017, 19:45",27.0,23.0,50.0,3.58,3.32,2.26,2:0,0.96,0.76,1.13,27.8,30.1,44.1,-0.8,-7.1,5.83
59,Cork City FC - Galway FC,"03/03/2017, 19:45",63.0,18.0,20.0,1.36,5.14,10.6,4:0,0.85,0.92,2.13,73.3,19.4,9.36,-10.,-1.4,10.6
60,Derry City FC - Limerick 37 FC,"03/03/2017, 19:45",45.0,28.0,27.0,2.44,3.46,3.10, - ,1.10,0.97,0.83,40.8,28.8,32.2,4.14,-0.8,-5.2
61,Betis Sevilla - Real Sociedad,"03/03/2017, 19:45",31.0,36.0,34.0,2.79,3.36,3.16,2:3,0.86,1.21,1.07,35.7,29.6,31.6,-4.7,6.32,2.39
62,Tenerife CD - CD Mirandes,"03/03/2017, 20:00",70.0,19.0,11.0,1.60,4.08,7.06,1:1,1.12,0.77,0.77,62.3,24.4,14.1,7.64,-5.4,-3.1
63,Moreirense FC - Boavista FC,"03/03/2017, 20:30",33.0,45.0,23.0,2.47,3.18,3.68,0:0,0.81,1.43,0.84,40.4,31.3,27.1,-7.4,13.6,-4.1
64,Club Atletico Rosario Central - Godoy Cruz A.T.,"03/03/2017, 22:00",48.0,38.0,13.0,1.89,3.49,5.14, - ,0.90,1.32,0.66,52.8,28.6,19.4,-4.8,9.35,-6.4
65,Botafogo SP - Mirassol SP,"03/03/2017, 22:00",52.0,28.0,21.0,2.42,3.28,3.20,3:1,1.26,0.91,0.67,41.2,30.4,31.2,10.7,-2.4,-10.
