ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Deportivo Cali - Independiente Medellin,"08/07/2016, 22:00",40.0,45.0,15.0,1.86,3.60,4.58,1:2,0.74,1.62,0.68,53.4,27.7,21.8,-13.,17.2,-6.8
1,Sweden - Nigeria,"08/07/2016, 22:00",35.0,22.0,43.0,3.02,3.78,2.47,0:1,1.05,0.83,1.06,33.1,26.4,40.4,1.89,-4.4,2.52
2,Denmark - South Africa,"08/07/2016, 22:00",41.0,28.0,31.0,2.73,3.35,2.96,1:0,1.12,0.94,0.91,36.5,29.7,33.7,4.47,-1.7,-2.7
3,Orlando City SC - Seattle Sounders,"08/07/2016, 23:00",56.0,25.0,19.0,2.21,3.73,3.43,1:3,1.24,0.93,0.65,45.0,26.7,29.1,10.9,-1.7,-10.
4,Puebla FC - Santos Laguna,"08/07/2016, 23:00",44.0,31.0,24.0,2.32,3.49,3.29,0:0,1.02,1.08,0.79,43.0,28.6,30.3,0.91,2.35,-6.3
5,Deportivo Saprissa - CS Herediano,"08/07/2016, 23:00",32.0,48.0,21.0,2.35,3.43,3.18,1:0,0.75,1.64,0.66,42.4,29.1,31.3,-10.,18.8,-10.
6,Deportes Tolima - Millonarios FC,"08/07/2016, 23:00",54.0,24.0,21.0,2.09,3.35,3.94,3:1,1.13,0.80,0.82,47.7,29.7,25.3,6.23,-5.7,-4.3
7,Zamora FC - Zulia FC,"08/07/2016, 23:30",56.0,16.0,28.0,1.55,4.17,6.33,1:2,0.87,0.66,1.77,64.1,23.9,15.7,-8.1,-7.9,12.2
8,Atlético Nacional Medellin - Once Caldas S. A.,"08/08/2016, 01:00",57.0,14.0,29.0,1.34,4.92,11.9,1:0,0.76,0.68,3.45,74.5,20.3,8.40,-17.,-6.3,20.5
9,Brazil - Iraq,"08/08/2016, 01:00",73.0,9.0,17.0,1.19,7.84,27.6,0:0,0.86,0.70,4.70,83.9,12.7,3.61,-10.,-3.7,13.3
10,Coban Imperial - Antigua Gfc,"08/08/2016, 01:00",39.0,40.0,21.0,2.38,3.43,3.03,0:1,0.93,1.37,0.63,41.8,29.1,32.9,-2.8,10.8,-11.
11,LA Galaxy - NY Red Bulls,"08/08/2016, 01:30",66.0,17.0,17.0,1.95,3.87,4.12,2:2,1.29,0.65,0.70,51.0,25.8,24.2,14.9,-8.8,-7.2
12,Oakleigh Cannons - Green Gully Cavaliers,"08/08/2016, 10:30",44.0,22.0,35.0,1.92,4.12,3.71,0:1,0.84,0.90,1.29,51.9,24.2,26.9,-7.9,-2.2,8.05
13,FC Vysocina Jihlava - FC Slovan Liberec,"08/08/2016, 11:00",42.0,32.0,26.0,1.84,4.41,3.66,0:1,0.77,1.41,0.95,54.1,22.6,27.3,-12.,9.35,-1.3
14,FK Baumit Jablonec - FC Hradec Kralove,"08/08/2016, 13:00",60.0,20.0,20.0,1.53,5.05,5.18,4:1,0.92,1.01,1.03,65.0,19.7,19.2,-5.0,0.22,0.72
15,FC Alashkert 2 - FC Ararat Yerevan 2,"08/08/2016, 14:00",48.0,11.0,41.0,1.26,6.74,9.56,0:4,0.60,0.74,3.92,78.9,14.8,10.4,-30.,-3.8,30.5
16,Stalkameratene - Melbo,"08/08/2016, 14:45",30.0,18.0,52.0,2.29,5.47,2.29,0:2,0.68,0.98,1.19,43.5,18.2,43.5,-13.,-0.2,8.48
17,FC Gorodeya - FC Dinamo Minsk,"08/08/2016, 15:00",18.0,21.0,62.0,6.11,4.07,1.61,0:0,1.10,0.85,1.00,16.3,24.5,61.9,1.65,-3.5,0.06
18,FK Gabala - FK Kapaz,"08/08/2016, 15:00",56.0,20.0,24.0,1.72,3.57,5.51,2:0,0.96,0.71,1.32,57.9,27.9,18.1,-1.9,-7.9,5.85
19,FK Jelgava - FK Liepaja,"08/08/2016, 15:00",39.0,30.0,30.0,2.60,3.36,2.78,3:2,1.01,1.01,0.83,38.3,29.6,35.9,0.67,0.32,-5.9
20,BFC Daugava Daugavpils - Rigas Futbola Skola,"08/08/2016, 15:00",39.0,20.0,41.0,6.78,4.28,1.51,0:1,2.64,0.85,0.62,14.7,23.3,65.9,24.2,-3.3,-24.
21,Shkendija 79 Tetovo - FK Sileks Kratovo,"08/08/2016, 15:30",81.0,12.0,7.0,1.27,5.82,12.0,2:1,1.03,0.69,0.84,78.3,17.1,8.29,2.69,-5.1,-1.2
22,FC Vitebsk - FC Belshina Bobruisk,"08/08/2016, 15:30",63.0,23.0,14.0,1.58,3.94,6.90,1:0,0.99,0.90,0.96,63.2,25.3,14.4,-0.2,-2.3,-0.4
23,Ruch Chorzow - Wisla Plock SA,"08/08/2016, 16:00",25.0,49.0,26.0,2.96,3.43,2.77,2:2,0.74,1.68,0.72,33.7,29.1,36.0,-8.7,19.8,-10.
24,SK Slavia Praha - FC Fastav Zlin,"08/08/2016, 16:00",62.0,21.0,17.0,1.46,4.85,8.40,2:2,0.90,1.02,1.42,68.4,20.5,11.9,-6.4,0.41,5.09
25,Ironi N. - Maccabi Herzliya,"08/08/2016, 16:00",38.0,33.0,30.0,3.56,3.52,2.10,2:2,1.35,1.16,0.63,28.0,28.3,47.5,9.94,4.65,-17.
26,Hapoel Katamon Jerusalem - Hapoel Ironi Rishon Lezion,"08/08/2016, 16:00",34.0,46.0,20.0,2.21,3.53,3.27,1:1,0.75,1.62,0.65,45.0,28.2,30.5,-11.,17.7,-10.
27,Torpedo Zhodino - Slutsksakhar Slutsk,"08/08/2016, 16:00",54.0,33.0,13.0,1.81,3.57,5.05,2:0,0.97,1.18,0.65,55.1,27.9,19.7,-1.1,5.04,-6.7
28,FK Krasnodar - RFK Terek Grozny,"08/08/2016, 16:30",62.0,23.0,16.0,1.62,4.11,6.57,4:0,1.00,0.94,1.05,61.5,24.3,15.2,0.48,-1.3,0.78
29,Spartak Moskau - FC Kryliya Sovetov Samara,"08/08/2016, 16:30",65.0,20.0,14.0,1.54,4.41,7.13,1:0,1.00,0.88,0.99,64.5,22.6,14.0,0.43,-2.6,-0.0
30,FC Shakhter Soligorsk - BATE Borisov,"08/08/2016, 16:30",25.0,35.0,41.0,3.72,3.53,2.08,0:2,0.93,1.23,0.85,26.8,28.2,48.0,-1.8,6.75,-7.0
31,Esbjerg FB - AGF Aarhus,"08/08/2016, 17:00",25.0,26.0,49.0,3.44,3.69,2.22,2:2,0.86,0.96,1.09,29.0,27.0,44.8,-4.0,-1.0,4.15
32,Halmstads BK - IK Frej,"08/08/2016, 17:00",63.0,21.0,16.0,1.71,4.22,5.28,1:0,1.07,0.88,0.84,58.3,23.6,18.9,4.65,-2.6,-2.9
33,Djurgardens IF - IFK Göteborg,"08/08/2016, 17:00",27.0,29.0,44.0,2.93,3.57,2.63,3:1,0.79,1.03,1.15,34.0,27.9,37.9,-7.0,1.04,6.01
34,Aatvidaberg FF - Örgryte IS,"08/08/2016, 17:00",36.0,36.0,28.0,2.45,3.72,2.98,3:1,0.88,1.34,0.83,40.6,26.8,33.4,-4.6,9.14,-5.4
35,Vanersborgs FK - IF Heimer,"08/08/2016, 17:00",47.0,31.0,22.0,1.58,4.87,4.67,0:1,0.74,1.51,1.02,63.2,20.5,21.3,-16.,10.4,0.60
36,Cherno More Varna - PFC Montana 1921,"08/08/2016, 17:00",57.0,23.0,20.0,1.51,4.12,7.90,1:0,0.86,0.94,1.58,65.9,24.2,12.6,-8.9,-1.2,7.35
37,Pors Grenland - Fram Larvik,"08/08/2016, 17:00",21.0,19.0,61.0,3.69,4.37,1.81,2:1,0.77,0.83,1.10,27.0,22.8,55.1,-6.0,-3.8,5.86
38,Sandnes ULF - Sandefjord Fotball,"08/08/2016, 17:00",37.0,25.0,39.0,2.15,3.78,3.56,5:0,0.79,0.94,1.39,46.5,26.4,28.0,-9.5,-1.4,10.9
39,Götene IF - Asarp-Tradet FK,"08/08/2016, 17:00",69.0,12.0,19.0,1.46,5.60,5.60,3:1,1.00,0.67,1.06,68.4,17.8,17.8,0.57,-5.8,1.16
40,Fauske/Sprint - Junkeren,"08/08/2016, 17:00",26.0,38.0,36.0,2.41,5.88,2.12,3:3,0.62,2.23,0.76,41.4,17.0,47.0,-15.,21.0,-11.
41,FC Aarau - Servette Geneva FC,"08/08/2016, 17:45",48.0,26.0,25.0,1.86,3.84,4.25,2:0,0.89,1.00,1.06,53.4,25.9,23.5,-5.4,0.01,1.47
