ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Atletico Lanus - Velez Sarsfield,"09/09/2015, 22:00",44.0,35.0,21.0,2.13,3.09,4.02,1:1,0.94,1.08,0.84,46.7,32.3,24.8,-2.7,2.66,-3.8
1,Ponte Preta SP - Vasco Da Gama RJ,"09/09/2015, 22:30",53.0,18.0,29.0,1.74,3.84,5.97,0:1,0.92,0.69,1.73,57.2,25.9,16.7,-4.2,-7.9,12.2
2,Internacional RS - Palmeiras SP,"09/09/2015, 22:30",51.0,35.0,14.0,1.91,3.65,4.89,1:0,0.97,1.27,0.68,52.2,27.3,20.4,-1.2,7.60,-6.4
3,Atletico Belo Horizonte MG - Avai SC,"09/09/2015, 22:30",55.0,13.0,32.0,1.36,5.70,10.9,2:0,0.74,0.74,3.50,73.3,17.5,9.13,-18.,-4.5,22.8
4,Universidad Autónoma del Caribe FC - Independiente Santa Fe,"09/09/2015, 23:00",27.0,47.0,27.0,3.27,3.30,2.36,0:1,0.88,1.55,0.63,30.5,30.2,42.2,-3.5,16.7,-15.
5,Cortulua - Independiente Medellin,"09/09/2015, 23:00",34.0,43.0,23.0,2.85,3.20,2.72,3:1,0.97,1.37,0.62,35.0,31.2,36.6,-1.0,11.7,-13.
6,Deportivo Capiata - Club Libertad Asuncion,"09/09/2015, 23:00",19.0,35.0,46.0,3.49,3.53,2.11,1:1,0.66,1.23,0.97,28.6,28.2,47.2,-9.6,6.75,-1.2
7,Universidad Catolica - CD Cobreloa Calama,"09/09/2015, 23:30",51.0,22.0,27.0,1.46,4.93,7.02,2:0,0.74,1.08,1.89,68.4,20.2,14.2,-17.,1.74,12.7
8,CA Nacional Potosi - The Strongest,"09/10/2015, 00:00",38.0,17.0,45.0,4.11,3.97,1.83,2:3,1.56,0.67,0.82,24.3,25.1,54.4,13.6,-8.1,-9.4
9,Bolivar - Blooming Santa Cruz,"09/10/2015, 00:00",58.0,11.0,31.0,1.22,6.44,14.9,1:0,0.70,0.70,4.62,81.7,15.5,6.70,-23.,-4.5,24.2
10,Figueirense SC - Atletico Paranaense,"09/10/2015, 00:00",25.0,35.0,40.0,2.65,3.24,3.16,1:1,0.66,1.13,1.26,37.6,30.7,31.6,-12.,4.21,8.39
11,Oriente Petrolero - Universitario de Sucre,"09/10/2015, 00:30",48.0,24.0,28.0,1.54,4.28,6.14,0:0,0.74,1.02,1.72,64.5,23.3,16.2,-16.,0.68,11.7
12,Santos SP - Sao Paulo SP,"09/10/2015, 01:00",44.0,34.0,23.0,2.22,3.47,3.79,3:0,0.98,1.18,0.87,44.8,28.7,26.3,-0.8,5.25,-3.3
13,Corinthians SP - Gremio RS,"09/10/2015, 01:00",53.0,19.0,28.0,1.98,3.47,4.80,1:1,1.05,0.66,1.34,50.4,28.7,20.8,2.52,-9.7,7.19
14,Coritiba PR - Fluminense RJ,"09/10/2015, 01:00",36.0,37.0,28.0,2.41,3.33,3.50,1:1,0.86,1.23,0.98,41.4,30.0,28.5,-5.4,6.99,-0.5
15,Alianza Petrolera - Cucuta Deportivo,"09/10/2015, 01:00",49.0,16.0,35.0,1.42,4.26,10.2,1:0,0.70,0.68,3.57,69.9,23.4,9.78,-20.,-7.4,25.2
16,Millonarios FC - Club Atlético Junior,"09/10/2015, 01:00",39.0,33.0,27.0,1.57,4.02,6.86,1:2,0.61,1.32,1.85,63.6,24.8,14.5,-24.,8.14,12.4
17,Vancouver Whitecaps FC - Colorado Rapids,"09/10/2015, 02:00",56.0,27.0,17.0,1.71,3.94,5.78,2:0,0.95,1.06,0.98,58.3,25.3,17.2,-2.3,1.67,-0.2
18,Municipal Liberia - CS Herediano,"09/10/2015, 02:00",33.0,28.0,40.0,4.19,3.41,2.00,1:3,1.38,0.95,0.80,23.8,29.2,49.9,9.19,-1.2,-9.9
19,Portland Timbers - Sporting Kansas City,"09/10/2015, 02:30",33.0,38.0,30.0,1.96,3.81,4.17,0:0,0.65,1.44,1.25,50.7,26.2,23.9,-17.,11.7,6.04
20,Albirex Niigata FC - Tampines Rovers FC,"09/10/2015, 11:30",45.0,29.0,26.0,1.90,3.77,4.03, - ,0.85,1.09,1.04,52.5,26.4,24.7,-7.5,2.50,1.22
21,Karpaty Lviv - Goverla Uzhgorod U19,"09/10/2015, 12:00",50.0,9.0,41.0,1.22,7.87,10.3,4:1,0.61,0.70,4.23,81.7,12.6,9.67,-31.,-3.6,31.3
22,Metalist-D Kharkiv - Shakhtar-D Donetsk,"09/10/2015, 13:00",34.0,14.0,53.0,8.49,7.39,1.23,1:2,2.88,1.03,0.65,11.7,13.5,81.0,22.2,0.47,-28.
