ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Independiente Medellin - Deportivo Pasto,"09/10/2016, 22:00",57.0,24.0,19.0,1.70,3.76,5.67,2:0,0.97,0.90,1.07,58.7,26.5,17.6,-1.7,-2.5,1.38
1,Columbus Crew - VANCOUVER WHITECAPS,"09/10/2016, 22:00",53.0,22.0,25.0,1.78,4.03,4.97,1:3,0.94,0.88,1.24,56.1,24.7,20.0,-3.1,-2.7,4.90
2,Universidad Cesar Vallejo - Union Comercio,"09/10/2016, 22:45",51.0,23.0,25.0,1.62,3.88,5.97,0:1,0.82,0.89,1.49,61.5,25.7,16.7,-10.,-2.7,8.27
3,Philadelphia Union - Montreal Impact,"09/10/2016, 23:00",34.0,42.0,24.0,1.88,4.06,4.30,1:1,0.63,1.70,1.03,53.1,24.6,23.2,-19.,17.3,0.75
4,New England Revolution - New York City FC,"09/11/2016, 00:00",40.0,29.0,31.0,2.22,3.82,3.33,3:1,0.89,1.10,1.03,44.8,26.1,30.0,-4.8,2.84,0.99
5,CF Monterrey - Club Tijuana,"09/11/2016, 00:00",58.0,18.0,25.0,1.95,3.76,4.11,0:0,1.13,0.67,1.02,51.0,26.5,24.3,6.94,-8.5,0.67
6,Club Atlético Junior - Fortaleza FC,"09/11/2016, 00:45",47.0,14.0,40.0,1.33,4.98,12.7,1:2,0.62,0.69,5.08,75.1,20.0,7.86,-28.,-6.0,32.1
7,FC Dallas - Colorado Rapids,"09/11/2016, 01:00",62.0,21.0,17.0,1.69,4.03,5.89,0:1,1.04,0.84,1.00,59.1,24.7,16.9,2.88,-3.7,0.03
8,Matsumoto Yamaga FC - Kyoto Sanga FC,"09/11/2016, 09:00",61.0,20.0,19.0,2.25,3.17,3.53,2:0,1.37,0.63,0.67,44.3,31.4,28.2,16.6,-11.,-9.2
9,RB Leipzig - JFV Nordwest,"09/11/2016, 09:00",65.0,21.0,14.0,1.59,4.95,4.72,6:0,1.03,1.03,0.66,62.7,20.2,21.1,2.21,0.79,-7.1
10,Sporting Gijon - CD Leganes,"09/11/2016, 10:00",35.0,47.0,18.0,2.35,3.36,3.87,2:1,0.82,1.58,0.69,42.4,29.6,25.8,-7.4,17.3,-7.8
11,Rayo Vallecano - RCD Mallorca,"09/11/2016, 10:00",49.0,19.0,32.0,1.93,3.56,4.48,1:0,0.94,0.67,1.43,51.6,28.0,22.3,-2.6,-9.0,9.68
12,Song Lam Nghe An - TP Can Tho,"09/11/2016, 10:00",72.0,15.0,13.0,1.58,4.36,5.34,4:2,1.13,0.65,0.69,63.2,22.9,18.6,8.77,-7.9,-5.6
13,Bologna FC - Cagliari Calcio,"09/11/2016, 10:30",33.0,40.0,27.0,2.29,3.58,3.76,2:1,0.75,1.43,1.01,43.5,27.8,26.5,-10.,12.1,0.41
14,Feyenoord Rotterdam - ADO Den Haag,"09/11/2016, 10:30",73.0,14.0,13.0,1.50,5.16,7.58,3:1,1.09,0.72,0.98,66.4,19.3,13.1,6.55,-5.3,-0.1
15,FK UFA - FK Krasnodar,"09/11/2016, 11:00",19.0,25.0,55.0,5.47,3.69,1.79,0:0,1.03,0.92,0.98,18.2,27.0,55.8,0.72,-2.0,-0.8
16,Dalian Aerbing FC - Xinjiang Tianshan Leopard,"09/11/2016, 11:00",71.0,17.0,12.0,1.60,3.92,5.56,1:0,1.13,0.66,0.66,62.3,25.4,17.9,8.64,-8.4,-5.9
17,Fortuna Düsseldorf - SpVgg Greuther Fürth,"09/11/2016, 11:30",32.0,42.0,27.0,2.55,3.58,3.12,1:1,0.81,1.50,0.84,39.1,27.8,31.9,-7.1,14.1,-4.9
18,Hannover 96 - Dynamo Dresden,"09/11/2016, 11:30",70.0,16.0,13.0,1.75,4.32,5.26,0:2,1.23,0.69,0.68,56.8,23.1,18.9,13.1,-7.1,-5.9
19,Shanghai Shenxin - Meizhou Hakka,"09/11/2016, 11:45",78.0,13.0,9.0,1.35,5.22,7.67,5:2,1.05,0.67,0.69,73.9,19.1,13.0,4.07,-6.1,-4.0
20,Aston Villa - Nottingham Forest,"09/11/2016, 12:15",60.0,22.0,18.0,1.83,3.94,5.14,2:2,1.10,0.86,0.92,54.4,25.3,19.4,5.52,-3.3,-1.4
21,KAA Gent - Sporting Lokeren,"09/11/2016, 12:30",78.0,13.0,9.0,1.41,5.25,9.37,3:0,1.10,0.68,0.84,70.5,19.0,10.6,7.47,-6.0,-1.6
22,FC Groningen - Sparta Rotterdam,"09/11/2016, 12:30",45.0,26.0,28.0,2.32,3.79,3.36,1:1,1.04,0.98,0.94,43.0,26.3,29.6,1.91,-0.3,-1.6
23,FC Nantes - FC Metz,"09/11/2016, 13:00",50.0,34.0,17.0,1.85,3.60,5.77,0:3,0.92,1.22,0.98,53.8,27.7,17.3,-3.8,6.23,-0.3
