ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Atletico GO - Joinville SC,"09/27/2016, 22:15",58.0,19.0,24.0,1.71,3.58,6.27,1:1,0.99,0.68,1.50,58.3,27.8,15.9,-0.3,-8.8,8.06
1,The Strongest - Club Petrolero,"09/28/2016, 00:00",51.0,18.0,31.0,1.20,6.35,19.6,1:0,0.61,1.14,6.08,83.2,15.7,5.09,-32.,2.27,25.9
2,Brasil de Pelotas RS - Ceara CE,"09/28/2016, 00:00",47.0,36.0,17.0,2.12,3.47,3.79,2:1,1.0,1.25,0.64,47.0,28.7,26.3,0.0,7.25,-9.3
3,Jaguares de Chiapas FC - CF Atlante,"09/28/2016, 00:00",45.0,40.0,15.0,1.82,3.68,4.53,2:1,0.82,1.47,0.67,54.8,27.1,22.0,-9.8,12.8,-7.0
4,Atlético Nacional Medellin - Sol de America,"09/28/2016, 00:45",49.0,23.0,29.0,1.51,4.36,8.32,2:0,0.74,1.00,2.41,65.9,22.9,12.0,-16.,0.09,16.9
5,Cruz Azul - Mineros De Zacatecas,"09/28/2016, 02:00",50.0,38.0,13.0,1.60,4.25,5.56,4:0,0.80,1.61,0.72,62.3,23.5,17.9,-12.,14.4,-4.9
6,Atletico Monarcas Morelia - Guadalajara Chivas,"09/28/2016, 02:00",34.0,30.0,35.0,2.76,3.36,2.63,0:1,0.93,1.01,0.92,36.2,29.6,37.9,-2.2,0.32,-2.9
7,National Police Agency FC - Daejeon Citizen FC,"09/28/2016, 10:30",40.0,30.0,30.0,2.19,3.36,3.46,1:0,0.87,1.01,1.03,45.5,29.6,28.8,-5.5,0.32,1.15
8,Seoul E-Land FC - Bucheon FC,"09/28/2016, 11:00",49.0,31.0,20.0,2.34,3.28,3.23,1:1,1.14,1.01,0.64,42.6,30.4,30.8,6.33,0.55,-10.
9,Georgia - Bulgaria,"09/28/2016, 11:00",33.0,18.0,49.0,4.13,3.69,1.89,0:1,1.36,0.66,0.92,24.1,27.0,52.8,8.82,-9.0,-3.8
10,Besiktas JK - Dynamo Kiev U19,"09/28/2016, 11:00",40.0,15.0,45.0,3.79,4.41,1.81,3:3,1.51,0.66,0.81,26.3,22.6,55.1,13.6,-7.6,-10.
11,FK Rostov - PSV Eindhoven,"09/28/2016, 11:00",47.0,15.0,38.0,4.95,4.53,1.61,0:6,2.32,0.67,0.61,20.2,22.0,61.9,26.7,-7.0,-23.
12,Sparta Prague - Mladost Podgorica,"09/28/2016, 12:00",66.0,19.0,14.0,1.10,9.41,35.6,4:0,0.72,1.78,4.99,90.4,10.6,2.80,-24.,8.37,11.1
13,Borussia M´gladbach - FC Barcelona,"09/28/2016, 12:00",19.0,15.0,66.0,4.80,4.28,1.66,1:3,0.91,0.64,1.10,20.8,23.3,59.8,-1.8,-8.3,6.10
14,Smouha SC - Tanta FC,"09/28/2016, 13:00",77.0,15.0,7.0,1.40,4.36,10.1,3:2,1.08,0.65,0.71,71.0,22.9,9.82,5.92,-7.9,-2.8
15,Shkendija 79 Tetovo - FK Renova,"09/28/2016, 13:00",74.0,12.0,14.0,1.24,5.60,16.9,1:1,0.92,0.67,2.36,80.3,17.8,5.91,-6.3,-5.8,8.08
16,Vardar Skopje - FK Pelister Bitola,"09/28/2016, 13:00",75.0,12.0,13.0,1.22,5.73,21.3,1:1,0.91,0.68,2.78,81.7,17.4,4.67,-6.7,-5.4,8.32
17,Pobeda Junior - FK Rabotnicki Skopje,"09/28/2016, 13:00",21.0,19.0,60.0,3.00,3.51,2.36,2:1,0.63,0.66,1.42,33.2,28.4,42.2,-12.,-9.4,17.7
18,Russia - Bosnia & Herzegovina,"09/28/2016, 13:00",43.0,19.0,38.0,2.08,3.55,3.60,2:1,0.89,0.67,1.36,48.0,28.1,27.7,-5.0,-9.1,10.2
19,Latvia - Moldova,"09/28/2016, 13:00",69.0,17.0,13.0,1.73,3.71,5.12,2:0,1.19,0.63,0.66,57.6,26.9,19.5,11.3,-9.9,-6.5
20,Arsenal London - FC Basel,"09/28/2016, 13:00",69.0,16.0,15.0,1.76,4.13,4.30,1:2,1.22,0.66,0.64,56.5,24.1,23.2,12.4,-8.1,-8.2
21,SKF Sered - FC Vion Zlate Moravce,"09/28/2016, 13:30",47.0,17.0,35.0,3.14,3.86,2.20,3:1,1.47,0.65,0.77,31.8,25.9,45.3,15.1,-8.9,-10.
22,AFK Chrudim - SK Slavia Praha,"09/28/2016, 14:00",32.0,18.0,49.0,11.0,6.91,1.24,1:3,3.53,1.24,0.60,9.04,14.4,80.3,22.9,3.54,-31.
23,Norway - Ukraine,"09/28/2016, 14:00",51.0,27.0,22.0,2.45,3.49,2.87,2:2,1.25,0.94,0.63,40.6,28.6,34.7,10.3,-1.6,-12.
24,SSC Napoli - Benfica Lisbon,"09/28/2016, 14:00",23.0,18.0,59.0,2.72,3.60,2.52,2:3,0.62,0.64,1.49,36.6,27.7,39.5,-13.,-9.7,19.4
25,Atletico Madrid - FC Bayern Munich,"09/28/2016, 14:00",65.0,21.0,15.0,1.70,4.19,4.64,1:3,1.10,0.88,0.69,58.7,23.8,21.5,6.27,-2.8,-6.5
26,SC Olhanense - Benfica Lisbon B,"09/28/2016, 15:00",55.0,20.0,25.0,3.06,3.27,2.50,1:2,1.68,0.65,0.62,32.5,30.5,39.9,22.4,-10.,-14.
27,Sporting Lisbon B - CD Cova Piedade,"09/28/2016, 15:00",52.0,28.0,20.0,2.37,3.32,3.23,5:1,1.23,0.92,0.64,42.0,30.1,30.8,9.95,-2.1,-10.
28,OCS Olympique de Safi - Fus Fath Union Sportive Rabat,"09/28/2016, 15:00",16.0,32.0,52.0,4.13,3.03,2.04,3:0,0.66,0.97,1.06,24.1,32.9,48.8,-8.1,-0.9,3.18
29,Altinordu Izmir FK - Levski Sofia,"09/28/2016, 15:00",68.0,24.0,8.0,1.33,5.37,9.61,5:0,0.90,1.29,0.76,75.1,18.5,10.4,-7.1,5.40,-2.4
