ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,America de Mexico - Santos Laguna,"02/06/2016, 23:00",58.0,26.0,16.0,1.92,3.78,4.21,2:0,1.11,0.98,0.67,51.9,26.4,23.7,6.05,-0.4,-7.7
1,Institucion Atletica - Defensor Sporting,"02/06/2016, 23:00",27.0,35.0,38.0,3.02,3.56,2.33,2:0,0.81,1.24,0.88,33.1,28.0,42.8,-6.1,6.94,-4.8
2,Club Atletico Temperley - Boca Juniors,"02/07/2016, 00:00",14.0,22.0,64.0,6.68,3.74,1.68,0:0,0.93,0.82,1.07,14.9,26.6,59.5,-0.9,-4.6,4.5
3,Alianza Petrolera - Once Caldas S. A.,"02/07/2016, 00:45",21.0,55.0,25.0,3.15,2.98,2.57,1:3,0.66,1.64,0.64,31.7,33.4,38.8,-10.,21.5,-13.
4,Puebla FC - Atlas de Guadalajara,"02/07/2016, 01:00",37.0,38.0,24.0,2.57,3.29,3.04,4:1,0.95,1.25,0.73,38.8,30.3,32.8,-1.8,7.66,-8.8
5,Southern United - Team Wellington,"02/07/2016, 01:00",32.0,19.0,49.0,10.1,6.74,1.25,0:3,3.25,1.28,0.61,9.83,14.8,79.6,22.1,4.17,-30.
6,Cobresal - Palestino,"02/07/2016, 01:00",19.0,43.0,38.0,3.44,3.67,2.13,2:3,0.65,1.58,0.81,29.0,27.2,46.7,-10.,15.7,-8.7
7,CD Victoria - CD Vida,"02/07/2016, 01:00",25.0,40.0,35.0,2.53,3.18,3.00,0:2,0.63,1.27,1.05,39.3,31.3,33.2,-14.,8.63,1.76
8,Club Celaya - Irapuato,"02/07/2016, 01:00",55.0,17.0,27.0,1.75,3.72,4.91,3:1,0.96,0.63,1.32,56.8,26.8,20.3,-1.8,-9.8,6.63
9,Club Leon - Atletico Monarcas Morelia,"02/07/2016, 02:06",55.0,27.0,18.0,2.02,3.86,3.76,1:2,1.11,1.04,0.67,49.3,25.9,26.5,5.64,1.09,-8.5
