ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,CSD Comunicaciones - CSD Xelaju MC,"09/10/2015, 22:00",47.0,26.0,27.0,1.78,3.66,4.85,2:0,0.83,0.95,1.31,56.1,27.3,20.5,-9.1,-1.3,6.41
1,Goias Go - Sport Recife PE,"09/10/2015, 22:30",47.0,36.0,17.0,1.99,3.49,4.74,1:0,0.93,1.25,0.80,50.1,28.6,21.0,-3.1,7.35,-4.0
2,Deportivo La Equidad - Boyaca Chico FC,"09/10/2015, 23:00",64.0,24.0,12.0,1.43,4.16,10.4,1:0,0.92,0.99,1.25,69.4,24.0,9.57,-5.4,-0.0,2.42
3,Once Caldas S. A. - Atletico Huila,"09/10/2015, 23:00",51.0,23.0,25.0,1.63,3.97,5.99,4:0,0.83,0.91,1.49,61.1,25.1,16.6,-10.,-2.1,8.31
4,Joinville SC - Chapecoense SC,"09/11/2015, 00:00",42.0,37.0,22.0,2.50,3.15,3.51,0:0,1.05,1.16,0.77,39.9,31.7,28.4,2.08,5.27,-6.4
5,Flamengo RJ - Cruzeiro MG,"09/11/2015, 00:00",52.0,28.0,19.0,2.15,3.44,4.11,2:0,1.11,0.96,0.78,46.5,29.0,24.3,5.49,-1.0,-5.3
6,Atlético Nacional Medellin - Deportivo Cali,"09/11/2015, 01:00",44.0,36.0,19.0,1.81,3.82,4.59,3:0,0.79,1.37,0.87,55.1,26.1,21.7,-11.,9.84,-2.7
7,CSKA Moscow Youth - FC Zenit St Petersburg Jugend,"09/11/2015, 09:00",35.0,24.0,42.0,2.09,3.56,3.30,1:3,0.73,0.85,1.38,47.7,28.0,30.2,-12.,-4.0,11.7
8,Metalurg-D Zaporizhya - Dnipro-D Dnjepropetrovsk,"09/11/2015, 09:00",22.0,26.0,52.0,3.65,4.03,1.85,1:5,0.80,1.04,0.96,27.3,24.7,53.8,-5.3,1.22,-1.8
9,Amkar Perm Youth - Kuban Krasnodar Youth,"09/11/2015, 10:00",33.0,23.0,45.0,5.18,4.13,1.59,3:2,1.71,0.95,0.71,19.2,24.1,62.7,13.7,-1.1,-17.
10,Urawa Red Diamonds - Kashiwa Reysol,"09/11/2015, 10:30",53.0,21.0,26.0,1.71,4.03,4.76,1:0,0.90,0.84,1.23,58.3,24.7,20.9,-5.3,-3.7,5.01
11,Ordabasy Shymkent - FC Astana,"09/11/2015, 11:00",17.0,32.0,51.0,3.96,3.38,1.95,2:3,0.67,1.08,0.99,25.2,29.5,51.0,-8.2,2.42,-0.0
12,FC Alashkert 2 - FC Mika 2,"09/11/2015, 13:00",51.0,18.0,32.0,1.45,5.09,6.45,1:3,0.73,0.91,2.06,68.9,19.6,15.4,-17.,-1.6,16.5
13,FC Pyunik Yerevan 2 - FC Ulisses Yerevan 2,"09/11/2015, 13:00",51.0,22.0,27.0,1.45,5.09,6.45,1:3,0.73,1.12,1.74,68.9,19.6,15.4,-17.,2.37,11.5
