ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,EC Bahia BA - Bragantino SP,"09/11/2015, 22:00",68.0,15.0,18.0,1.48,4.59,7.89,3:2,1.00,0.68,1.42,67.4,21.7,12.6,0.57,-6.7,5.32
1,NY Red Bulls - Chicago Fire,"09/11/2015, 23:00",62.0,19.0,20.0,1.55,4.81,6.20,3:2,0.96,0.91,1.24,64.1,20.7,16.1,-2.1,-1.7,3.87
2,Defensor Sporting - CA Rentistas,"09/11/2015, 23:15",33.0,17.0,49.0,1.89,3.77,4.06,2:0,0.62,0.64,1.98,52.8,26.4,24.6,-19.,-9.4,24.3
3,Deportivo Santani - Olimpia Asuncion,"09/11/2015, 23:30",42.0,19.0,39.0,3.82,3.46,2.03,0:4,1.60,0.65,0.79,26.1,28.8,49.0,15.8,-9.8,-10.
4,Central Cordoba SDE - CA Douglas Haig,"09/12/2015, 00:00",23.0,46.0,30.0,2.74,3.08,2.92,0:2,0.63,1.41,0.87,36.3,32.4,34.1,-13.,13.5,-4.1
5,Mogi Mirim SP - Botafogo RJ,"09/12/2015, 00:30",9.0,23.0,68.0,7.78,4.53,1.49,0:3,0.70,1.04,1.01,12.8,22.0,66.9,-3.8,0.93,1.06
6,Deportivo Cuenca - Liga Dep Universitaria Quito,"09/12/2015, 01:00",28.0,20.0,52.0,3.35,3.20,2.33,0:1,0.94,0.64,1.21,29.7,31.2,42.8,-1.7,-11.,9.12
7,Jeonbuk Hyundai Motors - FC Seoul,"09/12/2015, 06:05",52.0,28.0,21.0,2.37,3.28,3.17,3:0,1.23,0.91,0.66,42.0,30.4,31.4,9.95,-2.4,-10.
8,Kashima Antlers - Gamba Osaka,"09/12/2015, 09:30",37.0,43.0,21.0,2.21,3.65,3.17,1:2,0.82,1.56,0.66,45.0,27.3,31.4,-8.0,15.6,-10.
9,Nagoya Grampus - Vegalta Sendai,"09/12/2015, 09:30",52.0,19.0,28.0,2.28,3.45,3.18,0:1,1.18,0.65,0.89,43.7,28.9,31.3,8.27,-9.9,-3.3
10,Montedio Yamagata - Sanfrecce Hiroshima,"09/12/2015, 10:00",31.0,17.0,51.0,4.58,3.76,1.80,1:3,1.42,0.63,0.91,21.8,26.5,55.4,9.18,-9.5,-4.4
11,FC Tokyo - Vissel Kobe,"09/12/2015, 10:00",60.0,19.0,21.0,2.36,3.44,3.06,3:0,1.42,0.65,0.64,42.2,29.0,32.5,17.7,-10.,-11.
12,Shonan Bellmare - Matsumoto Yamaga FC,"09/12/2015, 10:00",53.0,17.0,29.0,1.81,3.72,4.55,1:1,0.96,0.63,1.32,55.1,26.8,21.9,-2.1,-9.8,7.06
13,CSKA Moscow - Zenit St. Petersburg,"09/12/2015, 11:00",45.0,30.0,25.0,2.48,3.36,3.21,2:2,1.11,1.01,0.80,40.2,29.6,31.1,4.70,0.32,-6.1
14,Queens Park Rangers - Nottingham Forest,"09/12/2015, 11:30",55.0,17.0,28.0,1.86,4.03,4.85,1:2,1.02,0.68,1.36,53.4,24.7,20.5,1.50,-7.7,7.41
15,Aberdeen FC - Celtic Glasgow,"09/12/2015, 11:30",29.0,18.0,53.0,4.58,3.78,1.93,2:1,1.32,0.68,1.02,21.8,26.4,51.6,7.18,-8.4,1.35
16,Everton FC - Chelsea FC,"09/12/2015, 11:45",35.0,23.0,42.0,4.03,3.83,2.11,3:1,1.41,0.88,0.88,24.7,26.0,47.2,10.2,-3.0,-5.2
17,Shanghai SIPG - Guangzhou Evergrande,"09/12/2015, 11:45",24.0,30.0,47.0,2.66,3.55,2.60,0:3,0.64,1.06,1.22,37.4,28.1,38.3,-13.,1.84,8.67
18,Valenciennes FC - Dijon FCO,"09/12/2015, 12:00",27.0,47.0,27.0,3.29,3.28,2.42,1:3,0.89,1.54,0.65,30.3,30.4,41.2,-3.3,16.5,-14.
19,Hallescher FC - VfB Stuttgart II,"09/12/2015, 12:00",62.0,17.0,22.0,1.71,3.94,5.21,3:0,1.06,0.67,1.14,58.3,25.3,19.1,3.65,-8.3,2.82
20,VfL Osnabrück - SV Wehen Wiesbaden,"09/12/2015, 12:00",42.0,19.0,40.0,1.86,3.57,4.61,4:0,0.78,0.67,1.84,53.4,27.9,21.6,-11.,-8.9,18.3
21,TPS Turku - Mikkelin Palloilijat,"09/12/2015, 12:00",53.0,13.0,35.0,1.35,5.28,9.61,2:1,0.71,0.68,3.36,73.9,18.9,10.4,-20.,-5.9,24.5
22,Brescia Calcio - Unione Sportiva Salernitana 1919,"09/12/2015, 13:00",31.0,47.0,22.0,2.70,3.21,2.94,2:2,0.83,1.50,0.64,37.0,31.1,33.9,-6.0,15.8,-11.
23,Ternana Calcio - Cagliari Calcio,"09/12/2015, 13:00",24.0,28.0,48.0,4.36,3.38,2.01,1:1,1.04,0.94,0.96,22.9,29.5,49.6,1.09,-1.5,-1.6
24,FC Crotone - Novara Calcio,"09/12/2015, 13:00",25.0,54.0,21.0,2.64,3.18,3.04,2:1,0.66,1.72,0.63,37.8,31.3,32.8,-12.,22.6,-11.
25,Vicenza Calcio - AS Bari,"09/12/2015, 13:00",25.0,54.0,21.0,2.62,3.20,3.06,0:0,0.65,1.72,0.64,38.1,31.2,32.5,-13.,22.7,-11.
26,PS Kemi Kings - JJK Jyväskylä,"09/12/2015, 13:00",40.0,18.0,42.0,2.22,3.60,3.29,2:0,0.89,0.64,1.38,44.8,27.7,30.3,-4.8,-9.7,11.6
27,PFK Botev Plovdiv - Liteks Lovech,"09/12/2015, 13:15",31.0,37.0,32.0,3.10,3.26,2.49,0:2,0.96,1.20,0.79,32.2,30.6,40.1,-1.2,6.32,-8.1
28,Hannover 96 - Borussia Dortmund,"09/12/2015, 13:30",15.0,19.0,66.0,7.67,5.25,1.51,2:4,1.15,0.99,1.00,13.0,19.0,65.9,1.97,-0.0,0.03
29,Hertha BSC - VfB Stuttgart,"09/12/2015, 13:30",34.0,35.0,31.0,2.66,3.69,2.98,2:1,0.90,1.29,0.92,37.4,27.0,33.4,-3.4,7.96,-2.4
30,FC Ingolstadt - VfL Wolfsburg,"09/12/2015, 13:30",20.0,22.0,58.0,4.39,4.11,1.95,0:0,0.87,0.90,1.13,22.7,24.3,51.0,-2.7,-2.3,6.94
31,Bayern Munich - FC Augsburg,"09/12/2015, 13:30",75.0,15.0,10.0,1.15,10.2,51.9,2:1,0.86,1.53,5.19,86.2,9.77,1.92,-11.,5.22,8.07
32,Bayer 04 Leverkusen - SV Darmstadt 98,"09/12/2015, 13:30",75.0,16.0,10.0,1.28,6.73,17.9,0:1,0.96,1.07,1.79,77.6,14.8,5.56,-2.6,1.14,4.43
33,Slask Wroclaw - Jagiellonia Bialystok,"09/12/2015, 13:30",42.0,41.0,17.0,2.13,3.63,4.04,3:1,0.89,1.49,0.68,46.7,27.4,24.7,-4.7,13.5,-7.7
34,FC Amkar Perm - FC Kuban Krasnodar,"09/12/2015, 13:30",28.0,50.0,22.0,2.84,3.10,2.97,1:1,0.79,1.55,0.65,35.1,32.2,33.6,-7.1,17.7,-11.
35,Arsenal FC - Stoke City,"09/12/2015, 14:00",76.0,14.0,11.0,1.30,6.61,14.9,2:0,0.99,0.92,1.63,76.3,15.1,6.70,-0.3,-1.1,4.29
36,Norwich City - AFC Bournemouth,"09/12/2015, 14:00",46.0,23.0,30.0,2.43,3.68,3.35,3:1,1.12,0.84,1.00,41.0,27.1,29.7,4.94,-4.1,0.21
37,Crystal Palace - Manchester City,"09/12/2015, 14:00",19.0,30.0,51.0,5.18,4.39,1.79,0:1,0.98,1.31,0.91,19.2,22.7,55.8,-0.2,7.22,-4.8
38,Watford FC - Swansea City,"09/12/2015, 14:00",35.0,33.0,33.0,2.77,3.50,2.99,1:0,0.97,1.15,0.98,36.0,28.5,33.3,-1.0,4.45,-0.3
39,West Bromwich Albion - Southampton FC,"09/12/2015, 14:00",42.0,21.0,38.0,3.21,3.35,2.69,0:0,1.34,0.70,1.02,31.1,29.7,37.1,10.8,-8.7,0.83
40,Bolton Wanderers - Wolverhampton Wanderers FC,"09/12/2015, 14:00",22.0,53.0,25.0,3.05,3.50,2.65,2:1,0.67,1.85,0.66,32.7,28.5,37.6,-10.,24.4,-12.
41,Preston North End FC - Derby County,"09/12/2015, 14:00",23.0,53.0,23.0,2.89,3.41,2.84,1:2,0.66,1.81,0.65,34.5,29.2,35.1,-11.,23.7,-12.
