ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,San Luis de Quillota - Universidad de Concepción,"10/08/2016, 22:00",35.0,39.0,26.0,2.24,3.51,3.33,1:0,0.78,1.37,0.86,44.6,28.4,30.0,-9.6,10.5,-4.0
1,Mexico - New Zealand,"10/08/2016, 22:00",61.0,26.0,13.0,1.33,5.81,15.0,2:1,0.81,1.51,1.95,75.1,17.2,6.63,-14.,8.79,6.36
2,Independiente Santa Fe - Jaguares de Córdoba,"10/08/2016, 22:00",51.0,21.0,28.0,1.39,4.67,9.86,1:0,0.71,0.98,2.76,71.6,21.3,10.1,-20.,-0.3,17.8
3,Argentinos Juniors - Guillermo Brown,"10/08/2016, 23:05",61.0,17.0,22.0,1.61,3.74,6.90,0:2,0.98,0.63,1.51,61.9,26.6,14.4,-0.9,-9.6,7.51
4,Cruzeiro MG - Ponte Preta SP,"10/09/2016, 00:00",48.0,38.0,14.0,1.86,3.83,4.92,2:0,0.89,1.45,0.68,53.4,26.0,20.3,-5.4,11.9,-6.3
5,Houston Dynamo - Colorado Rapids,"10/09/2016, 00:30",40.0,33.0,27.0,2.42,3.49,3.21,2:3,0.96,1.15,0.86,41.2,28.6,31.1,-1.2,4.35,-4.1
6,Aguilas Pereira - Atlético Nacional Medellin,"10/09/2016, 00:30",21.0,36.0,43.0,3.14,3.40,2.40,1:1,0.65,1.22,1.03,31.8,29.3,41.6,-10.,6.63,1.35
7,Yokohama F Marinos - Gamba Osaka,"10/09/2016, 05:00",25.0,53.0,22.0,2.52,3.46,2.98,1:1,0.63,1.83,0.65,39.5,28.8,33.4,-14.,24.1,-11.
8,FK Viktoria Zizkov - 1 SC Znojmo,"10/09/2016, 08:15",36.0,44.0,20.0,2.27,3.53,3.23,1:0,0.81,1.55,0.64,43.9,28.2,30.8,-7.9,15.7,-10.
9,Real Oviedo - Rayo Vallecano,"10/09/2016, 10:00",30.0,45.0,26.0,2.57,3.28,3.05,2:0,0.77,1.47,0.79,38.8,30.4,32.7,-8.8,14.5,-6.7
10,CD Lealtad - Celta de Vigo B,"10/09/2016, 10:00",26.0,44.0,29.0,3.04,3.12,2.55,0:1,0.79,1.37,0.73,32.8,31.9,39.1,-6.8,12.0,-10.
11,TOP 54 Biala Podlaska - SMS Lodz,"10/09/2016, 10:00",35.0,18.0,47.0,9.66,6.27,1.28,1:2,3.38,1.12,0.60,10.3,15.9,77.6,24.6,2.06,-30.
12,Hellas Verona - Brescia Calcio,"10/09/2016, 10:30",69.0,18.0,12.0,1.45,4.75,8.44,2:2,1.00,0.85,1.01,68.9,21.0,11.8,0.05,-3.0,0.16
13,Oud-Heverlee Leuven - KSV Roeselare,"10/09/2016, 10:30",40.0,31.0,29.0,2.37,3.56,2.94,1:1,0.95,1.10,0.85,42.0,28.0,33.9,-2.0,2.94,-4.9
14,Oxford United - AFC Wimbledon,"10/09/2016, 11:15",65.0,19.0,17.0,2.07,3.65,3.94,1:3,1.34,0.69,0.67,48.2,27.3,25.3,16.7,-8.3,-8.3
15,Skive IK - FC Fredericia,"10/09/2016, 11:45",45.0,27.0,28.0,3.26,3.49,2.28,2:0,1.46,0.94,0.64,30.6,28.6,43.7,14.3,-1.6,-15.
16,Zambia - Nigeria,"10/09/2016, 12:30",20.0,40.0,40.0,3.18,3.05,2.50,1:2,0.63,1.22,1.00,31.3,32.7,39.9,-11.,7.28,0.08
17,US Cremonese - AC Arezzo,"10/09/2016, 12:30",42.0,42.0,17.0,2.05,3.30,3.96,3:2,0.86,1.38,0.67,48.5,30.2,25.2,-6.5,11.7,-8.2
18,Spezia Calcio - Carpi FC 1909,"10/09/2016, 13:00",34.0,41.0,25.0,2.34,3.15,3.61,0:1,0.79,1.29,0.90,42.6,31.7,27.6,-8.6,9.27,-2.6
19,Pisa Calcio - Spal 2013,"10/09/2016, 13:00",37.0,38.0,26.0,2.73,3.03,3.06,0:1,1.01,1.15,0.79,36.5,32.9,32.5,0.47,5.02,-6.5
20,Latina Calcio - Trapani Calcio,"10/09/2016, 13:00",24.0,54.0,22.0,2.69,3.17,2.99,2:0,0.64,1.71,0.65,37.1,31.4,33.3,-13.,22.5,-11.
21,Perugia - AS Avellino 1912,"10/09/2016, 13:00",67.0,19.0,14.0,1.86,3.49,5.01,3:0,1.25,0.66,0.70,53.4,28.6,19.9,13.5,-9.6,-5.9
22,Olympique Lyon - Girondins Bordeaux,"10/09/2016, 13:00",60.0,21.0,19.0,1.03,27.2,50.0,8:0,0.61,5.72,9.5,97.0,3.66,2.0,-37.,17.3,17.0
23,Milton Keynes Dons - Port Vale,"10/09/2016, 13:15",52.0,27.0,21.0,1.91,3.86,4.36,0:1,0.99,1.04,0.91,52.2,25.9,22.9,-0.2,1.09,-1.9
24,FC Honka - OPS,"10/09/2016, 13:30",67.0,21.0,11.0,1.49,4.67,6.03,2:2,1.00,0.98,0.66,66.9,21.3,16.5,0.06,-0.3,-5.5
25,CD Mirandes - CD Lugo,"10/09/2016, 14:00",40.0,35.0,25.0,2.24,3.50,3.46,2:2,0.89,1.22,0.86,44.6,28.5,28.8,-4.6,6.45,-3.8
26,Union Saint-Gilloise - Cercle Brugge,"10/09/2016, 14:00",24.0,45.0,31.0,2.65,3.47,2.65,3:2,0.63,1.56,0.82,37.6,28.7,37.6,-13.,16.2,-6.6
27,Republic of Congo - Egypt,"10/09/2016, 14:30",19.0,46.0,34.0,3.30,3.08,2.42,1:2,0.62,1.41,0.82,30.2,32.4,41.2,-11.,13.5,-7.2
28,US Foggia - Akragas,"10/09/2016, 14:30",69.0,16.0,15.0,1.46,4.25,8.40,0:0,1.00,0.68,1.26,68.4,23.5,11.9,0.57,-7.5,3.09
29,FC Vizela - CD Santa Clara,"10/09/2016, 15:00",23.0,55.0,21.0,2.74,2.98,3.02,0:0,0.63,1.64,0.63,36.3,33.4,33.1,-13.,21.5,-12.
30,Burgos CF - Pontevedra CF,"10/09/2016, 15:00",32.0,46.0,21.0,2.63,3.05,3.00,0:0,0.84,1.40,0.63,37.9,32.7,33.2,-5.9,13.2,-12.
31,CF Cadiz - Girona FC,"10/09/2016, 16:00",23.0,41.0,36.0,2.91,3.24,2.71,0:0,0.67,1.33,0.97,34.3,30.7,36.8,-11.,10.2,-0.8
32,RCD Mallorca - SD Huesca,"10/09/2016, 16:00",61.0,26.0,13.0,1.91,3.29,5.12,3:0,1.16,0.85,0.66,52.2,30.3,19.5,8.75,-4.3,-6.5
33,UD Almeria - Levante UD,"10/09/2016, 16:00",25.0,31.0,45.0,3.05,3.21,2.62,2:2,0.76,0.99,1.17,32.7,31.1,38.1,-7.7,-0.1,6.84
34,Wales - Georgia,"10/09/2016, 16:00",73.0,15.0,11.0,1.41,5.14,10.9,1:1,1.03,0.77,1.20,70.5,19.4,9.09,2.47,-4.4,1.90
35,Israel - Liechtenstein,"10/09/2016, 16:00",82.0,7.0,10.0,1.11,11.2,135.,2:1,0.91,0.78,13.5,89.5,8.86,0.73,-7.5,-1.8,9.26
36,Finland - Croatia,"10/09/2016, 16:00",10.0,23.0,68.0,9.47,4.59,1.49,0:1,0.94,1.05,1.01,10.5,21.7,66.9,-0.5,1.24,1.06
37,CD Alcoyano - Club Deportivo Eldense,"10/09/2016, 16:00",71.0,15.0,15.0,1.39,4.50,9.77,4:2,0.99,0.67,1.46,71.6,22.1,10.2,-0.6,-7.1,4.77
38,Ukraine - Kosovo,"10/09/2016, 16:00",79.0,13.0,7.0,1.24,7.10,21.5,3:0,0.98,0.92,1.51,80.3,14.0,4.63,-1.3,-1.0,2.36
39,Tunisia - Guinea,"10/09/2016, 17:00",63.0,26.0,11.0,1.62,3.71,6.44,2:0,1.02,0.96,0.70,61.5,26.9,15.5,1.48,-0.9,-4.5
40,Cordoba CF B - Jumilla CF,"10/09/2016, 17:00",22.0,54.0,24.0,2.90,3.09,2.67,0:1,0.63,1.66,0.64,34.4,32.3,37.3,-12.,21.6,-13.
41,Lierse SK - Royal Antwerp FC,"10/09/2016, 18:00",42.0,34.0,24.0,2.70,3.40,2.65,2:0,1.13,1.15,0.63,37.0,29.3,37.6,5.0,4.63,-13.
42,Moldova - Ireland,"10/09/2016, 18:45",11.0,24.0,66.0,14.4,5.18,1.37,1:3,1.58,1.24,0.90,6.94,19.2,72.7,4.05,4.72,-6.7
43,Serbia - Austria,"10/09/2016, 18:45",45.0,39.0,17.0,2.16,3.53,4.09,3:2,0.97,1.38,0.69,46.2,28.2,24.3,-1.2,10.7,-7.3
44,Macedonia - Italy,"10/09/2016, 18:45",13.0,13.0,74.0,14.9,5.34,1.35,2:3,1.94,0.69,1.00,6.68,18.6,73.9,6.31,-5.6,0.07
